Time,dunkin donuts
2023-12-22,29
2023-12-23,31
2023-12-24,48
2023-12-25,100
2023-12-26,25
2023-12-27,23
2023-12-28,22
2023-12-29,25
2023-12-30,25
2023-12-31,30
2024-01-01,37
2024-01-02,20
2024-01-03,19
2024-01-04,20
2024-01-05,24
2024-01-06,28
2024-01-07,23
2024-01-08,18
2024-01-09,17
2024-01-10,18
2024-01-11,19
2024-01-12,20
2024-01-13,23
2024-01-14,24
2024-01-15,21
2024-01-16,17
2024-01-17,19
2024-01-18,18
2024-01-19,19
2024-01-20,24
2024-01-21,23
2024-01-22,18
2024-01-23,17
2024-01-24,19
2024-01-25,18
2024-01-26,20
2024-01-27,25
2024-01-28,23
2024-01-29,18
2024-01-30,18
2024-01-31,19
2024-02-01,19
2024-02-02,22
2024-02-03,27
2024-02-04,26
2024-02-05,18
2024-02-06,18
2024-02-07,19
2024-02-08,20
2024-02-09,20
2024-02-10,25
2024-02-11,26
2024-02-12,47
2024-02-13,34
2024-02-14,34
2024-02-15,24
2024-02-16,23
2024-02-17,27
2024-02-18,29
2024-02-19,22
2024-02-20,20
2024-02-21,20
2024-02-22,19
2024-02-23,23
2024-02-24,27
2024-02-25,27
2024-02-26,18
2024-02-27,19
2024-02-28,19
2024-02-29,21
2024-03-01,21
2024-03-02,26
2024-03-03,26
2024-03-04,17
2024-03-05,18
2024-03-06,18
2024-03-07,19
2024-03-08,21
2024-03-09,25
2024-03-10,25
2024-03-11,18
2024-03-12,17
2024-03-13,18
2024-03-14,19
2024-03-15,21
2024-03-16,26
2024-03-17,29
2024-03-18,17
2024-03-19,18
2024-03-20,18
2024-03-21,19
2024-03-22,20
2024-03-23,26
2024-03-24,26
2024-03-25,18
2024-03-26,19
2024-03-27,20
2024-03-28,21
2024-03-29,22
2024-03-30,26
2024-03-31,39
2024-04-01,20
2024-04-02,17
2024-04-03,18
2024-04-04,19
2024-04-05,20
2024-04-06,26
2024-04-07,25
2024-04-08,17
2024-04-09,17
2024-04-10,18
2024-04-11,18
2024-04-12,20
2024-04-13,25
2024-04-14,25
2024-04-15,17
2024-04-16,17
2024-04-17,18
2024-04-18,18
2024-04-19,20
2024-04-20,29
2024-04-21,27
2024-04-22,18
2024-04-23,18
2024-04-24,19
2024-04-25,18
2024-04-26,21
2024-04-27,25
2024-04-28,25
2024-04-29,17
2024-04-30,17
2024-05-01,20
2024-05-02,20
2024-05-03,22
2024-05-04,26
2024-05-05,26
2024-05-06,22
2024-05-07,20
2024-05-08,20
2024-05-09,21
2024-05-10,23
2024-05-11,27
2024-05-12,29
2024-05-13,18
2024-05-14,18
2024-05-15,19
2024-05-16,19
2024-05-17,22
2024-05-18,26
2024-05-19,27
2024-05-20,18
2024-05-21,20
2024-05-22,20
2024-05-23,21
2024-05-24,23
2024-05-25,27
2024-05-26,27
2024-05-27,29
2024-05-28,18
2024-05-29,20
2024-05-30,21
2024-05-31,22
2024-06-01,27
2024-06-02,27
2024-06-03,20
2024-06-04,19
2024-06-05,21
2024-06-06,24
2024-06-07,41
2024-06-08,35
2024-06-09,28
2024-06-10,21
2024-06-11,21
2024-06-12,22
2024-06-13,23
2024-06-14,23
2024-06-15,25
2024-06-16,27
2024-06-17,21
2024-06-18,19
2024-06-19,21
2024-06-20,21
2024-06-21,23
2024-06-22,26
2024-06-23,26
2024-06-24,19
2024-06-25,20
2024-06-26,21
2024-06-27,22
2024-06-28,23
2024-06-29,29
2024-06-30,28
2024-07-01,21
2024-07-02,21
2024-07-03,22
2024-07-04,36
2024-07-05,24
2024-07-06,24
2024-07-07,25
2024-07-08,20
2024-07-09,20
2024-07-10,21
2024-07-11,20
2024-07-12,22
2024-07-13,25
2024-07-14,25
2024-07-15,18
2024-07-16,20
2024-07-17,20
2024-07-18,21
2024-07-19,22
2024-07-20,24
2024-07-21,25
2024-07-22,18
2024-07-23,20
2024-07-24,19
2024-07-25,22
2024-07-26,22
2024-07-27,25
2024-07-28,26
2024-07-29,19
2024-07-30,20
2024-07-31,20
2024-08-01,21
2024-08-02,23
2024-08-03,25
2024-08-04,25
2024-08-05,20
2024-08-06,20
2024-08-07,20
2024-08-08,29
2024-08-09,28
2024-08-10,36
2024-08-11,37
2024-08-12,29
2024-08-13,22
2024-08-14,25
2024-08-15,22
2024-08-16,23
2024-08-17,28
2024-08-18,27
2024-08-19,20
2024-08-20,20
2024-08-21,21
2024-08-22,21
2024-08-23,25
2024-08-24,28
2024-08-25,26
2024-08-26,20
2024-08-27,23
2024-08-28,24
2024-08-29,25
2024-08-30,25
2024-08-31,30
2024-09-01,29
2024-09-02,29
2024-09-03,18
2024-09-04,19
2024-09-05,20
2024-09-06,21
2024-09-07,25
2024-09-08,26
2024-09-09,18
2024-09-10,18
2024-09-11,19
2024-09-12,20
2024-09-13,22
2024-09-14,26
2024-09-15,24
2024-09-16,18
