Time,yahoo finance
2023-12-22,54
2023-12-23,17
2023-12-24,10
2023-12-25,12
2023-12-26,50
2023-12-27,52
2023-12-28,53
2023-12-29,52
2023-12-30,16
2023-12-31,11
2024-01-01,14
2024-01-02,55
2024-01-03,53
2024-01-04,54
2024-01-05,52
2024-01-06,16
2024-01-07,13
2024-01-08,48
2024-01-09,54
2024-01-10,55
2024-01-11,56
2024-01-12,60
2024-01-13,15
2024-01-14,11
2024-01-15,23
2024-01-16,48
2024-01-17,51
2024-01-18,51
2024-01-19,51
2024-01-20,17
2024-01-21,13
2024-01-22,56
2024-01-23,50
2024-01-24,55
2024-01-25,54
2024-01-26,48
2024-01-27,13
2024-01-28,11
2024-01-29,50
2024-01-30,57
2024-01-31,58
2024-02-01,54
2024-02-02,52
2024-02-03,16
2024-02-04,13
2024-02-05,53
2024-02-06,50
2024-02-07,56
2024-02-08,54
2024-02-09,54
2024-02-10,14
2024-02-11,12
2024-02-12,47
2024-02-13,54
2024-02-14,56
2024-02-15,55
2024-02-16,52
2024-02-17,16
2024-02-18,13
2024-02-19,27
2024-02-20,52
2024-02-21,57
2024-02-22,59
2024-02-23,52
2024-02-24,17
2024-02-25,13
2024-02-26,51
2024-02-27,54
2024-02-28,50
2024-02-29,56
2024-03-01,50
2024-03-02,17
2024-03-03,14
2024-03-04,55
2024-03-05,54
2024-03-06,53
2024-03-07,56
2024-03-08,55
2024-03-09,16
2024-03-10,14
2024-03-11,49
2024-03-12,55
2024-03-13,54
2024-03-14,50
2024-03-15,47
2024-03-16,15
2024-03-17,12
2024-03-18,49
2024-03-19,47
2024-03-20,51
2024-03-21,53
2024-03-22,51
2024-03-23,15
2024-03-24,13
2024-03-25,50
2024-03-26,53
2024-03-27,55
2024-03-28,51
2024-03-29,30
2024-03-30,11
2024-03-31,12
2024-04-01,52
2024-04-02,51
2024-04-03,49
2024-04-04,52
2024-04-05,50
2024-04-06,14
2024-04-07,11
2024-04-08,45
2024-04-09,50
2024-04-10,50
2024-04-11,49
2024-04-12,47
2024-04-13,14
2024-04-14,13
2024-04-15,55
2024-04-16,50
2024-04-17,49
2024-04-18,47
2024-04-19,47
2024-04-20,13
2024-04-21,13
2024-04-22,52
2024-04-23,47
2024-04-24,48
2024-04-25,55
2024-04-26,45
2024-04-27,13
2024-04-28,11
2024-04-29,48
2024-04-30,47
2024-05-01,49
2024-05-02,49
2024-05-03,44
2024-05-04,13
2024-05-05,13
2024-05-06,47
2024-05-07,46
2024-05-08,47
2024-05-09,49
2024-05-10,42
2024-05-11,12
2024-05-12,11
2024-05-13,48
2024-05-14,51
2024-05-15,49
2024-05-16,50
2024-05-17,45
2024-05-18,13
2024-05-19,12
2024-05-20,47
2024-05-21,51
2024-05-22,49
2024-05-23,51
2024-05-24,42
2024-05-25,12
2024-05-26,10
2024-05-27,13
2024-05-28,46
2024-05-29,48
2024-05-30,49
2024-05-31,46
2024-06-01,14
2024-06-02,11
2024-06-03,47
2024-06-04,47
2024-06-05,49
2024-06-06,54
2024-06-07,51
2024-06-08,13
2024-06-09,11
2024-06-10,51
2024-06-11,52
2024-06-12,56
2024-06-13,48
2024-06-14,46
2024-06-15,13
2024-06-16,10
2024-06-17,49
2024-06-18,51
2024-06-19,28
2024-06-20,51
2024-06-21,42
2024-06-22,13
2024-06-23,11
2024-06-24,46
2024-06-25,45
2024-06-26,48
2024-06-27,47
2024-06-28,45
2024-06-29,13
2024-06-30,11
2024-07-01,46
2024-07-02,52
2024-07-03,42
2024-07-04,13
2024-07-05,40
2024-07-06,12
2024-07-07,11
2024-07-08,43
2024-07-09,46
2024-07-10,46
2024-07-11,50
2024-07-12,48
2024-07-13,12
2024-07-14,11
2024-07-15,49
2024-07-16,50
2024-07-17,51
2024-07-18,51
2024-07-19,47
2024-07-20,12
2024-07-21,11
2024-07-22,49
2024-07-23,47
2024-07-24,50
2024-07-25,52
2024-07-26,45
2024-07-27,12
2024-07-28,11
2024-07-29,46
2024-07-30,49
2024-07-31,54
2024-08-01,56
2024-08-02,60
2024-08-03,15
2024-08-04,14
2024-08-05,100
2024-08-06,64
2024-08-07,59
2024-08-08,53
2024-08-09,49
2024-08-10,13
2024-08-11,12
2024-08-12,49
2024-08-13,49
2024-08-14,56
2024-08-15,49
2024-08-16,47
2024-08-17,12
2024-08-18,12
2024-08-19,49
2024-08-20,52
2024-08-21,51
2024-08-22,47
2024-08-23,50
2024-08-24,13
2024-08-25,12
2024-08-26,48
2024-08-27,46
2024-08-28,55
2024-08-29,51
2024-08-30,41
2024-08-31,12
2024-09-01,10
2024-09-02,13
2024-09-03,50
2024-09-04,46
2024-09-05,46
2024-09-06,43
2024-09-07,12
2024-09-08,10
2024-09-09,46
2024-09-10,46
2024-09-11,47
2024-09-12,48
2024-09-13,45
2024-09-14,12
2024-09-15,11
2024-09-16,46
