Time,yahoo finance
2025-04-15,85
2025-04-16,85
2025-04-17,82
2025-04-18,49
2025-04-19,16
2025-04-20,17
2025-04-21,87
2025-04-22,93
2025-04-23,86
2025-04-24,80
2025-04-25,74
2025-04-26,19
2025-04-27,19
2025-04-28,78
2025-04-29,73
2025-04-30,77
2025-05-01,82
2025-05-02,73
2025-05-03,20
2025-05-04,18
2025-05-05,72
2025-05-06,72
2025-05-07,80
2025-05-08,80
2025-05-09,69
2025-05-10,19
2025-05-11,20
2025-05-12,91
2025-05-13,80
2025-05-14,74
2025-05-15,77
2025-05-16,69
2025-05-17,21
2025-05-18,19
2025-05-19,76
2025-05-20,73
2025-05-21,73
2025-05-22,72
2025-05-23,69
2025-05-24,18
2025-05-25,16
2025-05-26,23
2025-05-27,79
2025-05-28,76
2025-05-29,79
2025-05-30,69
2025-05-31,18
2025-06-01,18
2025-06-02,68
2025-06-03,71
2025-06-04,72
2025-06-05,79
2025-06-06,74
2025-06-07,19
2025-06-08,18
2025-06-09,72
2025-06-10,72
2025-06-11,82
2025-06-12,74
2025-06-13,74
2025-06-14,18
2025-06-15,17
2025-06-16,70
2025-06-17,73
2025-06-18,72
2025-06-19,42
2025-06-20,63
2025-06-21,16
2025-06-22,23
2025-06-23,78
2025-06-24,75
2025-06-25,68
2025-06-26,71
2025-06-27,71
2025-06-28,18
2025-06-29,17
2025-06-30,71
2025-07-01,74
2025-07-02,68
2025-07-03,71
2025-07-04,21
2025-07-05,16
2025-07-06,18
2025-07-07,75
2025-07-08,75
2025-07-09,69
2025-07-10,73
2025-07-11,69
2025-07-12,19
2025-07-13,18
2025-07-14,77
2025-07-15,76
2025-07-16,73
2025-07-17,83
2025-07-18,70
2025-07-19,23
2025-07-20,20
2025-07-21,77
2025-07-22,83
2025-07-23,83
2025-07-24,81
2025-07-25,72
2025-07-26,24
2025-07-27,28
2025-07-28,73
2025-07-29,79
2025-07-30,89
2025-07-31,95
2025-08-01,80
2025-08-02,21
2025-08-03,24
2025-08-04,83
2025-08-05,80
2025-08-06,86
2025-08-07,100
2025-08-08,77
2025-08-09,29
2025-08-10,25
2025-08-11,78
2025-08-12,78
2025-08-13,84
2025-08-14,79
2025-08-15,76
2025-08-16,20
2025-08-17,18
2025-08-18,73
2025-08-19,71
2025-08-20,72
2025-08-21,67
2025-08-22,70
2025-08-23,23
2025-08-24,20
2025-08-25,74
2025-08-26,71
2025-08-27,74
2025-08-28,70
2025-08-29,65
2025-08-30,17
2025-08-31,16
2025-09-01,19
2025-09-02,72
2025-09-03,73
2025-09-04,73
2025-09-05,67
2025-09-06,18
2025-09-07,16
2025-09-08,68
2025-09-09,77
2025-09-10,72
2025-09-11,71
2025-09-12,69
2025-09-13,18
2025-09-14,17
2025-09-15,78
2025-09-16,71
2025-09-17,77
2025-09-18,77
2025-09-19,73
2025-09-20,19
2025-09-21,18
2025-09-22,77
2025-09-23,78
2025-09-24,67
2025-09-25,72
2025-09-26,65
2025-09-27,19
2025-09-28,16
2025-09-29,70
2025-09-30,74
2025-10-01,75
2025-10-02,75
2025-10-03,68
2025-10-04,20
2025-10-05,17
2025-10-06,86
2025-10-07,74
2025-10-08,77
2025-10-09,84
2025-10-10,84
2025-10-11,27
2025-10-12,22
2025-10-13,82
2025-10-14,81
2025-10-15,75
2025-10-16,80
2025-10-17,78
2025-10-18,20
2025-10-19,20
2025-10-20,75
2025-10-21,80
2025-10-22,84
2025-10-23,75
2025-10-24,75
2025-10-25,21
2025-10-26,20
2025-10-27,86
2025-10-28,77
2025-10-29,89
2025-10-30,91
2025-10-31,89
2025-11-01,25
2025-11-02,23
2025-11-03,79
2025-11-04,81
2025-11-05,85
2025-11-06,83
2025-11-07,74
2025-11-08,26
2025-11-09,21
2025-11-10,79
2025-11-11,77
2025-11-12,78
2025-11-13,79
2025-11-14,80
2025-11-15,23
2025-11-16,20
2025-11-17,74
2025-11-18,80
2025-11-19,83
2025-11-20,89
2025-11-21,80
2025-11-22,24
2025-11-23,21
2025-11-24,71
2025-11-25,68
2025-11-26,66
2025-11-27,22
2025-11-28,49
2025-11-29,20
2025-11-30,21
2025-12-01,71
2025-12-02,66
2025-12-03,70
2025-12-04,69
2025-12-05,64
2025-12-06,23
2025-12-07,20
2025-12-08,67
2025-12-09,72
2025-12-10,74
2025-12-11,71
2025-12-12,70
2025-12-13,24
2025-12-14,17
2025-12-15,69
2025-12-16,65
2025-12-17,74
2025-12-18,67
2025-12-19,64
2025-12-20,20
2025-12-21,17
2025-12-22,67
2025-12-23,64
2025-12-24,50
2025-12-25,19
2025-12-26,52
2025-12-27,19
2025-12-28,18
2025-12-29,60
2025-12-30,59
2025-12-31,53
2026-01-01,22
2026-01-02,58
2026-01-03,24
2026-01-04,22
2026-01-05,70
2026-01-06,71
2026-01-07,71
2026-01-08,67
2026-01-09,66
