Time,yahoo finance
2024-08-18,11
2024-08-19,42
2024-08-20,44
2024-08-21,43
2024-08-22,40
2024-08-23,42
2024-08-24,11
2024-08-25,10
2024-08-26,41
2024-08-27,39
2024-08-28,47
2024-08-29,43
2024-08-30,34
2024-08-31,10
2024-09-01,9
2024-09-02,11
2024-09-03,43
2024-09-04,39
2024-09-05,39
2024-09-06,37
2024-09-07,10
2024-09-08,9
2024-09-09,39
2024-09-10,39
2024-09-11,40
2024-09-12,41
2024-09-13,39
2024-09-14,10
2024-09-15,9
2024-09-16,39
2024-09-17,38
2024-09-18,49
2024-09-19,46
2024-09-20,44
2024-09-21,12
2024-09-22,9
2024-09-23,40
2024-09-24,41
2024-09-25,42
2024-09-26,41
2024-09-27,38
2024-09-28,10
2024-09-29,9
2024-09-30,42
2024-10-01,41
2024-10-02,39
2024-10-03,39
2024-10-04,41
2024-10-05,11
2024-10-06,10
2024-10-07,37
2024-10-08,38
2024-10-09,38
2024-10-10,37
2024-10-11,37
2024-10-12,11
2024-10-13,9
2024-10-14,38
2024-10-15,40
2024-10-16,40
2024-10-17,40
2024-10-18,41
2024-10-19,11
2024-10-20,8
2024-10-21,40
2024-10-22,38
2024-10-23,45
2024-10-24,41
2024-10-25,37
2024-10-26,10
2024-10-27,9
2024-10-28,40
2024-10-29,39
2024-10-30,41
2024-10-31,43
2024-11-01,40
2024-11-02,10
2024-11-03,9
2024-11-04,41
2024-11-05,37
2024-11-06,47
2024-11-07,53
2024-11-08,47
2024-11-09,14
2024-11-10,11
2024-11-11,45
2024-11-12,47
2024-11-13,46
2024-11-14,43
2024-11-15,40
2024-11-16,12
2024-11-17,10
2024-11-18,42
2024-11-19,42
2024-11-20,46
2024-11-21,43
2024-11-22,39
2024-11-23,12
2024-11-24,11
2024-11-25,40
2024-11-26,42
2024-11-27,37
2024-11-28,12
2024-11-29,28
2024-11-30,11
2024-12-01,10
2024-12-02,39
2024-12-03,40
2024-12-04,43
2024-12-05,44
2024-12-06,38
2024-12-07,15
2024-12-08,11
2024-12-09,41
2024-12-10,44
2024-12-11,42
2024-12-12,40
2024-12-13,41
2024-12-14,12
2024-12-15,10
2024-12-16,42
2024-12-17,45
2024-12-18,47
2024-12-19,47
2024-12-20,45
2024-12-21,12
2024-12-22,10
2024-12-23,41
2024-12-24,32
2024-12-25,12
2024-12-26,39
2024-12-27,36
2024-12-28,12
2024-12-29,10
2024-12-30,39
2024-12-31,35
2025-01-01,12
2025-01-02,40
2025-01-03,39
2025-01-04,13
2025-01-05,11
2025-01-06,40
2025-01-07,42
2025-01-08,40
2025-01-09,29
2025-01-10,40
2025-01-11,11
2025-01-12,10
2025-01-13,42
2025-01-14,41
2025-01-15,42
2025-01-16,45
2025-01-17,38
2025-01-18,12
2025-01-19,10
2025-01-20,21
2025-01-21,45
2025-01-22,46
2025-01-23,42
2025-01-24,41
2025-01-25,12
2025-01-26,11
2025-01-27,49
2025-01-28,47
2025-01-29,46
2025-01-30,47
2025-01-31,46
2025-02-01,14
2025-02-02,15
2025-02-03,58
2025-02-04,48
2025-02-05,47
2025-02-06,48
2025-02-07,47
2025-02-08,13
2025-02-09,10
2025-02-10,47
2025-02-11,46
2025-02-12,47
2025-02-13,44
2025-02-14,44
2025-02-15,14
2025-02-16,12
2025-02-17,22
2025-02-18,50
2025-02-19,46
2025-02-20,46
2025-02-21,44
2025-02-22,15
2025-02-23,11
2025-02-24,46
2025-02-25,48
2025-02-26,50
2025-02-27,44
2025-02-28,47
2025-03-01,14
2025-03-02,11
2025-03-03,47
2025-03-04,56
2025-03-05,51
2025-03-06,48
2025-03-07,48
2025-03-08,14
2025-03-09,12
2025-03-10,55
2025-03-11,63
2025-03-12,51
2025-03-13,52
2025-03-14,47
2025-03-15,14
2025-03-16,12
2025-03-17,44
2025-03-18,47
2025-03-19,46
2025-03-20,45
2025-03-21,39
2025-03-22,10
2025-03-23,11
2025-03-24,43
2025-03-25,42
2025-03-26,44
2025-03-27,44
2025-03-28,45
2025-03-29,13
2025-03-30,11
2025-03-31,46
2025-04-01,45
2025-04-02,51
2025-04-03,85
2025-04-04,89
2025-04-05,19
2025-04-06,20
2025-04-07,99
2025-04-08,81
2025-04-09,100
2025-04-10,88
2025-04-11,68
2025-04-12,17
2025-04-13,15
2025-04-14,51
2025-04-15,53
2025-04-16,53
2025-04-17,51
2025-04-18,30
2025-04-19,10
2025-04-20,10
2025-04-21,54
2025-04-22,58
2025-04-23,54
2025-04-24,50
2025-04-25,46
2025-04-26,12
2025-04-27,12
2025-04-28,49
2025-04-29,46
2025-04-30,48
2025-05-01,51
2025-05-02,45
2025-05-03,13
2025-05-04,11
2025-05-05,45
2025-05-06,45
2025-05-07,49
2025-05-08,50
2025-05-09,43
2025-05-10,12
2025-05-11,13
2025-05-12,57
2025-05-13,50
2025-05-14,46
