Time,ryan grantham
2023-04-26,6
2023-04-27,0
2023-04-28,7
2023-04-29,14
2023-04-30,14
2023-05-01,16
2023-05-02,15
2023-05-03,19
2023-05-04,19
2023-05-05,19
2023-05-06,20
2023-05-07,13
2023-05-08,10
2023-05-09,9
2023-05-10,7
2023-05-11,6
2023-05-12,7
2023-05-13,0
2023-05-14,7
2023-05-15,0
2023-05-16,10
2023-05-17,9
2023-05-18,6
2023-05-19,0
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,6
2023-05-26,6
2023-05-27,0
2023-05-28,7
2023-05-29,6
2023-05-30,0
2023-05-31,6
2023-06-01,23
2023-06-02,14
2023-06-03,7
2023-06-04,7
2023-06-05,0
2023-06-06,7
2023-06-07,9
2023-06-08,6
2023-06-09,0
2023-06-10,0
2023-06-11,9
2023-06-12,42
2023-06-13,60
2023-06-14,31
2023-06-15,12
2023-06-16,17
2023-06-17,56
2023-06-18,58
2023-06-19,17
2023-06-20,28
2023-06-21,20
2023-06-22,17
2023-06-23,0
2023-06-24,10
2023-06-25,10
2023-06-26,9
2023-06-27,9
2023-06-28,8
2023-06-29,8
2023-06-30,11
2023-07-01,9
2023-07-02,8
2023-07-03,0
2023-07-04,10
2023-07-05,8
2023-07-06,7
2023-07-07,6
2023-07-08,7
2023-07-09,10
2023-07-10,11
2023-07-11,8
2023-07-12,0
2023-07-13,9
2023-07-14,0
2023-07-15,8
2023-07-16,16
2023-07-17,8
2023-07-18,0
2023-07-19,7
2023-07-20,0
2023-07-21,10
2023-07-22,0
2023-07-23,0
2023-07-24,8
2023-07-25,12
2023-07-26,10
2023-07-27,7
2023-07-28,0
2023-07-29,9
2023-07-30,8
2023-07-31,0
2023-08-01,0
2023-08-02,10
2023-08-03,27
2023-08-04,33
2023-08-05,27
2023-08-06,13
2023-08-07,11
2023-08-08,11
2023-08-09,9
2023-08-10,13
2023-08-11,14
2023-08-12,15
2023-08-13,17
2023-08-14,71
2023-08-15,100
2023-08-16,70
2023-08-17,58
2023-08-18,44
2023-08-19,29
2023-08-20,26
2023-08-21,18
2023-08-22,12
2023-08-23,13
2023-08-24,11
2023-08-25,22
2023-08-26,49
2023-08-27,54
2023-08-28,31
2023-08-29,15
2023-08-30,10
2023-08-31,11
2023-09-01,11
2023-09-02,7
2023-09-03,17
2023-09-04,10
2023-09-05,10
2023-09-06,13
2023-09-07,28
2023-09-08,16
2023-09-09,18
2023-09-10,15
2023-09-11,97
2023-09-12,40
2023-09-13,42
2023-09-14,37
2023-09-15,40
2023-09-16,32
2023-09-17,47
2023-09-18,23
2023-09-19,26
2023-09-20,21
2023-09-21,12
2023-09-22,22
2023-09-23,20
2023-09-24,38
2023-09-25,21
2023-09-26,16
2023-09-27,22
2023-09-28,20
2023-09-29,22
2023-09-30,20
2023-10-01,16
2023-10-02,8
2023-10-03,13
2023-10-04,10
2023-10-05,7
2023-10-06,9
2023-10-07,10
2023-10-08,7
2023-10-09,7
2023-10-10,9
2023-10-11,11
2023-10-12,14
2023-10-13,9
2023-10-14,11
2023-10-15,14
2023-10-16,8
2023-10-17,9
2023-10-18,9
2023-10-19,19
2023-10-20,18
2023-10-21,31
2023-10-22,27
2023-10-23,27
2023-10-24,23
2023-10-25,13
2023-10-26,7
2023-10-27,7
2023-10-28,18
2023-10-29,75
2023-10-30,16
2023-10-31,0
2023-11-01,11
2023-11-02,11
2023-11-03,10
2023-11-04,24
2023-11-05,27
2023-11-06,11
2023-11-07,7
2023-11-08,6
2023-11-09,0
2023-11-10,7
2023-11-11,8
2023-11-12,11
2023-11-13,9
2023-11-14,7
2023-11-15,6
2023-11-16,8
2023-11-17,9
2023-11-18,10
2023-11-19,10
2023-11-20,8
2023-11-21,7
2023-11-22,7
2023-11-23,17
2023-11-24,0
2023-11-25,10
2023-11-26,11
2023-11-27,8
2023-11-28,6
2023-11-29,6
2023-11-30,11
2023-12-01,6
2023-12-02,7
2023-12-03,10
2023-12-04,9
2023-12-05,11
2023-12-06,11
2023-12-07,11
2023-12-08,45
2023-12-09,15
2023-12-10,17
2023-12-11,26
2023-12-12,6
2023-12-13,8
2023-12-14,7
2023-12-15,7
2023-12-16,7
2023-12-17,8
2023-12-18,0
2023-12-19,9
2023-12-20,14
2023-12-21,15
2023-12-22,14
2023-12-23,9
2023-12-24,23
2023-12-25,13
2023-12-26,11
2023-12-27,31
2023-12-28,17
2023-12-29,16
2023-12-30,11
2023-12-31,8
2024-01-01,15
2024-01-02,13
2024-01-03,9
2024-01-04,0
2024-01-05,8
2024-01-06,0
2024-01-07,8
2024-01-08,0
2024-01-09,0
2024-01-10,8
2024-01-11,9
2024-01-12,7
2024-01-13,0
2024-01-14,8
2024-01-15,8
2024-01-16,0
2024-01-17,7
2024-01-18,6
2024-01-19,6
2024-01-20,8
