Time,ryan grantham
2024-08-18,17
2024-08-19,12
2024-08-20,17
2024-08-21,14
2024-08-22,16
2024-08-23,41
2024-08-24,44
2024-08-25,44
2024-08-26,27
2024-08-27,0
2024-08-28,16
2024-08-29,0
2024-08-30,13
2024-08-31,17
2024-09-01,24
2024-09-02,37
2024-09-03,0
2024-09-04,11
2024-09-05,22
2024-09-06,22
2024-09-07,38
2024-09-08,30
2024-09-09,32
2024-09-10,31
2024-09-11,26
2024-09-12,40
2024-09-13,24
2024-09-14,32
2024-09-15,31
2024-09-16,21
2024-09-17,21
2024-09-18,29
2024-09-19,39
2024-09-20,22
2024-09-21,23
2024-09-22,0
2024-09-23,19
2024-09-24,31
2024-09-25,31
2024-09-26,18
2024-09-27,25
2024-09-28,29
2024-09-29,17
2024-09-30,17
2024-10-01,12
2024-10-02,30
2024-10-03,0
2024-10-04,0
2024-10-05,19
2024-10-06,0
2024-10-07,14
2024-10-08,11
2024-10-09,0
2024-10-10,0
2024-10-11,14
2024-10-12,15
2024-10-13,15
2024-10-14,0
2024-10-15,0
2024-10-16,17
2024-10-17,0
2024-10-18,0
2024-10-19,33
2024-10-20,36
2024-10-21,39
2024-10-22,41
2024-10-23,19
2024-10-24,14
2024-10-25,21
2024-10-26,22
2024-10-27,15
2024-10-28,18
2024-10-29,13
2024-10-30,0
2024-10-31,14
2024-11-01,0
2024-11-02,0
2024-11-03,14
2024-11-04,15
2024-11-05,0
2024-11-06,0
2024-11-07,0
2024-11-08,0
2024-11-09,0
2024-11-10,0
2024-11-11,0
2024-11-12,12
2024-11-13,13
2024-11-14,0
2024-11-15,12
2024-11-16,0
2024-11-17,28
2024-11-18,43
2024-11-19,27
2024-11-20,22
2024-11-21,85
2024-11-22,55
2024-11-23,39
2024-11-24,54
2024-11-25,67
2024-11-26,72
2024-11-27,100
2024-11-28,57
2024-11-29,36
2024-11-30,18
2024-12-01,22
2024-12-02,16
2024-12-03,0
2024-12-04,18
2024-12-05,15
2024-12-06,22
2024-12-07,23
2024-12-08,16
2024-12-09,19
2024-12-10,17
2024-12-11,24
2024-12-12,20
2024-12-13,14
2024-12-14,0
2024-12-15,28
2024-12-16,24
2024-12-17,21
2024-12-18,14
2024-12-19,18
2024-12-20,0
2024-12-21,0
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-25,17
2024-12-26,0
2024-12-27,0
2024-12-28,0
2024-12-29,0
2024-12-30,0
2024-12-31,17
2025-01-01,15
2025-01-02,17
2025-01-03,0
2025-01-04,20
2025-01-05,23
2025-01-06,17
2025-01-07,15
2025-01-08,18
2025-01-09,23
2025-01-10,13
2025-01-11,22
2025-01-12,20
2025-01-13,14
2025-01-14,26
2025-01-15,0
2025-01-16,20
2025-01-17,25
2025-01-18,24
2025-01-19,0
2025-01-20,25
2025-01-21,18
2025-01-22,0
2025-01-23,0
2025-01-24,13
2025-01-25,17
2025-01-26,0
2025-01-27,20
2025-01-28,18
2025-01-29,23
2025-01-30,13
2025-01-31,0
2025-02-01,21
2025-02-02,0
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,0
2025-02-07,24
2025-02-08,0
2025-02-09,0
2025-02-10,0
2025-02-11,0
2025-02-12,0
2025-02-13,0
2025-02-14,0
2025-02-15,16
2025-02-16,0
2025-02-17,0
2025-02-18,12
2025-02-19,15
2025-02-20,11
2025-02-21,20
2025-02-22,16
2025-02-23,0
2025-02-24,0
2025-02-25,12
2025-02-26,16
2025-02-27,22
2025-02-28,0
2025-03-01,0
2025-03-02,63
2025-03-03,20
2025-03-04,12
2025-03-05,14
2025-03-06,12
2025-03-07,0
2025-03-08,0
2025-03-09,0
2025-03-10,40
2025-03-11,29
2025-03-12,18
2025-03-13,0
2025-03-14,85
2025-03-15,96
2025-03-16,69
2025-03-17,35
2025-03-18,35
2025-03-19,27
2025-03-20,26
2025-03-21,51
2025-03-22,43
2025-03-23,50
2025-03-24,76
2025-03-25,71
2025-03-26,42
2025-03-27,17
2025-03-28,34
2025-03-29,18
2025-03-30,0
2025-03-31,24
2025-04-01,18
2025-04-02,11
2025-04-03,0
2025-04-04,20
2025-04-05,24
2025-04-06,21
2025-04-07,13
2025-04-08,16
2025-04-09,13
2025-04-10,12
2025-04-11,0
2025-04-12,14
2025-04-13,0
2025-04-14,0
2025-04-15,0
2025-04-16,0
2025-04-17,0
2025-04-18,0
2025-04-19,15
2025-04-20,27
2025-04-21,25
2025-04-22,13
2025-04-23,0
2025-04-24,32
2025-04-25,14
2025-04-26,26
2025-04-27,26
2025-04-28,17
2025-04-29,17
2025-04-30,0
2025-05-01,0
2025-05-02,16
2025-05-03,27
2025-05-04,21
2025-05-05,20
2025-05-06,0
2025-05-07,0
2025-05-08,0
2025-05-09,13
2025-05-10,0
2025-05-11,16
2025-05-12,17
2025-05-13,0
2025-05-14,0
