Time,nhl
2022-08-29,3
2022-08-30,3
2022-08-31,4
2022-09-01,4
2022-09-02,3
2022-09-03,3
2022-09-04,3
2022-09-05,3
2022-09-06,3
2022-09-07,3
2022-09-08,4
2022-09-09,4
2022-09-10,3
2022-09-11,4
2022-09-12,4
2022-09-13,4
2022-09-14,4
2022-09-15,4
2022-09-16,4
2022-09-17,4
2022-09-18,4
2022-09-19,4
2022-09-20,5
2022-09-21,5
2022-09-22,5
2022-09-23,5
2022-09-24,6
2022-09-25,9
2022-09-26,7
2022-09-27,9
2022-09-28,9
2022-09-29,7
2022-09-30,8
2022-10-01,10
2022-10-02,9
2022-10-03,8
2022-10-04,9
2022-10-05,10
2022-10-06,11
2022-10-07,13
2022-10-08,14
2022-10-09,11
2022-10-10,9
2022-10-11,15
2022-10-12,25
2022-10-13,28
2022-10-14,27
2022-10-15,24
2022-10-16,24
2022-10-17,15
2022-10-18,25
2022-10-19,22
2022-10-20,24
2022-10-21,24
2022-10-22,25
2022-10-23,26
2022-10-24,15
2022-10-25,21
2022-10-26,26
2022-10-27,19
2022-10-28,21
2022-10-29,23
2022-10-30,23
2022-10-31,17
2022-11-01,17
2022-11-02,25
2022-11-03,17
2022-11-04,26
2022-11-05,20
2022-11-06,24
2022-11-07,15
2022-11-08,17
2022-11-09,22
2022-11-10,17
2022-11-11,22
2022-11-12,21
2022-11-13,26
2022-11-14,16
2022-11-15,17
2022-11-16,19
2022-11-17,16
2022-11-18,24
2022-11-19,18
2022-11-20,28
2022-11-21,14
2022-11-22,21
2022-11-23,19
2022-11-24,28
2022-11-25,19
2022-11-26,25
2022-11-27,22
2022-11-28,15
2022-11-29,18
2022-11-30,21
2022-12-01,18
2022-12-02,20
2022-12-03,18
2022-12-04,25
2022-12-05,15
2022-12-06,18
2022-12-07,19
2022-12-08,25
2022-12-09,17
2022-12-10,27
2022-12-11,22
2022-12-12,16
2022-12-13,18
2022-12-14,28
2022-12-15,19
2022-12-16,24
2022-12-17,23
2022-12-18,25
2022-12-19,17
2022-12-20,22
2022-12-21,21
2022-12-22,22
2022-12-23,24
2022-12-24,28
2022-12-25,12
2022-12-26,12
2022-12-27,13
2022-12-28,26
2022-12-29,23
2022-12-30,24
2022-12-31,26
2023-01-01,27
2023-01-02,30
2023-01-03,17
2023-01-04,25
2023-01-05,21
2023-01-06,29
2023-01-07,26
2023-01-08,27
2023-01-09,19
2023-01-10,18
2023-01-11,23
2023-01-12,19
2023-01-13,24
2023-01-14,23
2023-01-15,30
2023-01-16,22
2023-01-17,21
2023-01-18,22
2023-01-19,24
2023-01-20,28
2023-01-21,24
2023-01-22,29
2023-01-23,18
2023-01-24,20
2023-01-25,26
2023-01-26,22
2023-01-27,25
2023-01-28,28
2023-01-29,30
2023-01-30,16
2023-01-31,18
2023-02-01,18
2023-02-02,20
2023-02-03,19
2023-02-04,43
2023-02-05,18
2023-02-06,11
2023-02-07,20
2023-02-08,19
2023-02-09,20
2023-02-10,21
2023-02-11,30
2023-02-12,28
2023-02-13,13
2023-02-14,19
2023-02-15,24
2023-02-16,22
2023-02-17,26
2023-02-18,37
2023-02-19,41
2023-02-20,28
2023-02-21,22
2023-02-22,26
2023-02-23,22
2023-02-24,31
2023-02-25,34
2023-02-26,44
2023-02-27,27
2023-02-28,31
2023-03-01,36
2023-03-02,35
2023-03-03,39
2023-03-04,36
2023-03-05,31
2023-03-06,21
2023-03-07,22
2023-03-08,26
2023-03-09,19
2023-03-10,26
2023-03-11,27
2023-03-12,39
2023-03-13,20
2023-03-14,21
2023-03-15,26
2023-03-16,22
2023-03-17,25
2023-03-18,27
2023-03-19,36
2023-03-20,22
2023-03-21,24
2023-03-22,27
2023-03-23,23
2023-03-24,28
2023-03-25,34
2023-03-26,39
2023-03-27,23
2023-03-28,27
2023-03-29,28
2023-03-30,26
2023-03-31,31
2023-04-01,33
2023-04-02,46
2023-04-03,25
2023-04-04,24
2023-04-05,30
2023-04-06,27
2023-04-07,40
2023-04-08,39
2023-04-09,56
2023-04-10,36
2023-04-11,44
2023-04-12,45
2023-04-13,40
2023-04-14,57
2023-04-15,37
2023-04-16,25
2023-04-17,36
2023-04-18,64
2023-04-19,57
2023-04-20,58
2023-04-21,54
2023-04-22,76
2023-04-23,91
2023-04-24,52
2023-04-25,61
2023-04-26,52
2023-04-27,53
2023-04-28,56
2023-04-29,88
2023-04-30,100
2023-05-01,96
2023-05-02,58
2023-05-03,55
2023-05-04,48
2023-05-05,49
2023-05-06,51
2023-05-07,59
2023-05-08,57
2023-05-09,66
2023-05-10,50
2023-05-11,49
2023-05-12,56
2023-05-13,79
2023-05-14,58
2023-05-15,57
2023-05-16,53
2023-05-17,25
2023-05-18,26
2023-05-19,71
2023-05-20,49
2023-05-21,66
2023-05-22,27
2023-05-23,41
2023-05-24,40
2023-05-25,48
