Time,nhl
2023-12-22,26
2023-12-23,27
2023-12-24,29
2023-12-25,12
2023-12-26,12
2023-12-27,13
2023-12-28,28
2023-12-29,22
2023-12-30,27
2023-12-31,29
2024-01-01,30
2024-01-02,15
2024-01-03,26
2024-01-04,19
2024-01-05,33
2024-01-06,26
2024-01-07,28
2024-01-08,15
2024-01-09,20
2024-01-10,20
2024-01-11,20
2024-01-12,22
2024-01-13,23
2024-01-14,31
2024-01-15,21
2024-01-16,18
2024-01-17,22
2024-01-18,17
2024-01-19,24
2024-01-20,25
2024-01-21,28
2024-01-22,18
2024-01-23,22
2024-01-24,24
2024-01-25,24
2024-01-26,21
2024-01-27,28
2024-01-28,28
2024-01-29,15
2024-01-30,16
2024-01-31,16
2024-02-01,18
2024-02-02,20
2024-02-03,37
2024-02-04,17
2024-02-05,10
2024-02-06,16
2024-02-07,20
2024-02-08,17
2024-02-09,18
2024-02-10,26
2024-02-11,22
2024-02-12,10
2024-02-13,17
2024-02-14,20
2024-02-15,17
2024-02-16,24
2024-02-17,29
2024-02-18,41
2024-02-19,31
2024-02-20,20
2024-02-21,24
2024-02-22,23
2024-02-23,26
2024-02-24,30
2024-02-25,34
2024-02-26,20
2024-02-27,19
2024-02-28,24
2024-02-29,20
2024-03-01,24
2024-03-02,26
2024-03-03,31
2024-03-04,19
2024-03-05,22
2024-03-06,27
2024-03-07,26
2024-03-08,38
2024-03-09,30
2024-03-10,33
2024-03-11,17
2024-03-12,19
2024-03-13,22
2024-03-14,20
2024-03-15,21
2024-03-16,25
2024-03-17,32
2024-03-18,17
2024-03-19,19
2024-03-20,26
2024-03-21,18
2024-03-22,22
2024-03-23,27
2024-03-24,33
2024-03-25,19
2024-03-26,18
2024-03-27,27
2024-03-28,18
2024-03-29,26
2024-03-30,25
2024-03-31,30
2024-04-01,14
2024-04-02,24
2024-04-03,23
2024-04-04,25
2024-04-05,26
2024-04-06,38
2024-04-07,34
2024-04-08,21
2024-04-09,22
2024-04-10,30
2024-04-11,24
2024-04-12,33
2024-04-13,41
2024-04-14,47
2024-04-15,29
2024-04-16,51
2024-04-17,54
2024-04-18,40
2024-04-19,41
2024-04-20,42
2024-04-21,67
2024-04-22,42
2024-04-23,48
2024-04-24,46
2024-04-25,46
2024-04-26,38
2024-04-27,62
2024-04-28,70
2024-04-29,49
2024-04-30,45
2024-05-01,52
2024-05-02,44
2024-05-03,45
2024-05-04,52
2024-05-05,85
2024-05-06,47
2024-05-07,47
2024-05-08,55
2024-05-09,44
2024-05-10,47
2024-05-11,53
2024-05-12,58
2024-05-13,44
2024-05-14,44
2024-05-15,45
2024-05-16,41
2024-05-17,55
2024-05-18,68
2024-05-19,48
2024-05-20,26
2024-05-21,40
2024-05-22,25
2024-05-23,36
2024-05-24,39
2024-05-25,48
2024-05-26,58
2024-05-27,31
2024-05-28,37
2024-05-29,40
2024-05-30,38
2024-05-31,42
2024-06-01,43
2024-06-02,57
2024-06-03,42
2024-06-04,15
2024-06-05,14
2024-06-06,14
2024-06-07,13
2024-06-08,23
2024-06-09,47
2024-06-10,19
2024-06-11,41
2024-06-12,17
2024-06-13,22
2024-06-14,40
2024-06-15,25
2024-06-16,52
2024-06-17,20
2024-06-18,24
2024-06-19,56
2024-06-20,24
2024-06-21,28
2024-06-22,74
2024-06-23,26
2024-06-24,35
2024-06-25,100
2024-06-26,13
2024-06-27,14
2024-06-28,27
2024-06-29,41
2024-06-30,13
2024-07-01,23
2024-07-02,13
2024-07-03,10
2024-07-04,8
2024-07-05,6
2024-07-06,6
2024-07-07,6
2024-07-08,5
2024-07-09,5
2024-07-10,5
2024-07-11,5
2024-07-12,5
2024-07-13,4
2024-07-14,4
2024-07-15,4
2024-07-16,4
2024-07-17,4
2024-07-18,4
2024-07-19,4
2024-07-20,4
2024-07-21,3
2024-07-22,3
2024-07-23,3
2024-07-24,3
2024-07-25,3
2024-07-26,3
2024-07-27,3
2024-07-28,3
2024-07-29,3
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,3
2024-08-04,3
2024-08-05,3
2024-08-06,3
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,3
2024-08-11,3
2024-08-12,3
2024-08-13,3
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,4
2024-08-19,4
2024-08-20,4
2024-08-21,3
2024-08-22,4
2024-08-23,4
2024-08-24,4
2024-08-25,3
2024-08-26,3
2024-08-27,3
2024-08-28,3
2024-08-29,3
2024-08-30,9
2024-08-31,7
2024-09-01,5
2024-09-02,4
2024-09-03,4
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,4
2024-09-08,4
2024-09-09,4
2024-09-10,12
2024-09-11,6
2024-09-12,4
2024-09-13,4
2024-09-14,4
2024-09-15,4
2024-09-16,5
