Time,black panther 2
2025-04-15,26
2025-04-16,36
2025-04-17,31
2025-04-18,43
2025-04-19,39
2025-04-20,70
2025-04-21,46
2025-04-22,31
2025-04-23,55
2025-04-24,54
2025-04-25,43
2025-04-26,38
2025-04-27,60
2025-04-28,42
2025-04-29,28
2025-04-30,38
2025-05-01,52
2025-05-02,58
2025-05-03,53
2025-05-04,60
2025-05-05,52
2025-05-06,46
2025-05-07,57
2025-05-08,43
2025-05-09,50
2025-05-10,60
2025-05-11,74
2025-05-12,24
2025-05-13,43
2025-05-14,52
2025-05-15,58
2025-05-16,45
2025-05-17,65
2025-05-18,76
2025-05-19,38
2025-05-20,46
2025-05-21,52
2025-05-22,46
2025-05-23,25
2025-05-24,35
2025-05-25,71
2025-05-26,78
2025-05-27,37
2025-05-28,44
2025-05-29,43
2025-05-30,27
2025-05-31,59
2025-06-01,52
2025-06-02,50
2025-06-03,20
2025-06-04,20
2025-06-05,57
2025-06-06,91
2025-06-07,84
2025-06-08,79
2025-06-09,63
2025-06-10,48
2025-06-11,40
2025-06-12,31
2025-06-13,49
2025-06-14,45
2025-06-15,60
2025-06-16,42
2025-06-17,43
2025-06-18,37
2025-06-19,65
2025-06-20,58
2025-06-21,75
2025-06-22,76
2025-06-23,47
2025-06-24,35
2025-06-25,70
2025-06-26,100
2025-06-27,59
2025-06-28,84
2025-06-29,54
2025-06-30,59
2025-07-01,60
2025-07-02,79
2025-07-03,56
2025-07-04,54
2025-07-05,75
2025-07-06,73
2025-07-07,33
2025-07-08,75
2025-07-09,41
2025-07-10,43
2025-07-11,57
2025-07-12,68
2025-07-13,70
2025-07-14,46
2025-07-15,25
2025-07-16,44
2025-07-17,38
2025-07-18,34
2025-07-19,36
2025-07-20,43
2025-07-21,34
2025-07-22,53
2025-07-23,30
2025-07-24,48
2025-07-25,46
2025-07-26,52
2025-07-27,71
2025-07-28,48
2025-07-29,47
2025-07-30,46
2025-07-31,40
2025-08-01,44
2025-08-02,52
2025-08-03,58
2025-08-04,66
2025-08-05,58
2025-08-06,39
2025-08-07,45
2025-08-08,33
2025-08-09,38
2025-08-10,71
2025-08-11,50
2025-08-12,21
2025-08-13,24
2025-08-14,39
2025-08-15,21
2025-08-16,42
2025-08-17,83
2025-08-18,39
2025-08-19,38
2025-08-20,31
2025-08-21,21
2025-08-22,40
2025-08-23,40
2025-08-24,28
2025-08-25,31
2025-08-26,27
2025-08-27,30
2025-08-28,36
2025-08-29,25
2025-08-30,34
2025-08-31,33
2025-09-01,35
2025-09-02,35
2025-09-03,36
2025-09-04,25
2025-09-05,20
2025-09-06,0
2025-09-07,38
2025-09-08,25
2025-09-09,20
2025-09-10,0
2025-09-11,32
2025-09-12,0
2025-09-13,38
2025-09-14,44
2025-09-15,0
2025-09-16,22
2025-09-17,0
2025-09-18,0
2025-09-19,38
2025-09-20,20
2025-09-21,32
2025-09-22,23
2025-09-23,21
2025-09-24,27
2025-09-25,25
2025-09-26,51
2025-09-27,43
2025-09-28,35
2025-09-29,36
2025-09-30,33
2025-10-01,41
2025-10-02,22
2025-10-03,29
2025-10-04,44
2025-10-05,41
2025-10-06,60
2025-10-07,27
2025-10-08,22
2025-10-09,19
2025-10-10,26
2025-10-11,39
2025-10-12,0
2025-10-13,0
2025-10-14,32
2025-10-15,0
2025-10-16,34
2025-10-17,44
2025-10-18,48
2025-10-19,35
2025-10-20,20
2025-10-21,30
2025-10-22,31
2025-10-23,27
2025-10-24,0
2025-10-25,30
2025-10-26,33
2025-10-27,40
2025-10-28,20
2025-10-29,46
2025-10-30,31
2025-10-31,26
2025-11-01,0
2025-11-02,28
2025-11-03,21
2025-11-04,33
2025-11-05,38
2025-11-06,39
2025-11-07,25
2025-11-08,38
2025-11-09,22
2025-11-10,44
2025-11-11,0
2025-11-12,25
2025-11-13,26
2025-11-14,28
2025-11-15,54
2025-11-16,43
2025-11-17,38
2025-11-18,44
2025-11-19,35
2025-11-20,24
2025-11-21,62
2025-11-22,42
2025-11-23,30
2025-11-24,44
2025-11-25,26
2025-11-26,0
2025-11-27,50
2025-11-28,31
2025-11-29,39
2025-11-30,44
2025-12-01,20
2025-12-02,38
2025-12-03,42
2025-12-04,32
2025-12-05,48
2025-12-06,43
2025-12-07,31
2025-12-08,43
2025-12-09,32
2025-12-10,39
2025-12-11,34
2025-12-12,41
2025-12-13,27
2025-12-14,41
2025-12-15,35
2025-12-16,35
2025-12-17,28
2025-12-18,0
2025-12-19,33
2025-12-20,39
2025-12-21,35
2025-12-22,34
2025-12-23,29
2025-12-24,24
2025-12-25,0
2025-12-26,31
2025-12-27,0
2025-12-28,45
2025-12-29,34
2025-12-30,53
2025-12-31,50
2026-01-01,35
2026-01-02,42
2026-01-03,27
2026-01-04,39
2026-01-05,27
2026-01-06,51
2026-01-07,51
2026-01-08,30
2026-01-09,36
