Time,black panther 2
2023-04-26,61
2023-04-27,54
2023-04-28,50
2023-04-29,85
2023-04-30,75
2023-05-01,59
2023-05-02,65
2023-05-03,54
2023-05-04,54
2023-05-05,67
2023-05-06,80
2023-05-07,72
2023-05-08,70
2023-05-09,59
2023-05-10,51
2023-05-11,59
2023-05-12,61
2023-05-13,55
2023-05-14,88
2023-05-15,59
2023-05-16,43
2023-05-17,46
2023-05-18,39
2023-05-19,75
2023-05-20,58
2023-05-21,75
2023-05-22,41
2023-05-23,52
2023-05-24,48
2023-05-25,52
2023-05-26,47
2023-05-27,68
2023-05-28,87
2023-05-29,83
2023-05-30,52
2023-05-31,39
2023-06-01,50
2023-06-02,49
2023-06-03,65
2023-06-04,75
2023-06-05,62
2023-06-06,55
2023-06-07,44
2023-06-08,43
2023-06-09,44
2023-06-10,61
2023-06-11,100
2023-06-12,91
2023-06-13,55
2023-06-14,55
2023-06-15,59
2023-06-16,48
2023-06-17,62
2023-06-18,72
2023-06-19,66
2023-06-20,73
2023-06-21,65
2023-06-22,67
2023-06-23,61
2023-06-24,69
2023-06-25,65
2023-06-26,55
2023-06-27,52
2023-06-28,42
2023-06-29,42
2023-06-30,41
2023-07-01,46
2023-07-02,75
2023-07-03,54
2023-07-04,64
2023-07-05,29
2023-07-06,45
2023-07-07,68
2023-07-08,77
2023-07-09,57
2023-07-10,47
2023-07-11,57
2023-07-12,38
2023-07-13,35
2023-07-14,45
2023-07-15,50
2023-07-16,61
2023-07-17,38
2023-07-18,31
2023-07-19,31
2023-07-20,38
2023-07-21,37
2023-07-22,40
2023-07-23,47
2023-07-24,37
2023-07-25,37
2023-07-26,57
2023-07-27,36
2023-07-28,41
2023-07-29,40
2023-07-30,46
2023-07-31,29
2023-08-01,41
2023-08-02,24
2023-08-03,33
2023-08-04,37
2023-08-05,36
2023-08-06,43
2023-08-07,39
2023-08-08,33
2023-08-09,36
2023-08-10,18
2023-08-11,22
2023-08-12,32
2023-08-13,37
2023-08-14,45
2023-08-15,32
2023-08-16,21
2023-08-17,37
2023-08-18,32
2023-08-19,41
2023-08-20,67
2023-08-21,40
2023-08-22,28
2023-08-23,29
2023-08-24,30
2023-08-25,33
2023-08-26,30
2023-08-27,64
2023-08-28,32
2023-08-29,29
2023-08-30,27
2023-08-31,23
2023-09-01,20
2023-09-02,38
2023-09-03,29
2023-09-04,24
2023-09-05,19
2023-09-06,27
2023-09-07,29
2023-09-08,30
2023-09-09,20
2023-09-10,21
2023-09-11,24
2023-09-12,17
2023-09-13,21
2023-09-14,18
2023-09-15,25
2023-09-16,30
2023-09-17,39
2023-09-18,26
2023-09-19,17
2023-09-20,24
2023-09-21,29
2023-09-22,27
2023-09-23,44
2023-09-24,35
2023-09-25,30
2023-09-26,31
2023-09-27,17
2023-09-28,24
2023-09-29,23
2023-09-30,44
2023-10-01,38
2023-10-02,29
2023-10-03,28
2023-10-04,18
2023-10-05,30
2023-10-06,36
2023-10-07,33
2023-10-08,34
2023-10-09,25
2023-10-10,24
2023-10-11,23
2023-10-12,19
2023-10-13,19
2023-10-14,24
2023-10-15,33
2023-10-16,30
2023-10-17,42
2023-10-18,22
2023-10-19,25
2023-10-20,32
2023-10-21,41
2023-10-22,41
2023-10-23,23
2023-10-24,21
2023-10-25,40
2023-10-26,26
2023-10-27,27
2023-10-28,43
2023-10-29,33
2023-10-30,30
2023-10-31,30
2023-11-01,36
2023-11-02,33
2023-11-03,39
2023-11-04,43
2023-11-05,33
2023-11-06,44
2023-11-07,35
2023-11-08,46
2023-11-09,40
2023-11-10,52
2023-11-11,85
2023-11-12,56
2023-11-13,32
2023-11-14,38
2023-11-15,35
2023-11-16,32
2023-11-17,25
2023-11-18,32
2023-11-19,47
2023-11-20,24
2023-11-21,30
2023-11-22,42
2023-11-23,42
2023-11-24,32
2023-11-25,35
2023-11-26,43
2023-11-27,27
2023-11-28,29
2023-11-29,29
2023-11-30,30
2023-12-01,31
2023-12-02,39
2023-12-03,29
2023-12-04,33
2023-12-05,30
2023-12-06,19
2023-12-07,20
2023-12-08,25
2023-12-09,43
2023-12-10,31
2023-12-11,25
2023-12-12,32
2023-12-13,24
2023-12-14,32
2023-12-15,26
2023-12-16,29
2023-12-17,33
2023-12-18,24
2023-12-19,35
2023-12-20,24
2023-12-21,37
2023-12-22,17
2023-12-23,33
2023-12-24,46
2023-12-25,48
2023-12-26,28
2023-12-27,37
2023-12-28,32
2023-12-29,36
2023-12-30,38
2023-12-31,80
2024-01-01,60
2024-01-02,40
2024-01-03,30
2024-01-04,38
2024-01-05,35
2024-01-06,65
2024-01-07,53
2024-01-08,35
2024-01-09,26
2024-01-10,34
2024-01-11,30
2024-01-12,26
2024-01-13,35
2024-01-14,47
2024-01-15,34
2024-01-16,51
2024-01-17,45
2024-01-18,29
2024-01-19,22
2024-01-20,38
