Time,black panther 2
2023-12-22,21
2023-12-23,41
2023-12-24,57
2023-12-25,61
2023-12-26,36
2023-12-27,46
2023-12-28,40
2023-12-29,45
2023-12-30,48
2023-12-31,100
2024-01-01,75
2024-01-02,50
2024-01-03,38
2024-01-04,47
2024-01-05,44
2024-01-06,82
2024-01-07,66
2024-01-08,44
2024-01-09,32
2024-01-10,42
2024-01-11,38
2024-01-12,32
2024-01-13,44
2024-01-14,59
2024-01-15,43
2024-01-16,64
2024-01-17,57
2024-01-18,36
2024-01-19,28
2024-01-20,48
2024-01-21,39
2024-01-22,40
2024-01-23,31
2024-01-24,40
2024-01-25,31
2024-01-26,23
2024-01-27,47
2024-01-28,41
2024-01-29,38
2024-01-30,34
2024-01-31,30
2024-02-01,28
2024-02-02,47
2024-02-03,45
2024-02-04,44
2024-02-05,44
2024-02-06,46
2024-02-07,42
2024-02-08,46
2024-02-09,34
2024-02-10,40
2024-02-11,52
2024-02-12,49
2024-02-13,31
2024-02-14,35
2024-02-15,40
2024-02-16,38
2024-02-17,57
2024-02-18,98
2024-02-19,51
2024-02-20,41
2024-02-21,33
2024-02-22,40
2024-02-23,31
2024-02-24,39
2024-02-25,52
2024-02-26,69
2024-02-27,21
2024-02-28,47
2024-02-29,34
2024-03-01,50
2024-03-02,27
2024-03-03,53
2024-03-04,45
2024-03-05,29
2024-03-06,37
2024-03-07,30
2024-03-08,26
2024-03-09,44
2024-03-10,53
2024-03-11,47
2024-03-12,26
2024-03-13,40
2024-03-14,29
2024-03-15,31
2024-03-16,33
2024-03-17,37
2024-03-18,23
2024-03-19,26
2024-03-20,25
2024-03-21,29
2024-03-22,33
2024-03-23,40
2024-03-24,35
2024-03-25,23
2024-03-26,28
2024-03-27,25
2024-03-28,28
2024-03-29,32
2024-03-30,31
2024-03-31,40
2024-04-01,23
2024-04-02,15
2024-04-03,19
2024-04-04,38
2024-04-05,32
2024-04-06,24
2024-04-07,29
2024-04-08,19
2024-04-09,16
2024-04-10,33
2024-04-11,16
2024-04-12,21
2024-04-13,26
2024-04-14,35
2024-04-15,28
2024-04-16,16
2024-04-17,14
2024-04-18,21
2024-04-19,20
2024-04-20,30
2024-04-21,36
2024-04-22,24
2024-04-23,22
2024-04-24,18
2024-04-25,25
2024-04-26,34
2024-04-27,16
2024-04-28,33
2024-04-29,23
2024-04-30,22
2024-05-01,15
2024-05-02,27
2024-05-03,27
2024-05-04,33
2024-05-05,31
2024-05-06,27
2024-05-07,25
2024-05-08,25
2024-05-09,24
2024-05-10,22
2024-05-11,24
2024-05-12,28
2024-05-13,27
2024-05-14,22
2024-05-15,14
2024-05-16,32
2024-05-17,25
2024-05-18,31
2024-05-19,22
2024-05-20,29
2024-05-21,34
2024-05-22,24
2024-05-23,18
2024-05-24,32
2024-05-25,20
2024-05-26,33
2024-05-27,27
2024-05-28,16
2024-05-29,24
2024-05-30,28
2024-05-31,26
2024-06-01,27
2024-06-02,41
2024-06-03,21
2024-06-04,20
2024-06-05,22
2024-06-06,22
2024-06-07,22
2024-06-08,24
2024-06-09,30
2024-06-10,24
2024-06-11,33
2024-06-12,28
2024-06-13,0
2024-06-14,29
2024-06-15,39
2024-06-16,35
2024-06-17,21
2024-06-18,27
2024-06-19,32
2024-06-20,18
2024-06-21,35
2024-06-22,22
2024-06-23,40
2024-06-24,17
2024-06-25,21
2024-06-26,25
2024-06-27,28
2024-06-28,24
2024-06-29,45
2024-06-30,39
2024-07-01,26
2024-07-02,30
2024-07-03,23
2024-07-04,42
2024-07-05,41
2024-07-06,48
2024-07-07,33
2024-07-08,19
2024-07-09,22
2024-07-10,29
2024-07-11,18
2024-07-12,23
2024-07-13,34
2024-07-14,33
2024-07-15,18
2024-07-16,33
2024-07-17,22
2024-07-18,0
2024-07-19,20
2024-07-20,19
2024-07-21,36
2024-07-22,30
2024-07-23,22
2024-07-24,0
2024-07-25,28
2024-07-26,41
2024-07-27,32
2024-07-28,45
2024-07-29,31
2024-07-30,37
2024-07-31,34
2024-08-01,21
2024-08-02,45
2024-08-03,30
2024-08-04,36
2024-08-05,26
2024-08-06,32
2024-08-07,41
2024-08-08,41
2024-08-09,32
2024-08-10,35
2024-08-11,40
2024-08-12,38
2024-08-13,32
2024-08-14,28
2024-08-15,31
2024-08-16,37
2024-08-17,47
2024-08-18,52
2024-08-19,40
2024-08-20,22
2024-08-21,23
2024-08-22,38
2024-08-23,32
2024-08-24,41
2024-08-25,54
2024-08-26,33
2024-08-27,14
2024-08-28,19
2024-08-29,37
2024-08-30,31
2024-08-31,39
2024-09-01,31
2024-09-02,47
2024-09-03,33
2024-09-04,32
2024-09-05,42
2024-09-06,22
2024-09-07,33
2024-09-08,32
2024-09-09,28
2024-09-10,25
2024-09-11,28
2024-09-12,17
2024-09-13,25
2024-09-14,29
2024-09-15,46
2024-09-16,22
