Time,kenobi
2023-04-26,30
2023-04-27,27
2023-04-28,32
2023-04-29,34
2023-04-30,41
2023-05-01,37
2023-05-02,40
2023-05-03,43
2023-05-04,98
2023-05-05,70
2023-05-06,58
2023-05-07,55
2023-05-08,49
2023-05-09,44
2023-05-10,38
2023-05-11,39
2023-05-12,37
2023-05-13,45
2023-05-14,45
2023-05-15,43
2023-05-16,38
2023-05-17,33
2023-05-18,34
2023-05-19,37
2023-05-20,38
2023-05-21,34
2023-05-22,32
2023-05-23,29
2023-05-24,31
2023-05-25,32
2023-05-26,36
2023-05-27,36
2023-05-28,46
2023-05-29,41
2023-05-30,37
2023-05-31,35
2023-06-01,33
2023-06-02,30
2023-06-03,27
2023-06-04,36
2023-06-05,29
2023-06-06,27
2023-06-07,28
2023-06-08,26
2023-06-09,32
2023-06-10,33
2023-06-11,26
2023-06-12,23
2023-06-13,25
2023-06-14,21
2023-06-15,24
2023-06-16,24
2023-06-17,24
2023-06-18,28
2023-06-19,25
2023-06-20,19
2023-06-21,19
2023-06-22,20
2023-06-23,21
2023-06-24,27
2023-06-25,26
2023-06-26,21
2023-06-27,22
2023-06-28,20
2023-06-29,22
2023-06-30,20
2023-07-01,25
2023-07-02,30
2023-07-03,24
2023-07-04,26
2023-07-05,25
2023-07-06,24
2023-07-07,24
2023-07-08,27
2023-07-09,26
2023-07-10,20
2023-07-11,25
2023-07-12,25
2023-07-13,24
2023-07-14,25
2023-07-15,24
2023-07-16,27
2023-07-17,22
2023-07-18,24
2023-07-19,21
2023-07-20,19
2023-07-21,19
2023-07-22,23
2023-07-23,26
2023-07-24,16
2023-07-25,20
2023-07-26,15
2023-07-27,19
2023-07-28,20
2023-07-29,18
2023-07-30,25
2023-07-31,20
2023-08-01,20
2023-08-02,19
2023-08-03,22
2023-08-04,19
2023-08-05,28
2023-08-06,27
2023-08-07,22
2023-08-08,20
2023-08-09,21
2023-08-10,22
2023-08-11,21
2023-08-12,19
2023-08-13,22
2023-08-14,19
2023-08-15,23
2023-08-16,21
2023-08-17,19
2023-08-18,21
2023-08-19,22
2023-08-20,28
2023-08-21,23
2023-08-22,27
2023-08-23,30
2023-08-24,25
2023-08-25,29
2023-08-26,30
2023-08-27,31
2023-08-28,24
2023-08-29,23
2023-08-30,34
2023-08-31,30
2023-09-01,20
2023-09-02,30
2023-09-03,26
2023-09-04,38
2023-09-05,24
2023-09-06,28
2023-09-07,28
2023-09-08,25
2023-09-09,33
2023-09-10,28
2023-09-11,22
2023-09-12,22
2023-09-13,28
2023-09-14,31
2023-09-15,28
2023-09-16,37
2023-09-17,30
2023-09-18,28
2023-09-19,28
2023-09-20,25
2023-09-21,28
2023-09-22,25
2023-09-23,32
2023-09-24,36
2023-09-25,27
2023-09-26,27
2023-09-27,29
2023-09-28,24
2023-09-29,26
2023-09-30,24
2023-10-01,31
2023-10-02,28
2023-10-03,24
2023-10-04,24
2023-10-05,24
2023-10-06,23
2023-10-07,26
2023-10-08,29
2023-10-09,29
2023-10-10,23
2023-10-11,24
2023-10-12,24
2023-10-13,24
2023-10-14,29
2023-10-15,27
2023-10-16,26
2023-10-17,24
2023-10-18,23
2023-10-19,25
2023-10-20,27
2023-10-21,100
2023-10-22,42
2023-10-23,30
2023-10-24,21
2023-10-25,24
2023-10-26,25
2023-10-27,24
2023-10-28,34
2023-10-29,28
2023-10-30,23
2023-10-31,37
2023-11-01,26
2023-11-02,22
2023-11-03,22
2023-11-04,21
2023-11-05,21
2023-11-06,16
2023-11-07,19
2023-11-08,18
2023-11-09,20
2023-11-10,19
2023-11-11,20
2023-11-12,39
2023-11-13,35
2023-11-14,25
2023-11-15,21
2023-11-16,19
2023-11-17,21
2023-11-18,22
2023-11-19,20
2023-11-20,16
2023-11-21,21
2023-11-22,17
2023-11-23,22
2023-11-24,20
2023-11-25,19
2023-11-26,25
2023-11-27,22
2023-11-28,14
2023-11-29,20
2023-11-30,19
2023-12-01,20
2023-12-02,19
2023-12-03,18
2023-12-04,16
2023-12-05,16
2023-12-06,17
2023-12-07,21
2023-12-08,18
2023-12-09,18
2023-12-10,22
2023-12-11,18
2023-12-12,16
2023-12-13,20
2023-12-14,17
2023-12-15,20
2023-12-16,20
2023-12-17,25
2023-12-18,18
2023-12-19,20
2023-12-20,21
2023-12-21,23
2023-12-22,18
2023-12-23,23
2023-12-24,26
2023-12-25,55
2023-12-26,25
2023-12-27,22
2023-12-28,24
2023-12-29,23
2023-12-30,22
2023-12-31,22
2024-01-01,28
2024-01-02,24
2024-01-03,27
2024-01-04,20
2024-01-05,21
2024-01-06,23
2024-01-07,24
2024-01-08,21
2024-01-09,20
2024-01-10,20
2024-01-11,22
2024-01-12,14
2024-01-13,25
2024-01-14,23
2024-01-15,21
2024-01-16,19
2024-01-17,19
2024-01-18,21
2024-01-19,21
2024-01-20,23
