Time,prime
2023-12-22,52
2023-12-23,57
2023-12-24,65
2023-12-25,83
2023-12-26,49
2023-12-27,45
2023-12-28,43
2023-12-29,45
2023-12-30,43
2023-12-31,43
2024-01-01,41
2024-01-02,36
2024-01-03,38
2024-01-04,37
2024-01-05,37
2024-01-06,39
2024-01-07,40
2024-01-08,35
2024-01-09,34
2024-01-10,35
2024-01-11,36
2024-01-12,36
2024-01-13,38
2024-01-14,39
2024-01-15,36
2024-01-16,33
2024-01-17,36
2024-01-18,36
2024-01-19,36
2024-01-20,39
2024-01-21,37
2024-01-22,34
2024-01-23,35
2024-01-24,33
2024-01-25,32
2024-01-26,34
2024-01-27,36
2024-01-28,36
2024-01-29,31
2024-01-30,33
2024-01-31,32
2024-02-01,31
2024-02-02,33
2024-02-03,36
2024-02-04,36
2024-02-05,32
2024-02-06,30
2024-02-07,30
2024-02-08,30
2024-02-09,31
2024-02-10,34
2024-02-11,36
2024-02-12,28
2024-02-13,31
2024-02-14,34
2024-02-15,31
2024-02-16,32
2024-02-17,34
2024-02-18,37
2024-02-19,32
2024-02-20,29
2024-02-21,30
2024-02-22,28
2024-02-23,29
2024-02-24,32
2024-02-25,33
2024-02-26,29
2024-02-27,28
2024-02-28,28
2024-02-29,28
2024-03-01,28
2024-03-02,33
2024-03-03,33
2024-03-04,29
2024-03-05,28
2024-03-06,29
2024-03-07,28
2024-03-08,28
2024-03-09,32
2024-03-10,33
2024-03-11,29
2024-03-12,28
2024-03-13,28
2024-03-14,28
2024-03-15,29
2024-03-16,33
2024-03-17,31
2024-03-18,29
2024-03-19,27
2024-03-20,30
2024-03-21,29
2024-03-22,30
2024-03-23,31
2024-03-24,33
2024-03-25,29
2024-03-26,28
2024-03-27,29
2024-03-28,29
2024-03-29,28
2024-03-30,32
2024-03-31,36
2024-04-01,29
2024-04-02,27
2024-04-03,30
2024-04-04,28
2024-04-05,30
2024-04-06,31
2024-04-07,32
2024-04-08,27
2024-04-09,28
2024-04-10,29
2024-04-11,32
2024-04-12,33
2024-04-13,33
2024-04-14,34
2024-04-15,30
2024-04-16,29
2024-04-17,30
2024-04-18,31
2024-04-19,29
2024-04-20,33
2024-04-21,37
2024-04-22,33
2024-04-23,34
2024-04-24,32
2024-04-25,30
2024-04-26,30
2024-04-27,32
2024-04-28,34
2024-04-29,30
2024-04-30,30
2024-05-01,30
2024-05-02,28
2024-05-03,30
2024-05-04,32
2024-05-05,35
2024-05-06,29
2024-05-07,28
2024-05-08,29
2024-05-09,29
2024-05-10,29
2024-05-11,31
2024-05-12,31
2024-05-13,29
2024-05-14,29
2024-05-15,33
2024-05-16,32
2024-05-17,31
2024-05-18,30
2024-05-19,32
2024-05-20,29
2024-05-21,28
2024-05-22,29
2024-05-23,28
2024-05-24,28
2024-05-25,30
2024-05-26,30
2024-05-27,31
2024-05-28,30
2024-05-29,28
2024-05-30,30
2024-05-31,28
2024-06-01,31
2024-06-02,32
2024-06-03,29
2024-06-04,29
2024-06-05,30
2024-06-06,29
2024-06-07,30
2024-06-08,32
2024-06-09,32
2024-06-10,31
2024-06-11,30
2024-06-12,29
2024-06-13,31
2024-06-14,31
2024-06-15,33
2024-06-16,33
2024-06-17,30
2024-06-18,32
2024-06-19,33
2024-06-20,31
2024-06-21,31
2024-06-22,32
2024-06-23,34
2024-06-24,32
2024-06-25,31
2024-06-26,30
2024-06-27,33
2024-06-28,31
2024-06-29,35
2024-06-30,34
2024-07-01,32
2024-07-02,32
2024-07-03,33
2024-07-04,35
2024-07-05,36
2024-07-06,37
2024-07-07,36
2024-07-08,34
2024-07-09,35
2024-07-10,33
2024-07-11,35
2024-07-12,38
2024-07-13,38
2024-07-14,40
2024-07-15,50
2024-07-16,100
2024-07-17,84
2024-07-18,52
2024-07-19,33
2024-07-20,34
2024-07-21,34
2024-07-22,31
2024-07-23,29
2024-07-24,30
2024-07-25,30
2024-07-26,29
2024-07-27,30
2024-07-28,32
2024-07-29,29
2024-07-30,28
2024-07-31,28
2024-08-01,28
2024-08-02,28
2024-08-03,29
2024-08-04,31
2024-08-05,28
2024-08-06,28
2024-08-07,28
2024-08-08,28
2024-08-09,28
2024-08-10,30
2024-08-11,30
2024-08-12,28
2024-08-13,27
2024-08-14,28
2024-08-15,29
2024-08-16,28
2024-08-17,32
2024-08-18,30
2024-08-19,27
2024-08-20,28
2024-08-21,28
2024-08-22,28
2024-08-23,28
2024-08-24,29
2024-08-25,32
2024-08-26,30
2024-08-27,28
2024-08-28,28
2024-08-29,28
2024-08-30,29
2024-08-31,28
2024-09-01,32
2024-09-02,32
2024-09-03,27
2024-09-04,28
2024-09-05,28
2024-09-06,28
2024-09-07,30
2024-09-08,31
2024-09-09,27
2024-09-10,27
2024-09-11,25
2024-09-12,31
2024-09-13,35
2024-09-14,31
2024-09-15,30
2024-09-16,27
