Time,ticketmaster
2023-04-26,39
2023-04-27,41
2023-04-28,43
2023-04-29,37
2023-04-30,36
2023-05-01,36
2023-05-02,40
2023-05-03,56
2023-05-04,47
2023-05-05,69
2023-05-06,41
2023-05-07,40
2023-05-08,34
2023-05-09,45
2023-05-10,45
2023-05-11,41
2023-05-12,62
2023-05-13,47
2023-05-14,41
2023-05-15,37
2023-05-16,40
2023-05-17,45
2023-05-18,45
2023-05-19,50
2023-05-20,42
2023-05-21,36
2023-05-22,33
2023-05-23,34
2023-05-24,38
2023-05-25,34
2023-05-26,42
2023-05-27,42
2023-05-28,37
2023-05-29,28
2023-05-30,36
2023-05-31,39
2023-06-01,39
2023-06-02,44
2023-06-03,39
2023-06-04,36
2023-06-05,35
2023-06-06,60
2023-06-07,57
2023-06-08,63
2023-06-09,64
2023-06-10,42
2023-06-11,32
2023-06-12,34
2023-06-13,37
2023-06-14,39
2023-06-15,40
2023-06-16,40
2023-06-17,38
2023-06-18,31
2023-06-19,31
2023-06-20,36
2023-06-21,43
2023-06-22,37
2023-06-23,44
2023-06-24,36
2023-06-25,33
2023-06-26,35
2023-06-27,37
2023-06-28,37
2023-06-29,34
2023-06-30,41
2023-07-01,33
2023-07-02,28
2023-07-03,27
2023-07-04,25
2023-07-05,32
2023-07-06,42
2023-07-07,41
2023-07-08,40
2023-07-09,34
2023-07-10,32
2023-07-11,40
2023-07-12,44
2023-07-13,44
2023-07-14,49
2023-07-15,46
2023-07-16,35
2023-07-17,36
2023-07-18,41
2023-07-19,42
2023-07-20,40
2023-07-21,43
2023-07-22,43
2023-07-23,37
2023-07-24,34
2023-07-25,35
2023-07-26,41
2023-07-27,37
2023-07-28,42
2023-07-29,41
2023-07-30,35
2023-07-31,33
2023-08-01,43
2023-08-02,39
2023-08-03,100
2023-08-04,65
2023-08-05,58
2023-08-06,46
2023-08-07,41
2023-08-08,70
2023-08-09,81
2023-08-10,67
2023-08-11,75
2023-08-12,50
2023-08-13,41
2023-08-14,37
2023-08-15,40
2023-08-16,45
2023-08-17,41
2023-08-18,47
2023-08-19,43
2023-08-20,37
2023-08-21,40
2023-08-22,40
2023-08-23,42
2023-08-24,40
2023-08-25,57
2023-08-26,45
2023-08-27,39
2023-08-28,36
2023-08-29,38
2023-08-30,41
2023-08-31,47
2023-09-01,42
2023-09-02,42
2023-09-03,38
2023-09-04,35
2023-09-05,34
2023-09-06,67
2023-09-07,41
2023-09-08,44
2023-09-09,45
2023-09-10,40
2023-09-11,34
2023-09-12,40
2023-09-13,53
2023-09-14,47
2023-09-15,51
2023-09-16,49
2023-09-17,42
2023-09-18,38
2023-09-19,36
2023-09-20,47
2023-09-21,71
2023-09-22,58
2023-09-23,48
2023-09-24,42
2023-09-25,37
2023-09-26,42
2023-09-27,59
2023-09-28,42
2023-09-29,47
2023-09-30,40
2023-10-01,39
2023-10-02,42
2023-10-03,40
2023-10-04,45
2023-10-05,46
2023-10-06,39
2023-10-07,42
2023-10-08,37
2023-10-09,33
2023-10-10,37
2023-10-11,38
2023-10-12,37
2023-10-13,38
2023-10-14,41
2023-10-15,36
2023-10-16,34
2023-10-17,34
2023-10-18,38
2023-10-19,40
2023-10-20,42
2023-10-21,40
2023-10-22,35
2023-10-23,32
2023-10-24,37
2023-10-25,72
2023-10-26,43
2023-10-27,41
2023-10-28,36
2023-10-29,36
2023-10-30,30
2023-10-31,31
2023-11-01,36
2023-11-02,36
2023-11-03,40
2023-11-04,38
2023-11-05,37
2023-11-06,32
2023-11-07,37
2023-11-08,40
2023-11-09,39
2023-11-10,43
2023-11-11,42
2023-11-12,35
2023-11-13,38
2023-11-14,42
2023-11-15,46
2023-11-16,40
2023-11-17,44
2023-11-18,40
2023-11-19,36
2023-11-20,29
2023-11-21,31
2023-11-22,32
2023-11-23,26
2023-11-24,34
2023-11-25,33
2023-11-26,30
2023-11-27,28
2023-11-28,28
2023-11-29,37
2023-11-30,32
2023-12-01,33
2023-12-02,33
2023-12-03,32
2023-12-04,30
2023-12-05,33
2023-12-06,35
2023-12-07,39
2023-12-08,39
2023-12-09,36
2023-12-10,35
2023-12-11,33
2023-12-12,38
2023-12-13,36
2023-12-14,36
2023-12-15,41
2023-12-16,38
2023-12-17,33
2023-12-18,25
2023-12-19,26
2023-12-20,30
2023-12-21,28
2023-12-22,30
2023-12-23,30
2023-12-24,28
2023-12-25,29
2023-12-26,24
2023-12-27,27
2023-12-28,27
2023-12-29,28
2023-12-30,26
2023-12-31,26
2024-01-01,22
2024-01-02,24
2024-01-03,25
2024-01-04,26
2024-01-05,28
2024-01-06,29
2024-01-07,29
2024-01-08,26
2024-01-09,25
2024-01-10,26
2024-01-11,25
2024-01-12,29
2024-01-13,31
2024-01-14,24
2024-01-15,23
2024-01-16,26
2024-01-17,30
2024-01-18,28
2024-01-19,30
2024-01-20,32
