Time,jayson tatum
2023-12-22,2
2023-12-23,6
2023-12-24,3
2023-12-25,8
2023-12-26,5
2023-12-27,2
2023-12-28,5
2023-12-29,6
2023-12-30,3
2023-12-31,3
2024-01-01,2
2024-01-02,4
2024-01-03,4
2024-01-04,3
2024-01-05,5
2024-01-06,7
2024-01-07,5
2024-01-08,4
2024-01-09,3
2024-01-10,4
2024-01-11,8
2024-01-12,6
2024-01-13,3
2024-01-14,3
2024-01-15,2
2024-01-16,2
2024-01-17,3
2024-01-18,3
2024-01-19,4
2024-01-20,5
2024-01-21,2
2024-01-22,4
2024-01-23,4
2024-01-24,1
2024-01-25,4
2024-01-26,4
2024-01-27,4
2024-01-28,3
2024-01-29,3
2024-01-30,6
2024-01-31,4
2024-02-01,6
2024-02-02,5
2024-02-03,1
2024-02-04,4
2024-02-05,2
2024-02-06,1
2024-02-07,3
2024-02-08,3
2024-02-09,4
2024-02-10,4
2024-02-11,6
2024-02-12,1
2024-02-13,7
2024-02-14,7
2024-02-15,3
2024-02-16,2
2024-02-17,2
2024-02-18,4
2024-02-19,9
2024-02-20,3
2024-02-21,3
2024-02-22,4
2024-02-23,4
2024-02-24,5
2024-02-25,6
2024-02-26,2
2024-02-27,4
2024-02-28,4
2024-02-29,2
2024-03-01,5
2024-03-02,6
2024-03-03,10
2024-03-04,4
2024-03-05,5
2024-03-06,5
2024-03-07,3
2024-03-08,6
2024-03-09,4
2024-03-10,6
2024-03-11,2
2024-03-12,5
2024-03-13,3
2024-03-14,5
2024-03-15,3
2024-03-16,2
2024-03-17,4
2024-03-18,4
2024-03-19,3
2024-03-20,4
2024-03-21,4
2024-03-22,4
2024-03-23,4
2024-03-24,2
2024-03-25,4
2024-03-26,2
2024-03-27,2
2024-03-28,4
2024-03-29,3
2024-03-30,5
2024-03-31,3
2024-04-01,4
2024-04-02,2
2024-04-03,3
2024-04-04,3
2024-04-05,3
2024-04-06,3
2024-04-07,2
2024-04-08,2
2024-04-09,3
2024-04-10,2
2024-04-11,4
2024-04-12,3
2024-04-13,2
2024-04-14,2
2024-04-15,1
2024-04-16,2
2024-04-17,2
2024-04-18,2
2024-04-19,2
2024-04-20,3
2024-04-21,10
2024-04-22,3
2024-04-23,3
2024-04-24,8
2024-04-25,7
2024-04-26,2
2024-04-27,7
2024-04-28,5
2024-04-29,7
2024-04-30,7
2024-05-01,7
2024-05-02,6
2024-05-03,3
2024-05-04,2
2024-05-05,3
2024-05-06,2
2024-05-07,7
2024-05-08,7
2024-05-09,9
2024-05-10,8
2024-05-11,8
2024-05-12,12
2024-05-13,8
2024-05-14,7
2024-05-15,7
2024-05-16,7
2024-05-17,3
2024-05-18,2
2024-05-19,3
2024-05-20,4
2024-05-21,9
2024-05-22,15
2024-05-23,11
2024-05-24,15
2024-05-25,10
2024-05-26,14
2024-05-27,11
2024-05-28,16
2024-05-29,5
2024-05-30,4
2024-05-31,6
2024-06-01,4
2024-06-02,4
2024-06-03,3
2024-06-04,4
2024-06-05,4
2024-06-06,11
2024-06-07,20
2024-06-08,6
2024-06-09,12
2024-06-10,20
2024-06-11,6
2024-06-12,9
2024-06-13,23
2024-06-14,13
2024-06-15,16
2024-06-16,7
2024-06-17,10
2024-06-18,100
2024-06-19,29
2024-06-20,12
2024-06-21,9
2024-06-22,9
2024-06-23,6
2024-06-24,4
2024-06-25,7
2024-06-26,4
2024-06-27,3
2024-06-28,3
2024-06-29,3
2024-06-30,3
2024-07-01,7
2024-07-02,10
2024-07-03,4
2024-07-04,4
2024-07-05,3
2024-07-06,3
2024-07-07,3
2024-07-08,3
2024-07-09,4
2024-07-10,4
2024-07-11,4
2024-07-12,3
2024-07-13,2
2024-07-14,2
2024-07-15,2
2024-07-16,3
2024-07-17,4
2024-07-18,2
2024-07-19,2
2024-07-20,2
2024-07-21,2
2024-07-22,2
2024-07-23,1
2024-07-24,2
2024-07-25,2
2024-07-26,2
2024-07-27,2
2024-07-28,14
2024-07-29,8
2024-07-30,3
2024-07-31,6
2024-08-01,4
2024-08-02,2
2024-08-03,3
2024-08-04,2
2024-08-05,2
2024-08-06,3
2024-08-07,2
2024-08-08,7
2024-08-09,10
2024-08-10,19
2024-08-11,16
2024-08-12,6
2024-08-13,4
2024-08-14,3
2024-08-15,2
2024-08-16,2
2024-08-17,2
2024-08-18,2
2024-08-19,2
2024-08-20,1
2024-08-21,1
2024-08-22,2
2024-08-23,1
2024-08-24,2
2024-08-25,1
2024-08-26,2
2024-08-27,1
2024-08-28,1
2024-08-29,1
2024-08-30,1
2024-08-31,1
2024-09-01,1
2024-09-02,1
2024-09-03,1
2024-09-04,1
2024-09-05,1
2024-09-06,1
2024-09-07,1
2024-09-08,1
2024-09-09,1
2024-09-10,1
2024-09-11,1
2024-09-12,2
2024-09-13,2
2024-09-14,2
2024-09-15,1
2024-09-16,1
