Time,bubble tea
2023-04-26,47
2023-04-27,44
2023-04-28,50
2023-04-29,63
2023-04-30,100
2023-05-01,48
2023-05-02,42
2023-05-03,44
2023-05-04,45
2023-05-05,50
2023-05-06,62
2023-05-07,66
2023-05-08,49
2023-05-09,47
2023-05-10,45
2023-05-11,43
2023-05-12,48
2023-05-13,58
2023-05-14,65
2023-05-15,46
2023-05-16,47
2023-05-17,41
2023-05-18,40
2023-05-19,49
2023-05-20,56
2023-05-21,63
2023-05-22,42
2023-05-23,43
2023-05-24,41
2023-05-25,44
2023-05-26,51
2023-05-27,63
2023-05-28,60
2023-05-29,60
2023-05-30,44
2023-05-31,39
2023-06-01,42
2023-06-02,46
2023-06-03,57
2023-06-04,60
2023-06-05,43
2023-06-06,41
2023-06-07,41
2023-06-08,43
2023-06-09,45
2023-06-10,59
2023-06-11,58
2023-06-12,43
2023-06-13,41
2023-06-14,44
2023-06-15,44
2023-06-16,48
2023-06-17,59
2023-06-18,62
2023-06-19,47
2023-06-20,41
2023-06-21,44
2023-06-22,39
2023-06-23,44
2023-06-24,60
2023-06-25,64
2023-06-26,41
2023-06-27,45
2023-06-28,41
2023-06-29,44
2023-06-30,46
2023-07-01,49
2023-07-02,57
2023-07-03,49
2023-07-04,52
2023-07-05,40
2023-07-06,43
2023-07-07,43
2023-07-08,56
2023-07-09,56
2023-07-10,40
2023-07-11,37
2023-07-12,42
2023-07-13,47
2023-07-14,44
2023-07-15,53
2023-07-16,58
2023-07-17,42
2023-07-18,38
2023-07-19,44
2023-07-20,44
2023-07-21,43
2023-07-22,54
2023-07-23,58
2023-07-24,41
2023-07-25,43
2023-07-26,38
2023-07-27,40
2023-07-28,45
2023-07-29,55
2023-07-30,61
2023-07-31,39
2023-08-01,40
2023-08-02,36
2023-08-03,39
2023-08-04,39
2023-08-05,53
2023-08-06,55
2023-08-07,39
2023-08-08,36
2023-08-09,41
2023-08-10,38
2023-08-11,43
2023-08-12,56
2023-08-13,60
2023-08-14,38
2023-08-15,36
2023-08-16,41
2023-08-17,37
2023-08-18,42
2023-08-19,57
2023-08-20,57
2023-08-21,41
2023-08-22,39
2023-08-23,40
2023-08-24,36
2023-08-25,37
2023-08-26,50
2023-08-27,55
2023-08-28,36
2023-08-29,36
2023-08-30,30
2023-08-31,34
2023-09-01,39
2023-09-02,45
2023-09-03,53
2023-09-04,46
2023-09-05,34
2023-09-06,33
2023-09-07,37
2023-09-08,34
2023-09-09,45
2023-09-10,47
2023-09-11,27
2023-09-12,29
2023-09-13,31
2023-09-14,33
2023-09-15,36
2023-09-16,49
2023-09-17,44
2023-09-18,33
2023-09-19,27
2023-09-20,29
2023-09-21,30
2023-09-22,35
2023-09-23,43
2023-09-24,43
2023-09-25,28
2023-09-26,25
2023-09-27,30
2023-09-28,32
2023-09-29,35
2023-09-30,46
2023-10-01,48
2023-10-02,29
2023-10-03,29
2023-10-04,29
2023-10-05,35
2023-10-06,32
2023-10-07,45
2023-10-08,43
2023-10-09,29
2023-10-10,24
2023-10-11,31
2023-10-12,28
2023-10-13,30
2023-10-14,38
2023-10-15,39
2023-10-16,29
2023-10-17,27
2023-10-18,27
2023-10-19,32
2023-10-20,29
2023-10-21,40
2023-10-22,43
2023-10-23,27
2023-10-24,26
2023-10-25,25
2023-10-26,26
2023-10-27,28
2023-10-28,38
2023-10-29,38
2023-10-30,22
2023-10-31,23
2023-11-01,25
2023-11-02,23
2023-11-03,32
2023-11-04,42
2023-11-05,43
2023-11-06,27
2023-11-07,29
2023-11-08,27
2023-11-09,26
2023-11-10,34
2023-11-11,39
2023-11-12,41
2023-11-13,26
2023-11-14,27
2023-11-15,26
2023-11-16,28
2023-11-17,28
2023-11-18,38
2023-11-19,40
2023-11-20,29
2023-11-21,26
2023-11-22,30
2023-11-23,31
2023-11-24,37
2023-11-25,41
2023-11-26,38
2023-11-27,23
2023-11-28,23
2023-11-29,21
2023-11-30,23
2023-12-01,28
2023-12-02,43
2023-12-03,38
2023-12-04,25
2023-12-05,26
2023-12-06,29
2023-12-07,27
2023-12-08,31
2023-12-09,40
2023-12-10,42
2023-12-11,26
2023-12-12,26
2023-12-13,26
2023-12-14,23
2023-12-15,28
2023-12-16,40
2023-12-17,46
2023-12-18,28
2023-12-19,28
2023-12-20,32
2023-12-21,33
2023-12-22,35
2023-12-23,37
2023-12-24,41
2023-12-25,35
2023-12-26,37
2023-12-27,36
2023-12-28,35
2023-12-29,38
2023-12-30,42
2023-12-31,38
2024-01-01,37
2024-01-02,32
2024-01-03,27
2024-01-04,31
2024-01-05,33
2024-01-06,40
2024-01-07,41
2024-01-08,26
2024-01-09,25
2024-01-10,25
2024-01-11,28
2024-01-12,34
2024-01-13,36
2024-01-14,39
2024-01-15,37
2024-01-16,26
2024-01-17,24
2024-01-18,27
2024-01-19,26
2024-01-20,41
