Time,father's day
2022-08-29,2
2022-08-30,2
2022-08-31,2
2022-09-01,2
2022-09-02,2
2022-09-03,4
2022-09-04,12
2022-09-05,4
2022-09-06,2
2022-09-07,2
2022-09-08,2
2022-09-09,2
2022-09-10,3
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,1
2022-09-16,2
2022-09-17,2
2022-09-18,2
2022-09-19,2
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,2
2022-09-25,2
2022-09-26,2
2022-09-27,1
2022-09-28,1
2022-09-29,1
2022-09-30,1
2022-10-01,2
2022-10-02,2
2022-10-03,1
2022-10-04,2
2022-10-05,1
2022-10-06,1
2022-10-07,1
2022-10-08,2
2022-10-09,1
2022-10-10,2
2022-10-11,1
2022-10-12,1
2022-10-13,1
2022-10-14,1
2022-10-15,1
2022-10-16,2
2022-10-17,1
2022-10-18,1
2022-10-19,1
2022-10-20,1
2022-10-21,1
2022-10-22,2
2022-10-23,1
2022-10-24,1
2022-10-25,1
2022-10-26,1
2022-10-27,1
2022-10-28,1
2022-10-29,1
2022-10-30,1
2022-10-31,1
2022-11-01,1
2022-11-02,2
2022-11-03,1
2022-11-04,1
2022-11-05,2
2022-11-06,2
2022-11-07,2
2022-11-08,1
2022-11-09,1
2022-11-10,1
2022-11-11,2
2022-11-12,2
2022-11-13,2
2022-11-14,2
2022-11-15,1
2022-11-16,1
2022-11-17,1
2022-11-18,1
2022-11-19,1
2022-11-20,1
2022-11-21,1
2022-11-22,1
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-26,2
2022-11-27,2
2022-11-28,2
2022-11-29,1
2022-11-30,2
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,2
2022-12-05,2
2022-12-06,2
2022-12-07,1
2022-12-08,2
2022-12-09,2
2022-12-10,1
2022-12-11,1
2022-12-12,2
2022-12-13,2
2022-12-14,2
2022-12-15,1
2022-12-16,2
2022-12-17,2
2022-12-18,1
2022-12-19,2
2022-12-20,2
2022-12-21,2
2022-12-22,2
2022-12-23,1
2022-12-24,2
2022-12-25,2
2022-12-26,2
2022-12-27,2
2022-12-28,2
2022-12-29,2
2022-12-30,2
2022-12-31,2
2023-01-01,2
2023-01-02,2
2023-01-03,2
2023-01-04,2
2023-01-05,2
2023-01-06,3
2023-01-07,3
2023-01-08,3
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,3
2023-01-14,3
2023-01-15,3
2023-01-16,3
2023-01-17,3
2023-01-18,3
2023-01-19,3
2023-01-20,2
2023-01-21,3
2023-01-22,3
2023-01-23,3
2023-01-24,3
2023-01-25,2
2023-01-26,3
2023-01-27,3
2023-01-28,2
2023-01-29,2
2023-01-30,2
2023-01-31,2
2023-02-01,2
2023-02-02,2
2023-02-03,2
2023-02-04,3
2023-02-05,2
2023-02-06,2
2023-02-07,2
2023-02-08,3
2023-02-09,2
2023-02-10,2
2023-02-11,2
2023-02-12,3
2023-02-13,2
2023-02-14,3
2023-02-15,4
2023-02-16,3
2023-02-17,3
2023-02-18,3
2023-02-19,4
2023-02-20,4
2023-02-21,4
2023-02-22,3
2023-02-23,3
2023-02-24,3
2023-02-25,3
2023-02-26,3
2023-02-27,4
2023-02-28,3
2023-03-01,3
2023-03-02,3
2023-03-03,3
2023-03-04,4
2023-03-05,4
2023-03-06,4
2023-03-07,3
2023-03-08,4
2023-03-09,3
2023-03-10,3
2023-03-11,3
2023-03-12,3
2023-03-13,4
2023-03-14,4
2023-03-15,3
2023-03-16,4
2023-03-17,4
2023-03-18,5
2023-03-19,16
2023-03-20,7
2023-03-21,5
2023-03-22,6
2023-03-23,5
2023-03-24,4
2023-03-25,5
2023-03-26,6
2023-03-27,6
2023-03-28,5
2023-03-29,5
2023-03-30,5
2023-03-31,5
2023-04-01,6
2023-04-02,7
2023-04-03,7
2023-04-04,6
2023-04-05,7
2023-04-06,6
2023-04-07,7
2023-04-08,8
2023-04-09,9
2023-04-10,11
2023-04-11,10
2023-04-12,9
2023-04-13,10
2023-04-14,9
2023-04-15,10
2023-04-16,11
2023-04-17,10
2023-04-18,11
2023-04-19,11
2023-04-20,11
2023-04-21,11
2023-04-22,13
2023-04-23,14
2023-04-24,14
2023-04-25,14
2023-04-26,14
2023-04-27,13
2023-04-28,13
2023-04-29,14
2023-04-30,18
2023-05-01,18
2023-05-02,18
2023-05-03,16
2023-05-04,18
2023-05-05,16
2023-05-06,18
2023-05-07,23
2023-05-08,23
2023-05-09,24
2023-05-10,27
2023-05-11,26
2023-05-12,29
2023-05-13,39
2023-05-14,100
2023-05-15,69
2023-05-16,45
2023-05-17,37
2023-05-18,43
2023-05-19,42
2023-05-20,48
2023-05-21,56
2023-05-22,56
2023-05-23,57
2023-05-24,64
2023-05-25,66
