Time,lightyear
2023-12-22,41
2023-12-23,42
2023-12-24,45
2023-12-25,61
2023-12-26,46
2023-12-27,44
2023-12-28,42
2023-12-29,39
2023-12-30,38
2023-12-31,43
2024-01-01,42
2024-01-02,36
2024-01-03,33
2024-01-04,37
2024-01-05,37
2024-01-06,43
2024-01-07,42
2024-01-08,33
2024-01-09,33
2024-01-10,30
2024-01-11,31
2024-01-12,36
2024-01-13,41
2024-01-14,41
2024-01-15,30
2024-01-16,31
2024-01-17,34
2024-01-18,33
2024-01-19,34
2024-01-20,43
2024-01-21,38
2024-01-22,37
2024-01-23,34
2024-01-24,37
2024-01-25,33
2024-01-26,30
2024-01-27,44
2024-01-28,45
2024-01-29,40
2024-01-30,41
2024-01-31,37
2024-02-01,38
2024-02-02,45
2024-02-03,48
2024-02-04,50
2024-02-05,37
2024-02-06,37
2024-02-07,36
2024-02-08,39
2024-02-09,42
2024-02-10,42
2024-02-11,63
2024-02-12,31
2024-02-13,35
2024-02-14,31
2024-02-15,37
2024-02-16,41
2024-02-17,42
2024-02-18,45
2024-02-19,40
2024-02-20,38
2024-02-21,48
2024-02-22,53
2024-02-23,47
2024-02-24,55
2024-02-25,55
2024-02-26,37
2024-02-27,34
2024-02-28,37
2024-02-29,39
2024-03-01,43
2024-03-02,49
2024-03-03,47
2024-03-04,36
2024-03-05,38
2024-03-06,39
2024-03-07,38
2024-03-08,40
2024-03-09,40
2024-03-10,46
2024-03-11,33
2024-03-12,36
2024-03-13,40
2024-03-14,35
2024-03-15,40
2024-03-16,49
2024-03-17,50
2024-03-18,58
2024-03-19,73
2024-03-20,91
2024-03-21,74
2024-03-22,76
2024-03-23,92
2024-03-24,100
2024-03-25,73
2024-03-26,62
2024-03-27,69
2024-03-28,58
2024-03-29,56
2024-03-30,60
2024-03-31,62
2024-04-01,51
2024-04-02,49
2024-04-03,48
2024-04-04,41
2024-04-05,41
2024-04-06,49
2024-04-07,60
2024-04-08,38
2024-04-09,36
2024-04-10,38
2024-04-11,51
2024-04-12,43
2024-04-13,46
2024-04-14,46
2024-04-15,31
2024-04-16,36
2024-04-17,30
2024-04-18,39
2024-04-19,37
2024-04-20,42
2024-04-21,48
2024-04-22,42
2024-04-23,39
2024-04-24,37
2024-04-25,34
2024-04-26,42
2024-04-27,43
2024-04-28,41
2024-04-29,40
2024-04-30,32
2024-05-01,35
2024-05-02,36
2024-05-03,43
2024-05-04,39
2024-05-05,45
2024-05-06,36
2024-05-07,36
2024-05-08,33
2024-05-09,35
2024-05-10,37
2024-05-11,31
2024-05-12,40
2024-05-13,34
2024-05-14,41
2024-05-15,33
2024-05-16,32
2024-05-17,40
2024-05-18,39
2024-05-19,43
2024-05-20,33
2024-05-21,34
2024-05-22,35
2024-05-23,30
2024-05-24,39
2024-05-25,37
2024-05-26,44
2024-05-27,48
2024-05-28,37
2024-05-29,42
2024-05-30,36
2024-05-31,39
2024-06-01,39
2024-06-02,42
2024-06-03,36
2024-06-04,39
2024-06-05,41
2024-06-06,38
2024-06-07,33
2024-06-08,42
2024-06-09,43
2024-06-10,35
2024-06-11,33
2024-06-12,37
2024-06-13,35
2024-06-14,35
2024-06-15,47
2024-06-16,42
2024-06-17,36
2024-06-18,32
2024-06-19,36
2024-06-20,36
2024-06-21,35
2024-06-22,45
2024-06-23,49
2024-06-24,48
2024-06-25,35
2024-06-26,33
2024-06-27,37
2024-06-28,33
2024-06-29,42
2024-06-30,57
2024-07-01,35
2024-07-02,33
2024-07-03,33
2024-07-04,36
2024-07-05,39
2024-07-06,41
2024-07-07,45
2024-07-08,39
2024-07-09,37
2024-07-10,36
2024-07-11,35
2024-07-12,34
2024-07-13,46
2024-07-14,50
2024-07-15,28
2024-07-16,34
2024-07-17,34
2024-07-18,32
2024-07-19,36
2024-07-20,38
2024-07-21,47
2024-07-22,29
2024-07-23,34
2024-07-24,31
2024-07-25,30
2024-07-26,31
2024-07-27,37
2024-07-28,47
2024-07-29,30
2024-07-30,36
2024-07-31,33
2024-08-01,30
2024-08-02,43
2024-08-03,48
2024-08-04,47
2024-08-05,30
2024-08-06,34
2024-08-07,32
2024-08-08,32
2024-08-09,36
2024-08-10,41
2024-08-11,53
2024-08-12,35
2024-08-13,37
2024-08-14,47
2024-08-15,35
2024-08-16,41
2024-08-17,44
2024-08-18,49
2024-08-19,41
2024-08-20,44
2024-08-21,28
2024-08-22,39
2024-08-23,30
2024-08-24,48
2024-08-25,44
2024-08-26,35
2024-08-27,40
2024-08-28,41
2024-08-29,36
2024-08-30,38
2024-08-31,38
2024-09-01,50
2024-09-02,49
2024-09-03,36
2024-09-04,37
2024-09-05,31
2024-09-06,38
2024-09-07,51
2024-09-08,42
2024-09-09,34
2024-09-10,35
2024-09-11,36
2024-09-12,35
2024-09-13,46
2024-09-14,47
2024-09-15,48
2024-09-16,44
