Time,lightyear
2022-08-29,70
2022-08-30,59
2022-08-31,55
2022-09-01,58
2022-09-02,61
2022-09-03,87
2022-09-04,98
2022-09-05,100
2022-09-06,59
2022-09-07,52
2022-09-08,46
2022-09-09,50
2022-09-10,66
2022-09-11,75
2022-09-12,52
2022-09-13,49
2022-09-14,51
2022-09-15,54
2022-09-16,58
2022-09-17,80
2022-09-18,71
2022-09-19,56
2022-09-20,54
2022-09-21,54
2022-09-22,48
2022-09-23,50
2022-09-24,64
2022-09-25,67
2022-09-26,44
2022-09-27,43
2022-09-28,43
2022-09-29,43
2022-09-30,50
2022-10-01,56
2022-10-02,59
2022-10-03,50
2022-10-04,48
2022-10-05,43
2022-10-06,46
2022-10-07,49
2022-10-08,59
2022-10-09,54
2022-10-10,51
2022-10-11,48
2022-10-12,44
2022-10-13,46
2022-10-14,47
2022-10-15,53
2022-10-16,60
2022-10-17,45
2022-10-18,42
2022-10-19,46
2022-10-20,47
2022-10-21,50
2022-10-22,56
2022-10-23,57
2022-10-24,47
2022-10-25,44
2022-10-26,44
2022-10-27,46
2022-10-28,49
2022-10-29,58
2022-10-30,60
2022-10-31,53
2022-11-01,39
2022-11-02,32
2022-11-03,30
2022-11-04,33
2022-11-05,38
2022-11-06,41
2022-11-07,34
2022-11-08,32
2022-11-09,31
2022-11-10,30
2022-11-11,34
2022-11-12,41
2022-11-13,45
2022-11-14,33
2022-11-15,34
2022-11-16,35
2022-11-17,33
2022-11-18,35
2022-11-19,36
2022-11-20,40
2022-11-21,36
2022-11-22,34
2022-11-23,34
2022-11-24,39
2022-11-25,42
2022-11-26,39
2022-11-27,46
2022-11-28,32
2022-11-29,37
2022-11-30,33
2022-12-01,30
2022-12-02,35
2022-12-03,40
2022-12-04,37
2022-12-05,31
2022-12-06,31
2022-12-07,26
2022-12-08,29
2022-12-09,33
2022-12-10,35
2022-12-11,36
2022-12-12,33
2022-12-13,30
2022-12-14,31
2022-12-15,32
2022-12-16,31
2022-12-17,39
2022-12-18,34
2022-12-19,30
2022-12-20,33
2022-12-21,29
2022-12-22,28
2022-12-23,35
2022-12-24,32
2022-12-25,46
2022-12-26,41
2022-12-27,33
2022-12-28,33
2022-12-29,33
2022-12-30,34
2022-12-31,34
2023-01-01,42
2023-01-02,37
2023-01-03,31
2023-01-04,34
2023-01-05,34
2023-01-06,38
2023-01-07,50
2023-01-08,45
2023-01-09,32
2023-01-10,30
2023-01-11,29
2023-01-12,27
2023-01-13,30
2023-01-14,34
2023-01-15,35
2023-01-16,28
2023-01-17,26
2023-01-18,27
2023-01-19,28
2023-01-20,27
2023-01-21,31
2023-01-22,33
2023-01-23,31
2023-01-24,29
2023-01-25,28
2023-01-26,27
2023-01-27,26
2023-01-28,28
2023-01-29,30
2023-01-30,22
2023-01-31,23
2023-02-01,24
2023-02-02,25
2023-02-03,25
2023-02-04,33
2023-02-05,32
2023-02-06,25
2023-02-07,22
2023-02-08,23
2023-02-09,29
2023-02-10,27
2023-02-11,33
2023-02-12,33
2023-02-13,23
2023-02-14,24
2023-02-15,23
2023-02-16,21
2023-02-17,27
2023-02-18,28
2023-02-19,27
2023-02-20,25
2023-02-21,25
2023-02-22,29
2023-02-23,25
2023-02-24,27
2023-02-25,30
2023-02-26,31
2023-02-27,22
2023-02-28,24
2023-03-01,23
2023-03-02,20
2023-03-03,22
2023-03-04,27
2023-03-05,29
2023-03-06,25
2023-03-07,20
2023-03-08,24
2023-03-09,23
2023-03-10,21
2023-03-11,24
2023-03-12,30
2023-03-13,23
2023-03-14,24
2023-03-15,21
2023-03-16,27
2023-03-17,22
2023-03-18,29
2023-03-19,29
2023-03-20,22
2023-03-21,20
2023-03-22,23
2023-03-23,24
2023-03-24,26
2023-03-25,29
2023-03-26,26
2023-03-27,25
2023-03-28,21
2023-03-29,23
2023-03-30,21
2023-03-31,24
2023-04-01,26
2023-04-02,26
2023-04-03,24
2023-04-04,22
2023-04-05,20
2023-04-06,25
2023-04-07,25
2023-04-08,27
2023-04-09,28
2023-04-10,25
2023-04-11,23
2023-04-12,24
2023-04-13,25
2023-04-14,23
2023-04-15,29
2023-04-16,29
2023-04-17,26
2023-04-18,23
2023-04-19,25
2023-04-20,23
2023-04-21,26
2023-04-22,27
2023-04-23,29
2023-04-24,21
2023-04-25,20
2023-04-26,21
2023-04-27,22
2023-04-28,21
2023-04-29,24
2023-04-30,25
2023-05-01,23
2023-05-02,21
2023-05-03,17
2023-05-04,21
2023-05-05,23
2023-05-06,23
2023-05-07,24
2023-05-08,22
2023-05-09,20
2023-05-10,23
2023-05-11,19
2023-05-12,26
2023-05-13,27
2023-05-14,29
2023-05-15,24
2023-05-16,26
2023-05-17,23
2023-05-18,22
2023-05-19,23
2023-05-20,23
2023-05-21,25
2023-05-22,24
2023-05-23,21
2023-05-24,21
2023-05-25,22
