Time,jurassic world dominion
2023-12-22,26
2023-12-23,28
2023-12-24,26
2023-12-25,37
2023-12-26,31
2023-12-27,30
2023-12-28,37
2023-12-29,33
2023-12-30,37
2023-12-31,35
2024-01-01,44
2024-01-02,34
2024-01-03,23
2024-01-04,26
2024-01-05,31
2024-01-06,42
2024-01-07,60
2024-01-08,35
2024-01-09,32
2024-01-10,29
2024-01-11,25
2024-01-12,29
2024-01-13,39
2024-01-14,45
2024-01-15,49
2024-01-16,31
2024-01-17,29
2024-01-18,31
2024-01-19,22
2024-01-20,40
2024-01-21,44
2024-01-22,31
2024-01-23,34
2024-01-24,35
2024-01-25,26
2024-01-26,39
2024-01-27,51
2024-01-28,45
2024-01-29,30
2024-01-30,21
2024-01-31,20
2024-02-01,17
2024-02-02,16
2024-02-03,32
2024-02-04,34
2024-02-05,22
2024-02-06,19
2024-02-07,20
2024-02-08,20
2024-02-09,28
2024-02-10,33
2024-02-11,35
2024-02-12,21
2024-02-13,17
2024-02-14,15
2024-02-15,21
2024-02-16,22
2024-02-17,38
2024-02-18,36
2024-02-19,37
2024-02-20,20
2024-02-21,23
2024-02-22,18
2024-02-23,21
2024-02-24,32
2024-02-25,37
2024-02-26,21
2024-02-27,18
2024-02-28,18
2024-02-29,16
2024-03-01,21
2024-03-02,44
2024-03-03,100
2024-03-04,35
2024-03-05,35
2024-03-06,45
2024-03-07,26
2024-03-08,26
2024-03-09,45
2024-03-10,61
2024-03-11,28
2024-03-12,28
2024-03-13,20
2024-03-14,24
2024-03-15,24
2024-03-16,52
2024-03-17,49
2024-03-18,34
2024-03-19,21
2024-03-20,20
2024-03-21,28
2024-03-22,22
2024-03-23,31
2024-03-24,47
2024-03-25,39
2024-03-26,38
2024-03-27,24
2024-03-28,25
2024-03-29,32
2024-03-30,32
2024-03-31,55
2024-04-01,28
2024-04-02,22
2024-04-03,25
2024-04-04,21
2024-04-05,30
2024-04-06,29
2024-04-07,38
2024-04-08,19
2024-04-09,15
2024-04-10,21
2024-04-11,27
2024-04-12,21
2024-04-13,34
2024-04-14,42
2024-04-15,25
2024-04-16,14
2024-04-17,22
2024-04-18,20
2024-04-19,27
2024-04-20,31
2024-04-21,34
2024-04-22,24
2024-04-23,18
2024-04-24,13
2024-04-25,18
2024-04-26,23
2024-04-27,27
2024-04-28,31
2024-04-29,18
2024-04-30,16
2024-05-01,19
2024-05-02,15
2024-05-03,19
2024-05-04,30
2024-05-05,22
2024-05-06,14
2024-05-07,14
2024-05-08,18
2024-05-09,15
2024-05-10,20
2024-05-11,29
2024-05-12,27
2024-05-13,25
2024-05-14,24
2024-05-15,19
2024-05-16,15
2024-05-17,19
2024-05-18,30
2024-05-19,35
2024-05-20,23
2024-05-21,20
2024-05-22,27
2024-05-23,21
2024-05-24,25
2024-05-25,40
2024-05-26,41
2024-05-27,53
2024-05-28,24
2024-05-29,26
2024-05-30,23
2024-05-31,25
2024-06-01,34
2024-06-02,43
2024-06-03,28
2024-06-04,20
2024-06-05,26
2024-06-06,17
2024-06-07,27
2024-06-08,27
2024-06-09,35
2024-06-10,31
2024-06-11,20
2024-06-12,21
2024-06-13,28
2024-06-14,21
2024-06-15,23
2024-06-16,36
2024-06-17,22
2024-06-18,27
2024-06-19,27
2024-06-20,22
2024-06-21,22
2024-06-22,24
2024-06-23,36
2024-06-24,20
2024-06-25,33
2024-06-26,17
2024-06-27,23
2024-06-28,28
2024-06-29,32
2024-06-30,29
2024-07-01,23
2024-07-02,19
2024-07-03,19
2024-07-04,42
2024-07-05,43
2024-07-06,35
2024-07-07,42
2024-07-08,28
2024-07-09,25
2024-07-10,33
2024-07-11,28
2024-07-12,31
2024-07-13,29
2024-07-14,37
2024-07-15,22
2024-07-16,19
2024-07-17,18
2024-07-18,23
2024-07-19,26
2024-07-20,23
2024-07-21,38
2024-07-22,23
2024-07-23,19
2024-07-24,15
2024-07-25,20
2024-07-26,17
2024-07-27,26
2024-07-28,30
2024-07-29,20
2024-07-30,14
2024-07-31,17
2024-08-01,17
2024-08-02,13
2024-08-03,20
2024-08-04,30
2024-08-05,24
2024-08-06,20
2024-08-07,17
2024-08-08,15
2024-08-09,24
2024-08-10,22
2024-08-11,26
2024-08-12,13
2024-08-13,16
2024-08-14,9
2024-08-15,14
2024-08-16,19
2024-08-17,25
2024-08-18,33
2024-08-19,20
2024-08-20,17
2024-08-21,13
2024-08-22,14
2024-08-23,15
2024-08-24,23
2024-08-25,32
2024-08-26,15
2024-08-27,7
2024-08-28,14
2024-08-29,23
2024-08-30,27
2024-08-31,22
2024-09-01,27
2024-09-02,20
2024-09-03,11
2024-09-04,16
2024-09-05,17
2024-09-06,16
2024-09-07,16
2024-09-08,20
2024-09-09,14
2024-09-10,9
2024-09-11,10
2024-09-12,17
2024-09-13,10
2024-09-14,12
2024-09-15,12
2024-09-16,11
