Time,jurassic world dominion
2023-04-26,41
2023-04-27,39
2023-04-28,37
2023-04-29,52
2023-04-30,68
2023-05-01,41
2023-05-02,31
2023-05-03,31
2023-05-04,29
2023-05-05,34
2023-05-06,52
2023-05-07,62
2023-05-08,38
2023-05-09,29
2023-05-10,36
2023-05-11,39
2023-05-12,38
2023-05-13,55
2023-05-14,63
2023-05-15,60
2023-05-16,35
2023-05-17,37
2023-05-18,36
2023-05-19,34
2023-05-20,56
2023-05-21,61
2023-05-22,37
2023-05-23,31
2023-05-24,36
2023-05-25,39
2023-05-26,30
2023-05-27,55
2023-05-28,73
2023-05-29,69
2023-05-30,40
2023-05-31,36
2023-06-01,41
2023-06-02,36
2023-06-03,54
2023-06-04,65
2023-06-05,40
2023-06-06,37
2023-06-07,42
2023-06-08,40
2023-06-09,44
2023-06-10,58
2023-06-11,77
2023-06-12,54
2023-06-13,44
2023-06-14,44
2023-06-15,41
2023-06-16,43
2023-06-17,62
2023-06-18,78
2023-06-19,67
2023-06-20,46
2023-06-21,40
2023-06-22,42
2023-06-23,47
2023-06-24,58
2023-06-25,70
2023-06-26,68
2023-06-27,49
2023-06-28,45
2023-06-29,36
2023-06-30,34
2023-07-01,55
2023-07-02,66
2023-07-03,58
2023-07-04,77
2023-07-05,43
2023-07-06,38
2023-07-07,53
2023-07-08,71
2023-07-09,100
2023-07-10,63
2023-07-11,53
2023-07-12,42
2023-07-13,48
2023-07-14,50
2023-07-15,61
2023-07-16,69
2023-07-17,58
2023-07-18,48
2023-07-19,43
2023-07-20,34
2023-07-21,40
2023-07-22,69
2023-07-23,71
2023-07-24,43
2023-07-25,39
2023-07-26,31
2023-07-27,34
2023-07-28,40
2023-07-29,51
2023-07-30,64
2023-07-31,52
2023-08-01,23
2023-08-02,34
2023-08-03,32
2023-08-04,44
2023-08-05,53
2023-08-06,49
2023-08-07,69
2023-08-08,59
2023-08-09,38
2023-08-10,37
2023-08-11,38
2023-08-12,49
2023-08-13,62
2023-08-14,53
2023-08-15,36
2023-08-16,41
2023-08-17,39
2023-08-18,50
2023-08-19,52
2023-08-20,57
2023-08-21,51
2023-08-22,34
2023-08-23,30
2023-08-24,31
2023-08-25,37
2023-08-26,64
2023-08-27,51
2023-08-28,55
2023-08-29,30
2023-08-30,33
2023-08-31,35
2023-09-01,37
2023-09-02,50
2023-09-03,47
2023-09-04,48
2023-09-05,40
2023-09-06,23
2023-09-07,29
2023-09-08,23
2023-09-09,37
2023-09-10,38
2023-09-11,37
2023-09-12,23
2023-09-13,35
2023-09-14,22
2023-09-15,30
2023-09-16,39
2023-09-17,43
2023-09-18,27
2023-09-19,29
2023-09-20,20
2023-09-21,28
2023-09-22,29
2023-09-23,29
2023-09-24,39
2023-09-25,29
2023-09-26,20
2023-09-27,16
2023-09-28,17
2023-09-29,20
2023-09-30,33
2023-10-01,33
2023-10-02,25
2023-10-03,24
2023-10-04,21
2023-10-05,20
2023-10-06,24
2023-10-07,27
2023-10-08,33
2023-10-09,26
2023-10-10,19
2023-10-11,17
2023-10-12,25
2023-10-13,25
2023-10-14,26
2023-10-15,35
2023-10-16,21
2023-10-17,16
2023-10-18,21
2023-10-19,24
2023-10-20,22
2023-10-21,32
2023-10-22,42
2023-10-23,29
2023-10-24,24
2023-10-25,21
2023-10-26,24
2023-10-27,24
2023-10-28,31
2023-10-29,23
2023-10-30,27
2023-10-31,19
2023-11-01,27
2023-11-02,20
2023-11-03,27
2023-11-04,35
2023-11-05,42
2023-11-06,26
2023-11-07,17
2023-11-08,16
2023-11-09,26
2023-11-10,27
2023-11-11,36
2023-11-12,35
2023-11-13,24
2023-11-14,23
2023-11-15,24
2023-11-16,29
2023-11-17,21
2023-11-18,29
2023-11-19,34
2023-11-20,33
2023-11-21,26
2023-11-22,27
2023-11-23,52
2023-11-24,45
2023-11-25,47
2023-11-26,45
2023-11-27,29
2023-11-28,21
2023-11-29,19
2023-11-30,20
2023-12-01,24
2023-12-02,28
2023-12-03,47
2023-12-04,28
2023-12-05,21
2023-12-06,28
2023-12-07,26
2023-12-08,23
2023-12-09,41
2023-12-10,53
2023-12-11,32
2023-12-12,21
2023-12-13,28
2023-12-14,27
2023-12-15,26
2023-12-16,50
2023-12-17,38
2023-12-18,34
2023-12-19,32
2023-12-20,31
2023-12-21,36
2023-12-22,35
2023-12-23,37
2023-12-24,35
2023-12-25,50
2023-12-26,41
2023-12-27,40
2023-12-28,50
2023-12-29,45
2023-12-30,50
2023-12-31,47
2024-01-01,60
2024-01-02,45
2024-01-03,31
2024-01-04,34
2024-01-05,42
2024-01-06,57
2024-01-07,80
2024-01-08,47
2024-01-09,43
2024-01-10,39
2024-01-11,34
2024-01-12,39
2024-01-13,52
2024-01-14,60
2024-01-15,65
2024-01-16,42
2024-01-17,39
2024-01-18,42
2024-01-19,29
2024-01-20,54
