Time,minesweeper
2024-08-18,14
2024-08-19,43
2024-08-20,51
2024-08-21,52
2024-08-22,55
2024-08-23,57
2024-08-24,14
2024-08-25,15
2024-08-26,56
2024-08-27,60
2024-08-28,61
2024-08-29,67
2024-08-30,59
2024-08-31,16
2024-09-01,15
2024-09-02,16
2024-09-03,66
2024-09-04,67
2024-09-05,69
2024-09-06,79
2024-09-07,15
2024-09-08,15
2024-09-09,69
2024-09-10,69
2024-09-11,70
2024-09-12,80
2024-09-13,78
2024-09-14,17
2024-09-15,15
2024-09-16,68
2024-09-17,75
2024-09-18,74
2024-09-19,73
2024-09-20,76
2024-09-21,16
2024-09-22,16
2024-09-23,71
2024-09-24,75
2024-09-25,69
2024-09-26,66
2024-09-27,62
2024-09-28,17
2024-09-29,15
2024-09-30,64
2024-10-01,67
2024-10-02,68
2024-10-03,60
2024-10-04,63
2024-10-05,16
2024-10-06,16
2024-10-07,61
2024-10-08,64
2024-10-09,62
2024-10-10,63
2024-10-11,55
2024-10-12,14
2024-10-13,15
2024-10-14,44
2024-10-15,63
2024-10-16,62
2024-10-17,63
2024-10-18,59
2024-10-19,17
2024-10-20,15
2024-10-21,65
2024-10-22,67
2024-10-23,65
2024-10-24,67
2024-10-25,68
2024-10-26,16
2024-10-27,16
2024-10-28,64
2024-10-29,69
2024-10-30,68
2024-10-31,70
2024-11-01,58
2024-11-02,17
2024-11-03,17
2024-11-04,63
2024-11-05,47
2024-11-06,53
2024-11-07,65
2024-11-08,66
2024-11-09,18
2024-11-10,18
2024-11-11,49
2024-11-12,67
2024-11-13,70
2024-11-14,67
2024-11-15,72
2024-11-16,17
2024-11-17,18
2024-11-18,66
2024-11-19,66
2024-11-20,69
2024-11-21,71
2024-11-22,68
2024-11-23,18
2024-11-24,15
2024-11-25,47
2024-11-26,48
2024-11-27,25
2024-11-28,16
2024-11-29,15
2024-11-30,14
2024-12-01,16
2024-12-02,55
2024-12-03,59
2024-12-04,61
2024-12-05,61
2024-12-06,66
2024-12-07,18
2024-12-08,17
2024-12-09,56
2024-12-10,63
2024-12-11,65
2024-12-12,65
2024-12-13,65
2024-12-14,17
2024-12-15,17
2024-12-16,62
2024-12-17,65
2024-12-18,67
2024-12-19,70
2024-12-20,50
2024-12-21,17
2024-12-22,16
2024-12-23,19
2024-12-24,16
2024-12-25,13
2024-12-26,17
2024-12-27,17
2024-12-28,12
2024-12-29,13
2024-12-30,16
2024-12-31,18
2025-01-01,14
2025-01-02,22
2025-01-03,23
2025-01-04,14
2025-01-05,14
2025-01-06,35
2025-01-07,50
2025-01-08,52
2025-01-09,55
2025-01-10,54
2025-01-11,15
2025-01-12,17
2025-01-13,63
2025-01-14,65
2025-01-15,62
2025-01-16,66
2025-01-17,68
2025-01-18,16
2025-01-19,16
2025-01-20,21
2025-01-21,50
2025-01-22,55
2025-01-23,59
2025-01-24,62
2025-01-25,17
2025-01-26,17
2025-01-27,62
2025-01-28,67
2025-01-29,100
2025-01-30,87
2025-01-31,91
2025-02-01,21
2025-02-02,18
2025-02-03,65
2025-02-04,75
2025-02-05,70
2025-02-06,71
2025-02-07,73
2025-02-08,18
2025-02-09,17
2025-02-10,61
2025-02-11,68
2025-02-12,63
2025-02-13,68
2025-02-14,59
2025-02-15,18
2025-02-16,18
2025-02-17,30
2025-02-18,63
2025-02-19,58
2025-02-20,60
2025-02-21,63
2025-02-22,18
2025-02-23,16
2025-02-24,66
2025-02-25,73
2025-02-26,71
2025-02-27,70
2025-02-28,73
2025-03-01,17
2025-03-02,18
2025-03-03,65
2025-03-04,73
2025-03-05,65
2025-03-06,73
2025-03-07,69
2025-03-08,19
2025-03-09,18
2025-03-10,62
2025-03-11,65
2025-03-12,65
2025-03-13,68
2025-03-14,59
2025-03-15,17
2025-03-16,15
2025-03-17,57
2025-03-18,60
2025-03-19,56
2025-03-20,60
2025-03-21,55
2025-03-22,15
2025-03-23,16
2025-03-24,56
2025-03-25,61
2025-03-26,60
2025-03-27,63
2025-03-28,59
2025-03-29,16
2025-03-30,15
2025-03-31,52
2025-04-01,57
2025-04-02,57
2025-04-03,61
2025-04-04,57
2025-04-05,16
2025-04-06,16
2025-04-07,61
2025-04-08,60
2025-04-09,61
2025-04-10,63
2025-04-11,62
2025-04-12,15
2025-04-13,15
2025-04-14,54
2025-04-15,56
2025-04-16,56
2025-04-17,56
2025-04-18,33
2025-04-19,16
2025-04-20,14
2025-04-21,45
2025-04-22,61
2025-04-23,59
2025-04-24,57
2025-04-25,55
2025-04-26,14
2025-04-27,15
2025-04-28,62
2025-04-29,61
2025-04-30,60
2025-05-01,64
2025-05-02,60
2025-05-03,16
2025-05-04,16
2025-05-05,56
2025-05-06,58
2025-05-07,54
2025-05-08,56
2025-05-09,57
2025-05-10,15
2025-05-11,14
2025-05-12,58
2025-05-13,58
2025-05-14,55
