Time,minesweeper
2022-08-29,73
2022-08-30,77
2022-08-31,75
2022-09-01,80
2022-09-02,72
2022-09-03,18
2022-09-04,16
2022-09-05,21
2022-09-06,85
2022-09-07,88
2022-09-08,84
2022-09-09,99
2022-09-10,21
2022-09-11,19
2022-09-12,91
2022-09-13,88
2022-09-14,95
2022-09-15,94
2022-09-16,89
2022-09-17,22
2022-09-18,22
2022-09-19,90
2022-09-20,99
2022-09-21,92
2022-09-22,95
2022-09-23,98
2022-09-24,20
2022-09-25,20
2022-09-26,73
2022-09-27,90
2022-09-28,88
2022-09-29,94
2022-09-30,86
2022-10-01,21
2022-10-02,19
2022-10-03,84
2022-10-04,85
2022-10-05,77
2022-10-06,92
2022-10-07,83
2022-10-08,21
2022-10-09,19
2022-10-10,63
2022-10-11,84
2022-10-12,75
2022-10-13,85
2022-10-14,76
2022-10-15,19
2022-10-16,21
2022-10-17,76
2022-10-18,88
2022-10-19,82
2022-10-20,82
2022-10-21,76
2022-10-22,21
2022-10-23,20
2022-10-24,75
2022-10-25,80
2022-10-26,82
2022-10-27,82
2022-10-28,79
2022-10-29,21
2022-10-30,21
2022-10-31,76
2022-11-01,81
2022-11-02,87
2022-11-03,87
2022-11-04,84
2022-11-05,25
2022-11-06,20
2022-11-07,78
2022-11-08,65
2022-11-09,84
2022-11-10,77
2022-11-11,54
2022-11-12,22
2022-11-13,23
2022-11-14,81
2022-11-15,77
2022-11-16,80
2022-11-17,87
2022-11-18,92
2022-11-19,23
2022-11-20,20
2022-11-21,55
2022-11-22,59
2022-11-23,32
2022-11-24,22
2022-11-25,20
2022-11-26,20
2022-11-27,36
2022-11-28,66
2022-11-29,78
2022-11-30,74
2022-12-01,75
2022-12-02,74
2022-12-03,24
2022-12-04,21
2022-12-05,84
2022-12-06,80
2022-12-07,84
2022-12-08,90
2022-12-09,80
2022-12-10,23
2022-12-11,23
2022-12-12,100
2022-12-13,88
2022-12-14,81
2022-12-15,80
2022-12-16,74
2022-12-17,22
2022-12-18,22
2022-12-19,56
2022-12-20,61
2022-12-21,51
2022-12-22,39
2022-12-23,26
2022-12-24,22
2022-12-25,19
2022-12-26,17
2022-12-27,21
2022-12-28,23
2022-12-29,20
2022-12-30,20
2022-12-31,18
2023-01-01,16
2023-01-02,19
2023-01-03,38
2023-01-04,52
2023-01-05,58
2023-01-06,60
2023-01-07,18
2023-01-08,19
2023-01-09,62
2023-01-10,70
2023-01-11,72
2023-01-12,74
2023-01-13,75
2023-01-14,23
2023-01-15,20
2023-01-16,24
2023-01-17,73
2023-01-18,75
2023-01-19,85
2023-01-20,77
2023-01-21,23
2023-01-22,20
2023-01-23,74
2023-01-24,77
2023-01-25,68
2023-01-26,78
2023-01-27,75
2023-01-28,20
2023-01-29,19
2023-01-30,72
2023-01-31,73
2023-02-01,71
2023-02-02,75
2023-02-03,76
2023-02-04,24
2023-02-05,24
2023-02-06,75
2023-02-07,82
2023-02-08,82
2023-02-09,78
2023-02-10,82
2023-02-11,23
2023-02-12,23
2023-02-13,71
2023-02-14,80
2023-02-15,80
2023-02-16,79
2023-02-17,65
2023-02-18,23
2023-02-19,22
2023-02-20,34
2023-02-21,65
2023-02-22,68
2023-02-23,69
2023-02-24,71
2023-02-25,23
2023-02-26,22
2023-02-27,75
2023-02-28,70
2023-03-01,74
2023-03-02,76
2023-03-03,73
2023-03-04,22
2023-03-05,22
2023-03-06,68
2023-03-07,75
2023-03-08,74
2023-03-09,76
2023-03-10,68
2023-03-11,22
2023-03-12,20
2023-03-13,57
2023-03-14,56
2023-03-15,59
2023-03-16,63
2023-03-17,58
2023-03-18,21
2023-03-19,20
2023-03-20,63
2023-03-21,75
2023-03-22,69
2023-03-23,74
2023-03-24,70
2023-03-25,21
2023-03-26,21
2023-03-27,66
2023-03-28,73
2023-03-29,66
2023-03-30,72
2023-03-31,67
2023-04-01,20
2023-04-02,23
2023-04-03,61
2023-04-04,61
2023-04-05,61
2023-04-06,63
2023-04-07,36
2023-04-08,19
2023-04-09,19
2023-04-10,51
2023-04-11,67
2023-04-12,63
2023-04-13,70
2023-04-14,64
2023-04-15,22
2023-04-16,22
2023-04-17,68
2023-04-18,73
2023-04-19,74
2023-04-20,75
2023-04-21,72
2023-04-22,22
2023-04-23,21
2023-04-24,69
2023-04-25,78
2023-04-26,73
2023-04-27,72
2023-04-28,67
2023-04-29,21
2023-04-30,22
2023-05-01,67
2023-05-02,71
2023-05-03,70
2023-05-04,66
2023-05-05,68
2023-05-06,19
2023-05-07,21
2023-05-08,71
2023-05-09,71
2023-05-10,72
2023-05-11,68
2023-05-12,70
2023-05-13,21
2023-05-14,19
2023-05-15,64
2023-05-16,66
2023-05-17,65
2023-05-18,68
2023-05-19,65
2023-05-20,20
2023-05-21,19
2023-05-22,58
2023-05-23,59
2023-05-24,53
2023-05-25,53
