Time,minesweeper
2022-01-01,16
2022-01-02,17
2022-01-03,25
2022-01-04,37
2022-01-05,40
2022-01-06,33
2022-01-07,41
2022-01-08,21
2022-01-09,22
2022-01-10,41
2022-01-11,44
2022-01-12,46
2022-01-13,43
2022-01-14,39
2022-01-15,20
2022-01-16,18
2022-01-17,19
2022-01-18,37
2022-01-19,39
2022-01-20,40
2022-01-21,43
2022-01-22,21
2022-01-23,17
2022-01-24,47
2022-01-25,39
2022-01-26,39
2022-01-27,43
2022-01-28,51
2022-01-29,21
2022-01-30,20
2022-01-31,44
2022-02-01,44
2022-02-02,45
2022-02-03,45
2022-02-04,44
2022-02-05,21
2022-02-06,21
2022-02-07,47
2022-02-08,54
2022-02-09,51
2022-02-10,46
2022-02-11,48
2022-02-12,21
2022-02-13,18
2022-02-14,46
2022-02-15,52
2022-02-16,49
2022-02-17,50
2022-02-18,44
2022-02-19,21
2022-02-20,21
2022-02-21,26
2022-02-22,42
2022-02-23,43
2022-02-24,38
2022-02-25,37
2022-02-26,23
2022-02-27,22
2022-02-28,43
2022-03-01,42
2022-03-02,43
2022-03-03,46
2022-03-04,44
2022-03-05,22
2022-03-06,19
2022-03-07,40
2022-03-08,42
2022-03-09,44
2022-03-10,44
2022-03-11,37
2022-03-12,21
2022-03-13,20
2022-03-14,35
2022-03-15,36
2022-03-16,36
2022-03-17,36
2022-03-18,32
2022-03-19,19
2022-03-20,21
2022-03-21,36
2022-03-22,39
2022-03-23,39
2022-03-24,42
2022-03-25,97
2022-03-26,22
2022-03-27,20
2022-03-28,92
2022-03-29,89
2022-03-30,42
2022-03-31,86
2022-04-01,88
2022-04-02,24
2022-04-03,21
2022-04-04,100
2022-04-05,98
2022-04-06,87
2022-04-07,91
2022-04-08,89
2022-04-09,23
2022-04-10,22
2022-04-11,82
2022-04-12,84
2022-04-13,80
2022-04-14,81
2022-04-15,47
2022-04-16,21
2022-04-17,23
2022-04-18,66
2022-04-19,89
2022-04-20,84
2022-04-21,82
2022-04-22,89
2022-04-23,22
2022-04-24,22
2022-04-25,90
2022-04-26,96
2022-04-27,84
2022-04-28,95
2022-04-29,86
2022-04-30,23
2022-05-01,22
2022-05-02,84
2022-05-03,91
2022-05-04,87
2022-05-05,89
2022-05-06,94
2022-05-07,23
2022-05-08,23
2022-05-09,88
2022-05-10,88
2022-05-11,88
2022-05-12,89
2022-05-13,91
2022-05-14,23
2022-05-15,21
2022-05-16,84
2022-05-17,88
2022-05-18,83
2022-05-19,92
2022-05-20,87
2022-05-21,21
2022-05-22,22
2022-05-23,78
2022-05-24,78
2022-05-25,72
2022-05-26,68
2022-05-27,59
2022-05-28,21
2022-05-29,19
2022-05-30,20
2022-05-31,55
2022-06-01,51
2022-06-02,52
2022-06-03,47
2022-06-04,20
2022-06-05,21
2022-06-06,43
2022-06-07,46
2022-06-08,44
2022-06-09,40
2022-06-10,36
2022-06-11,19
2022-06-12,18
2022-06-13,33
2022-06-14,34
2022-06-15,32
2022-06-16,31
2022-06-17,25
2022-06-18,18
2022-06-19,19
2022-06-20,21
2022-06-21,25
2022-06-22,26
2022-06-23,25
2022-06-24,22
2022-06-25,18
2022-06-26,16
2022-06-27,22
2022-06-28,23
2022-06-29,24
2022-06-30,22
2022-07-01,21
2022-07-02,15
2022-07-03,16
2022-07-04,16
2022-07-05,23
2022-07-06,20
2022-07-07,22
2022-07-08,20
2022-07-09,15
2022-07-10,16
2022-07-11,21
2022-07-12,21
2022-07-13,19
2022-07-14,21
2022-07-15,21
2022-07-16,17
2022-07-17,16
2022-07-18,22
2022-07-19,24
2022-07-20,23
2022-07-21,23
2022-07-22,20
2022-07-23,18
2022-07-24,17
2022-07-25,22
2022-07-26,22
2022-07-27,21
2022-07-28,25
2022-07-29,23
2022-07-30,15
2022-07-31,18
2022-08-01,19
2022-08-02,21
2022-08-03,24
2022-08-04,23
2022-08-05,23
2022-08-06,16
2022-08-07,18
2022-08-08,23
2022-08-09,27
2022-08-10,30
2022-08-11,36
2022-08-12,38
2022-08-13,17
2022-08-14,18
2022-08-15,37
2022-08-16,44
2022-08-17,48
2022-08-18,53
2022-08-19,56
2022-08-20,19
2022-08-21,19
2022-08-22,56
2022-08-23,64
2022-08-24,66
2022-08-25,73
2022-08-26,70
2022-08-27,18
2022-08-28,18
2022-08-29,73
2022-08-30,77
2022-08-31,76
2022-09-01,81
2022-09-02,73
2022-09-03,18
2022-09-04,16
2022-09-05,21
2022-09-06,85
2022-09-07,89
2022-09-08,85
2022-09-09,100
2022-09-10,21
2022-09-11,20
2022-09-12,92
2022-09-13,88
2022-09-14,96
2022-09-15,94
2022-09-16,90
2022-09-17,22
2022-09-18,22
2022-09-19,91
2022-09-20,99
2022-09-21,92
2022-09-22,95
2022-09-23,98
2022-09-24,20
2022-09-25,20
2022-09-26,74
2022-09-27,91
