Time,minesweeper
2023-04-26,85
2023-04-27,84
2023-04-28,79
2023-04-29,25
2023-04-30,26
2023-05-01,79
2023-05-02,84
2023-05-03,83
2023-05-04,78
2023-05-05,80
2023-05-06,23
2023-05-07,25
2023-05-08,84
2023-05-09,84
2023-05-10,85
2023-05-11,80
2023-05-12,82
2023-05-13,25
2023-05-14,23
2023-05-15,76
2023-05-16,77
2023-05-17,76
2023-05-18,79
2023-05-19,77
2023-05-20,23
2023-05-21,22
2023-05-22,68
2023-05-23,69
2023-05-24,62
2023-05-25,62
2023-05-26,49
2023-05-27,22
2023-05-28,20
2023-05-29,23
2023-05-30,53
2023-05-31,50
2023-06-01,47
2023-06-02,47
2023-06-03,21
2023-06-04,20
2023-06-05,44
2023-06-06,44
2023-06-07,45
2023-06-08,41
2023-06-09,39
2023-06-10,18
2023-06-11,18
2023-06-12,35
2023-06-13,34
2023-06-14,32
2023-06-15,32
2023-06-16,27
2023-06-17,18
2023-06-18,19
2023-06-19,24
2023-06-20,29
2023-06-21,28
2023-06-22,26
2023-06-23,26
2023-06-24,21
2023-06-25,21
2023-06-26,28
2023-06-27,27
2023-06-28,28
2023-06-29,28
2023-06-30,26
2023-07-01,19
2023-07-02,19
2023-07-03,24
2023-07-04,18
2023-07-05,23
2023-07-06,25
2023-07-07,26
2023-07-08,19
2023-07-09,20
2023-07-10,26
2023-07-11,26
2023-07-12,26
2023-07-13,29
2023-07-14,25
2023-07-15,18
2023-07-16,18
2023-07-17,25
2023-07-18,23
2023-07-19,26
2023-07-20,27
2023-07-21,25
2023-07-22,20
2023-07-23,19
2023-07-24,25
2023-07-25,28
2023-07-26,29
2023-07-27,28
2023-07-28,24
2023-07-29,21
2023-07-30,18
2023-07-31,24
2023-08-01,25
2023-08-02,25
2023-08-03,27
2023-08-04,29
2023-08-05,20
2023-08-06,20
2023-08-07,28
2023-08-08,31
2023-08-09,32
2023-08-10,37
2023-08-11,41
2023-08-12,21
2023-08-13,18
2023-08-14,42
2023-08-15,48
2023-08-16,52
2023-08-17,58
2023-08-18,61
2023-08-19,20
2023-08-20,19
2023-08-21,56
2023-08-22,64
2023-08-23,68
2023-08-24,73
2023-08-25,73
2023-08-26,18
2023-08-27,19
2023-08-28,75
2023-08-29,79
2023-08-30,78
2023-08-31,89
2023-09-01,77
2023-09-02,21
2023-09-03,20
2023-09-04,20
2023-09-05,84
2023-09-06,84
2023-09-07,98
2023-09-08,95
2023-09-09,21
2023-09-10,21
2023-09-11,89
2023-09-12,95
2023-09-13,95
2023-09-14,97
2023-09-15,98
2023-09-16,23
2023-09-17,23
2023-09-18,92
2023-09-19,97
2023-09-20,97
2023-09-21,100
2023-09-22,92
2023-09-23,24
2023-09-24,23
2023-09-25,77
2023-09-26,92
2023-09-27,95
2023-09-28,93
2023-09-29,93
2023-09-30,24
2023-10-01,24
2023-10-02,89
2023-10-03,95
2023-10-04,92
2023-10-05,96
2023-10-06,89
2023-10-07,23
2023-10-08,24
2023-10-09,62
2023-10-10,89
2023-10-11,88
2023-10-12,90
2023-10-13,86
2023-10-14,25
2023-10-15,23
2023-10-16,83
2023-10-17,94
2023-10-18,94
2023-10-19,99
2023-10-20,85
2023-10-21,25
2023-10-22,25
2023-10-23,87
2023-10-24,92
2023-10-25,90
2023-10-26,90
2023-10-27,86
2023-10-28,25
2023-10-29,27
2023-10-30,87
2023-10-31,95
2023-11-01,83
2023-11-02,93
2023-11-03,90
2023-11-04,26
2023-11-05,26
2023-11-06,89
2023-11-07,85
2023-11-08,95
2023-11-09,97
2023-11-10,65
2023-11-11,25
2023-11-12,26
2023-11-13,82
2023-11-14,95
2023-11-15,96
2023-11-16,94
2023-11-17,93
2023-11-18,24
2023-11-19,26
2023-11-20,66
2023-11-21,69
2023-11-22,34
2023-11-23,24
2023-11-24,24
2023-11-25,22
2023-11-26,23
2023-11-27,76
2023-11-28,83
2023-11-29,87
2023-11-30,87
2023-12-01,87
2023-12-02,26
2023-12-03,24
2023-12-04,84
2023-12-05,92
2023-12-06,86
2023-12-07,92
2023-12-08,97
2023-12-09,25
2023-12-10,26
2023-12-11,77
2023-12-12,80
2023-12-13,84
2023-12-14,94
2023-12-15,83
2023-12-16,25
2023-12-17,23
2023-12-18,71
2023-12-19,71
2023-12-20,66
2023-12-21,59
2023-12-22,38
2023-12-23,23
2023-12-24,21
2023-12-25,19
2023-12-26,21
2023-12-27,23
2023-12-28,23
2023-12-29,26
2023-12-30,23
2023-12-31,22
2024-01-01,21
2024-01-02,32
2024-01-03,47
2024-01-04,52
2024-01-05,56
2024-01-06,23
2024-01-07,21
2024-01-08,63
2024-01-09,66
2024-01-10,79
2024-01-11,84
2024-01-12,78
2024-01-13,24
2024-01-14,21
2024-01-15,26
2024-01-16,56
2024-01-17,74
2024-01-18,85
2024-01-19,72
2024-01-20,25
