Time,minesweeper
2025-12-11,91
2025-12-12,100
2025-12-13,26
2025-12-14,23
2025-12-15,89
2025-12-16,99
2025-12-17,99
2025-12-18,97
2025-12-19,77
2025-12-20,24
2025-12-21,23
2025-12-22,34
2025-12-23,33
2025-12-24,22
2025-12-25,22
2025-12-26,20
2025-12-27,20
2025-12-28,18
2025-12-29,22
2025-12-30,19
2025-12-31,18
2026-01-01,16
2026-01-02,19
2026-01-03,20
2026-01-04,17
2026-01-05,50
2026-01-06,77
2026-01-07,82
2026-01-08,90
2026-01-09,90
2026-01-10,21
2026-01-11,20
2026-01-12,84
2026-01-13,87
2026-01-14,86
2026-01-15,83
2026-01-16,84
2026-01-17,19
2026-01-18,18
2026-01-19,21
2026-01-20,79
2026-01-21,80
2026-01-22,87
2026-01-23,82
2026-01-24,19
2026-01-25,18
2026-01-26,46
2026-01-27,66
2026-01-28,70
2026-01-29,75
2026-01-30,74
2026-01-31,18
2026-02-01,18
2026-02-02,75
2026-02-03,77
2026-02-04,79
2026-02-05,84
2026-02-06,80
2026-02-07,19
2026-02-08,17
2026-02-09,70
2026-02-10,88
2026-02-11,84
2026-02-12,85
2026-02-13,78
2026-02-14,19
2026-02-15,21
2026-02-16,31
2026-02-17,63
2026-02-18,81
2026-02-19,92
2026-02-20,88
2026-02-21,46
2026-02-22,54
2026-02-23,80
2026-02-24,70
2026-02-25,73
2026-02-26,74
2026-02-27,74
2026-02-28,18
2026-03-01,17
2026-03-02,74
2026-03-03,75
2026-03-04,76
2026-03-05,78
2026-03-06,76
2026-03-07,18
2026-03-08,16
2026-03-09,69
2026-03-10,70
2026-03-11,74
2026-03-12,73
2026-03-13,62
2026-03-14,17
2026-03-15,16
2026-03-16,55
2026-03-17,61
2026-03-18,59
2026-03-19,60
2026-03-20,50
2026-03-21,15
2026-03-22,15
2026-03-23,64
2026-03-24,66
2026-03-25,65
2026-03-26,68
2026-03-27,64
2026-03-28,16
2026-03-29,14
2026-03-30,55
2026-03-31,58
2026-04-01,56
2026-04-02,54
2026-04-03,32
2026-04-04,15
2026-04-05,15
2026-04-06,43
2026-04-07,54
2026-04-08,54
2026-04-09,57
2026-04-10,53
2026-04-11,17
2026-04-12,17
2026-04-13,68
2026-04-14,66
2026-04-15,64
2026-04-16,70
2026-04-17,67
2026-04-18,15
2026-04-19,15
2026-04-20,69
2026-04-21,66
2026-04-22,66
2026-04-23,71
2026-04-24,64
2026-04-25,16
2026-04-26,14
2026-04-27,67
2026-04-28,71
2026-04-29,66
2026-04-30,70
2026-05-01,65
2026-05-02,16
2026-05-03,17
2026-05-04,64
2026-05-05,64
2026-05-06,62
2026-05-07,64
2026-05-08,61
2026-05-09,15
2026-05-10,16
2026-05-11,62
2026-05-12,63
2026-05-13,60
2026-05-14,65
2026-05-15,59
2026-05-16,15
2026-05-17,13
2026-05-18,58
2026-05-19,55
2026-05-20,56
2026-05-21,54
2026-05-22,43
2026-05-23,14
2026-05-24,14
2026-05-25,14
2026-05-26,42
2026-05-27,40
2026-05-28,42
2026-05-29,37
2026-05-30,14
2026-05-31,11
