Time,arnold schwarzenegger
2022-08-29,28
2022-08-30,27
2022-08-31,22
2022-09-01,22
2022-09-02,21
2022-09-03,23
2022-09-04,32
2022-09-05,26
2022-09-06,20
2022-09-07,20
2022-09-08,25
2022-09-09,23
2022-09-10,27
2022-09-11,22
2022-09-12,20
2022-09-13,22
2022-09-14,20
2022-09-15,22
2022-09-16,21
2022-09-17,29
2022-09-18,25
2022-09-19,21
2022-09-20,40
2022-09-21,28
2022-09-22,26
2022-09-23,24
2022-09-24,25
2022-09-25,25
2022-09-26,21
2022-09-27,25
2022-09-28,25
2022-09-29,22
2022-09-30,23
2022-10-01,21
2022-10-02,22
2022-10-03,17
2022-10-04,26
2022-10-05,22
2022-10-06,22
2022-10-07,26
2022-10-08,24
2022-10-09,22
2022-10-10,25
2022-10-11,31
2022-10-12,23
2022-10-13,24
2022-10-14,22
2022-10-15,21
2022-10-16,25
2022-10-17,20
2022-10-18,36
2022-10-19,39
2022-10-20,28
2022-10-21,26
2022-10-22,27
2022-10-23,27
2022-10-24,22
2022-10-25,22
2022-10-26,23
2022-10-27,22
2022-10-28,20
2022-10-29,24
2022-10-30,25
2022-10-31,21
2022-11-01,19
2022-11-02,21
2022-11-03,20
2022-11-04,21
2022-11-05,22
2022-11-06,24
2022-11-07,21
2022-11-08,21
2022-11-09,21
2022-11-10,21
2022-11-11,22
2022-11-12,26
2022-11-13,27
2022-11-14,23
2022-11-15,18
2022-11-16,21
2022-11-17,21
2022-11-18,20
2022-11-19,25
2022-11-20,23
2022-11-21,21
2022-11-22,22
2022-11-23,24
2022-11-24,29
2022-11-25,27
2022-11-26,28
2022-11-27,55
2022-11-28,26
2022-11-29,43
2022-11-30,28
2022-12-01,24
2022-12-02,23
2022-12-03,27
2022-12-04,26
2022-12-05,25
2022-12-06,24
2022-12-07,25
2022-12-08,25
2022-12-09,24
2022-12-10,29
2022-12-11,50
2022-12-12,28
2022-12-13,25
2022-12-14,27
2022-12-15,25
2022-12-16,23
2022-12-17,24
2022-12-18,27
2022-12-19,25
2022-12-20,24
2022-12-21,27
2022-12-22,23
2022-12-23,28
2022-12-24,30
2022-12-25,38
2022-12-26,29
2022-12-27,28
2022-12-28,29
2022-12-29,23
2022-12-30,21
2022-12-31,22
2023-01-01,26
2023-01-02,26
2023-01-03,18
2023-01-04,22
2023-01-05,21
2023-01-06,23
2023-01-07,29
2023-01-08,29
2023-01-09,24
2023-01-10,23
2023-01-11,24
2023-01-12,24
2023-01-13,25
2023-01-14,30
2023-01-15,28
2023-01-16,27
2023-01-17,22
2023-01-18,23
2023-01-19,35
2023-01-20,29
2023-01-21,32
2023-01-22,28
2023-01-23,25
2023-01-24,27
2023-01-25,21
2023-01-26,20
2023-01-27,21
2023-01-28,28
2023-01-29,30
2023-01-30,20
2023-01-31,23
2023-02-01,21
2023-02-02,21
2023-02-03,20
2023-02-04,25
2023-02-05,29
2023-02-06,29
2023-02-07,28
2023-02-08,30
2023-02-09,32
2023-02-10,32
2023-02-11,30
2023-02-12,30
2023-02-13,22
2023-02-14,19
2023-02-15,22
2023-02-16,22
2023-02-17,24
2023-02-18,25
2023-02-19,24
2023-02-20,28
2023-02-21,22
2023-02-22,28
2023-02-23,22
2023-02-24,22
2023-02-25,28
2023-02-26,27
2023-02-27,26
2023-02-28,27
2023-03-01,22
2023-03-02,26
2023-03-03,25
2023-03-04,48
2023-03-05,48
2023-03-06,27
2023-03-07,31
2023-03-08,48
2023-03-09,43
2023-03-10,32
2023-03-11,41
2023-03-12,32
2023-03-13,29
2023-03-14,45
2023-03-15,48
2023-03-16,34
2023-03-17,25
2023-03-18,32
2023-03-19,31
2023-03-20,23
2023-03-21,22
2023-03-22,27
2023-03-23,29
2023-03-24,24
2023-03-25,24
2023-03-26,29
2023-03-27,22
2023-03-28,24
2023-03-29,32
2023-03-30,27
2023-03-31,22
2023-04-01,29
2023-04-02,31
2023-04-03,25
2023-04-04,22
2023-04-05,24
2023-04-06,25
2023-04-07,24
2023-04-08,36
2023-04-09,51
2023-04-10,51
2023-04-11,26
2023-04-12,49
2023-04-13,63
2023-04-14,76
2023-04-15,46
2023-04-16,44
2023-04-17,42
2023-04-18,35
2023-04-19,26
2023-04-20,27
2023-04-21,39
2023-04-22,38
2023-04-23,30
2023-04-24,23
2023-04-25,24
2023-04-26,24
2023-04-27,31
2023-04-28,29
2023-04-29,100
2023-04-30,98
2023-05-01,77
2023-05-02,45
2023-05-03,32
2023-05-04,26
2023-05-05,24
2023-05-06,31
2023-05-07,33
2023-05-08,25
2023-05-09,26
2023-05-10,26
2023-05-11,29
2023-05-12,26
2023-05-13,31
2023-05-14,34
2023-05-15,28
2023-05-16,37
2023-05-17,33
2023-05-18,32
2023-05-19,34
2023-05-20,36
2023-05-21,37
2023-05-22,28
2023-05-23,39
2023-05-24,32
2023-05-25,50
