Time,arnold schwarzenegger
2023-04-26,7
2023-04-27,9
2023-04-28,9
2023-04-29,31
2023-04-30,30
2023-05-01,24
2023-05-02,14
2023-05-03,10
2023-05-04,8
2023-05-05,7
2023-05-06,10
2023-05-07,10
2023-05-08,8
2023-05-09,8
2023-05-10,8
2023-05-11,9
2023-05-12,8
2023-05-13,10
2023-05-14,10
2023-05-15,9
2023-05-16,11
2023-05-17,10
2023-05-18,10
2023-05-19,10
2023-05-20,11
2023-05-21,12
2023-05-22,9
2023-05-23,12
2023-05-24,10
2023-05-25,16
2023-05-26,32
2023-05-27,38
2023-05-28,49
2023-05-29,35
2023-05-30,23
2023-05-31,20
2023-06-01,17
2023-06-02,18
2023-06-03,22
2023-06-04,25
2023-06-05,30
2023-06-06,21
2023-06-07,29
2023-06-08,41
2023-06-09,46
2023-06-10,59
2023-06-11,65
2023-06-12,100
2023-06-13,70
2023-06-14,36
2023-06-15,35
2023-06-16,35
2023-06-17,42
2023-06-18,44
2023-06-19,34
2023-06-20,56
2023-06-21,27
2023-06-22,24
2023-06-23,23
2023-06-24,28
2023-06-25,28
2023-06-26,19
2023-06-27,19
2023-06-28,47
2023-06-29,83
2023-06-30,34
2023-07-01,19
2023-07-02,19
2023-07-03,17
2023-07-04,19
2023-07-05,15
2023-07-06,13
2023-07-07,14
2023-07-08,16
2023-07-09,18
2023-07-10,12
2023-07-11,11
2023-07-12,11
2023-07-13,9
2023-07-14,10
2023-07-15,15
2023-07-16,16
2023-07-17,11
2023-07-18,9
2023-07-19,9
2023-07-20,9
2023-07-21,9
2023-07-22,10
2023-07-23,11
2023-07-24,9
2023-07-25,8
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,10
2023-07-30,11
2023-07-31,10
2023-08-01,11
2023-08-02,9
2023-08-03,8
2023-08-04,8
2023-08-05,11
2023-08-06,11
2023-08-07,8
2023-08-08,8
2023-08-09,8
2023-08-10,7
2023-08-11,9
2023-08-12,9
2023-08-13,11
2023-08-14,7
2023-08-15,7
2023-08-16,7
2023-08-17,8
2023-08-18,9
2023-08-19,14
2023-08-20,11
2023-08-21,9
2023-08-22,7
2023-08-23,7
2023-08-24,7
2023-08-25,7
2023-08-26,8
2023-08-27,9
2023-08-28,7
2023-08-29,6
2023-08-30,6
2023-08-31,7
2023-09-01,6
2023-09-02,7
2023-09-03,8
2023-09-04,8
2023-09-05,7
2023-09-06,8
2023-09-07,7
2023-09-08,7
2023-09-09,9
2023-09-10,10
2023-09-11,9
2023-09-12,6
2023-09-13,6
2023-09-14,6
2023-09-15,6
2023-09-16,8
2023-09-17,8
2023-09-18,6
2023-09-19,7
2023-09-20,7
2023-09-21,8
2023-09-22,7
2023-09-23,7
2023-09-24,8
2023-09-25,7
2023-09-26,8
2023-09-27,8
2023-09-28,7
2023-09-29,8
2023-09-30,9
2023-10-01,8
2023-10-02,7
2023-10-03,11
2023-10-04,9
2023-10-05,8
2023-10-06,9
2023-10-07,11
2023-10-08,15
2023-10-09,20
2023-10-10,13
2023-10-11,12
2023-10-12,10
2023-10-13,10
2023-10-14,9
2023-10-15,9
2023-10-16,8
2023-10-17,9
2023-10-18,9
2023-10-19,9
2023-10-20,7
2023-10-21,8
2023-10-22,8
2023-10-23,7
2023-10-24,6
2023-10-25,8
2023-10-26,8
2023-10-27,8
2023-10-28,8
2023-10-29,11
2023-10-30,8
2023-10-31,6
2023-11-01,6
2023-11-02,7
2023-11-03,7
2023-11-04,10
2023-11-05,10
2023-11-06,9
2023-11-07,14
2023-11-08,9
2023-11-09,8
2023-11-10,8
2023-11-11,9
2023-11-12,9
2023-11-13,8
2023-11-14,7
2023-11-15,7
2023-11-16,7
2023-11-17,8
2023-11-18,10
2023-11-19,9
2023-11-20,7
2023-11-21,7
2023-11-22,8
2023-11-23,9
2023-11-24,9
2023-11-25,9
2023-11-26,9
2023-11-27,6
2023-11-28,7
2023-11-29,8
2023-11-30,7
2023-12-01,6
2023-12-02,8
2023-12-03,8
2023-12-04,7
2023-12-05,6
2023-12-06,7
2023-12-07,7
2023-12-08,7
2023-12-09,9
2023-12-10,9
2023-12-11,6
2023-12-12,7
2023-12-13,7
2023-12-14,7
2023-12-15,6
2023-12-16,8
2023-12-17,8
2023-12-18,7
2023-12-19,7
2023-12-20,7
2023-12-21,7
2023-12-22,7
2023-12-23,10
2023-12-24,11
2023-12-25,13
2023-12-26,9
2023-12-27,8
2023-12-28,7
2023-12-29,9
2023-12-30,9
2023-12-31,8
2024-01-01,9
2024-01-02,6
2024-01-03,7
2024-01-04,6
2024-01-05,7
2024-01-06,7
2024-01-07,7
2024-01-08,8
2024-01-09,6
2024-01-10,6
2024-01-11,6
2024-01-12,5
2024-01-13,6
2024-01-14,7
2024-01-15,6
2024-01-16,6
2024-01-17,10
2024-01-18,15
2024-01-19,9
2024-01-20,9
