Time,sydney sweeney
2023-12-22,26
2023-12-23,22
2023-12-24,21
2023-12-25,16
2023-12-26,15
2023-12-27,16
2023-12-28,16
2023-12-29,15
2023-12-30,14
2023-12-31,12
2024-01-01,12
2024-01-02,11
2024-01-03,11
2024-01-04,10
2024-01-05,10
2024-01-06,14
2024-01-07,16
2024-01-08,8
2024-01-09,8
2024-01-10,8
2024-01-11,8
2024-01-12,8
2024-01-13,11
2024-01-14,11
2024-01-15,9
2024-01-16,8
2024-01-17,7
2024-01-18,7
2024-01-19,7
2024-01-20,13
2024-01-21,11
2024-01-22,7
2024-01-23,7
2024-01-24,7
2024-01-25,11
2024-01-26,17
2024-01-27,24
2024-01-28,23
2024-01-29,14
2024-01-30,11
2024-01-31,11
2024-02-01,9
2024-02-02,10
2024-02-03,11
2024-02-04,11
2024-02-05,8
2024-02-06,7
2024-02-07,7
2024-02-08,7
2024-02-09,8
2024-02-10,11
2024-02-11,11
2024-02-12,8
2024-02-13,12
2024-02-14,15
2024-02-15,15
2024-02-16,16
2024-02-17,19
2024-02-18,20
2024-02-19,25
2024-02-20,23
2024-02-21,19
2024-02-22,14
2024-02-23,13
2024-02-24,16
2024-02-25,25
2024-02-26,16
2024-02-27,13
2024-02-28,15
2024-02-29,12
2024-03-01,13
2024-03-02,18
2024-03-03,100
2024-03-04,66
2024-03-05,45
2024-03-06,24
2024-03-07,21
2024-03-08,20
2024-03-09,31
2024-03-10,31
2024-03-11,23
2024-03-12,30
2024-03-13,23
2024-03-14,19
2024-03-15,21
2024-03-16,25
2024-03-17,23
2024-03-18,17
2024-03-19,14
2024-03-20,21
2024-03-21,16
2024-03-22,15
2024-03-23,21
2024-03-24,25
2024-03-25,17
2024-03-26,13
2024-03-27,13
2024-03-28,12
2024-03-29,12
2024-03-30,16
2024-03-31,16
2024-04-01,11
2024-04-02,10
2024-04-03,10
2024-04-04,11
2024-04-05,10
2024-04-06,11
2024-04-07,12
2024-04-08,9
2024-04-09,8
2024-04-10,8
2024-04-11,7
2024-04-12,7
2024-04-13,10
2024-04-14,10
2024-04-15,8
2024-04-16,9
2024-04-17,14
2024-04-18,18
2024-04-19,13
2024-04-20,13
2024-04-21,14
2024-04-22,13
2024-04-23,14
2024-04-24,20
2024-04-25,19
2024-04-26,17
2024-04-27,26
2024-04-28,34
2024-04-29,20
2024-04-30,15
2024-05-01,12
2024-05-02,13
2024-05-03,13
2024-05-04,16
2024-05-05,17
2024-05-06,11
2024-05-07,17
2024-05-08,12
2024-05-09,10
2024-05-10,9
2024-05-11,10
2024-05-12,12
2024-05-13,8
2024-05-14,9
2024-05-15,9
2024-05-16,8
2024-05-17,8
2024-05-18,10
2024-05-19,13
2024-05-20,9
2024-05-21,8
2024-05-22,8
2024-05-23,8
2024-05-24,7
2024-05-25,10
2024-05-26,10
2024-05-27,11
2024-05-28,8
2024-05-29,7
2024-05-30,7
2024-05-31,7
2024-06-01,8
2024-06-02,9
2024-06-03,6
2024-06-04,6
2024-06-05,7
2024-06-06,7
2024-06-07,8
2024-06-08,9
2024-06-09,10
2024-06-10,10
2024-06-11,9
2024-06-12,7
2024-06-13,7
2024-06-14,7
2024-06-15,9
2024-06-16,12
2024-06-17,6
2024-06-18,7
2024-06-19,6
2024-06-20,6
2024-06-21,7
2024-06-22,9
2024-06-23,8
2024-06-24,6
2024-06-25,5
2024-06-26,6
2024-06-27,5
2024-06-28,5
2024-06-29,5
2024-06-30,6
2024-07-01,6
2024-07-02,5
2024-07-03,5
2024-07-04,6
2024-07-05,7
2024-07-06,9
2024-07-07,10
2024-07-08,8
2024-07-09,8
2024-07-10,8
2024-07-11,8
2024-07-12,7
2024-07-13,7
2024-07-14,7
2024-07-15,6
2024-07-16,5
2024-07-17,6
2024-07-18,6
2024-07-19,5
2024-07-20,7
2024-07-21,8
2024-07-22,6
2024-07-23,6
2024-07-24,9
2024-07-25,8
2024-07-26,7
2024-07-27,7
2024-07-28,8
2024-07-29,8
2024-07-30,11
2024-07-31,11
2024-08-01,8
2024-08-02,6
2024-08-03,6
2024-08-04,8
2024-08-05,6
2024-08-06,5
2024-08-07,6
2024-08-08,6
2024-08-09,6
2024-08-10,6
2024-08-11,7
2024-08-12,6
2024-08-13,5
2024-08-14,6
2024-08-15,5
2024-08-16,15
2024-08-17,22
2024-08-18,19
2024-08-19,20
2024-08-20,13
2024-08-21,11
2024-08-22,8
2024-08-23,8
2024-08-24,8
2024-08-25,9
2024-08-26,8
2024-08-27,10
2024-08-28,6
2024-08-29,6
2024-08-30,7
2024-08-31,7
2024-09-01,9
2024-09-02,8
2024-09-03,7
2024-09-04,6
2024-09-05,6
2024-09-06,5
2024-09-07,5
2024-09-08,6
2024-09-09,6
2024-09-10,6
2024-09-11,9
2024-09-12,9
2024-09-13,7
2024-09-14,8
2024-09-15,8
2024-09-16,5
