Time,sydney sweeney
2023-04-26,43
2023-04-27,61
2023-04-28,40
2023-04-29,40
2023-04-30,31
2023-05-01,28
2023-05-02,50
2023-05-03,29
2023-05-04,19
2023-05-05,16
2023-05-06,17
2023-05-07,22
2023-05-08,15
2023-05-09,13
2023-05-10,13
2023-05-11,14
2023-05-12,14
2023-05-13,13
2023-05-14,14
2023-05-15,13
2023-05-16,11
2023-05-17,13
2023-05-18,13
2023-05-19,12
2023-05-20,11
2023-05-21,12
2023-05-22,13
2023-05-23,14
2023-05-24,12
2023-05-25,11
2023-05-26,11
2023-05-27,13
2023-05-28,14
2023-05-29,15
2023-05-30,26
2023-05-31,32
2023-06-01,18
2023-06-02,15
2023-06-03,47
2023-06-04,53
2023-06-05,24
2023-06-06,17
2023-06-07,16
2023-06-08,13
2023-06-09,13
2023-06-10,13
2023-06-11,14
2023-06-12,11
2023-06-13,11
2023-06-14,10
2023-06-15,10
2023-06-16,10
2023-06-17,12
2023-06-18,11
2023-06-19,10
2023-06-20,10
2023-06-21,11
2023-06-22,8
2023-06-23,8
2023-06-24,8
2023-06-25,8
2023-06-26,7
2023-06-27,11
2023-06-28,13
2023-06-29,10
2023-06-30,8
2023-07-01,8
2023-07-02,11
2023-07-03,13
2023-07-04,9
2023-07-05,10
2023-07-06,9
2023-07-07,10
2023-07-08,9
2023-07-09,10
2023-07-10,6
2023-07-11,6
2023-07-12,5
2023-07-13,7
2023-07-14,6
2023-07-15,11
2023-07-16,11
2023-07-17,7
2023-07-18,7
2023-07-19,6
2023-07-20,6
2023-07-21,7
2023-07-22,9
2023-07-23,11
2023-07-24,8
2023-07-25,7
2023-07-26,7
2023-07-27,6
2023-07-28,5
2023-07-29,8
2023-07-30,10
2023-07-31,8
2023-08-01,13
2023-08-02,9
2023-08-03,6
2023-08-04,6
2023-08-05,7
2023-08-06,8
2023-08-07,6
2023-08-08,6
2023-08-09,15
2023-08-10,30
2023-08-11,20
2023-08-12,27
2023-08-13,28
2023-08-14,18
2023-08-15,14
2023-08-16,9
2023-08-17,9
2023-08-18,8
2023-08-19,7
2023-08-20,9
2023-08-21,8
2023-08-22,7
2023-08-23,7
2023-08-24,7
2023-08-25,8
2023-08-26,9
2023-08-27,11
2023-08-28,8
2023-08-29,13
2023-08-30,10
2023-08-31,6
2023-09-01,6
2023-09-02,7
2023-09-03,8
2023-09-04,11
2023-09-05,8
2023-09-06,12
2023-09-07,22
2023-09-08,14
2023-09-09,10
2023-09-10,10
2023-09-11,9
2023-09-12,9
2023-09-13,7
2023-09-14,7
2023-09-15,8
2023-09-16,8
2023-09-17,12
2023-09-18,13
2023-09-19,10
2023-09-20,8
2023-09-21,7
2023-09-22,6
2023-09-23,7
2023-09-24,7
2023-09-25,7
2023-09-26,6
2023-09-27,5
2023-09-28,5
2023-09-29,6
2023-09-30,6
2023-10-01,5
2023-10-02,6
2023-10-03,5
2023-10-04,6
2023-10-05,6
2023-10-06,5
2023-10-07,6
2023-10-08,5
2023-10-09,5
2023-10-10,4
2023-10-11,5
2023-10-12,5
2023-10-13,7
2023-10-14,6
2023-10-15,7
2023-10-16,5
2023-10-17,4
2023-10-18,4
2023-10-19,10
2023-10-20,15
2023-10-21,10
2023-10-22,10
2023-10-23,8
2023-10-24,6
2023-10-25,6
2023-10-26,5
2023-10-27,5
2023-10-28,6
2023-10-29,5
2023-10-30,5
2023-10-31,5
2023-11-01,4
2023-11-02,5
2023-11-03,5
2023-11-04,6
2023-11-05,7
2023-11-06,7
2023-11-07,7
2023-11-08,5
2023-11-09,4
2023-11-10,6
2023-11-11,6
2023-11-12,7
2023-11-13,7
2023-11-14,8
2023-11-15,24
2023-11-16,57
2023-11-17,36
2023-11-18,28
2023-11-19,17
2023-11-20,14
2023-11-21,20
2023-11-22,27
2023-11-23,18
2023-11-24,12
2023-11-25,16
2023-11-26,16
2023-11-27,11
2023-11-28,11
2023-11-29,16
2023-11-30,13
2023-12-01,13
2023-12-02,15
2023-12-03,17
2023-12-04,15
2023-12-05,13
2023-12-06,14
2023-12-07,10
2023-12-08,11
2023-12-09,13
2023-12-10,19
2023-12-11,22
2023-12-12,39
2023-12-13,41
2023-12-14,40
2023-12-15,32
2023-12-16,29
2023-12-17,33
2023-12-18,30
2023-12-19,48
2023-12-20,77
2023-12-21,100
2023-12-22,90
2023-12-23,76
2023-12-24,71
2023-12-25,56
2023-12-26,51
2023-12-27,55
2023-12-28,55
2023-12-29,50
2023-12-30,48
2023-12-31,42
2024-01-01,39
2024-01-02,37
2024-01-03,37
2024-01-04,34
2024-01-05,34
2024-01-06,47
2024-01-07,53
2024-01-08,28
2024-01-09,26
2024-01-10,27
2024-01-11,29
2024-01-12,27
2024-01-13,37
2024-01-14,39
2024-01-15,32
2024-01-16,26
2024-01-17,25
2024-01-18,23
2024-01-19,25
2024-01-20,43
