Time,carvana
2023-12-22,66
2023-12-23,71
2023-12-24,49
2023-12-25,41
2023-12-26,62
2023-12-27,66
2023-12-28,69
2023-12-29,67
2023-12-30,62
2023-12-31,54
2024-01-01,47
2024-01-02,62
2024-01-03,73
2024-01-04,67
2024-01-05,65
2024-01-06,69
2024-01-07,66
2024-01-08,57
2024-01-09,56
2024-01-10,57
2024-01-11,57
2024-01-12,59
2024-01-13,66
2024-01-14,55
2024-01-15,61
2024-01-16,63
2024-01-17,63
2024-01-18,60
2024-01-19,61
2024-01-20,69
2024-01-21,71
2024-01-22,60
2024-01-23,66
2024-01-24,65
2024-01-25,63
2024-01-26,64
2024-01-27,70
2024-01-28,64
2024-01-29,66
2024-01-30,71
2024-01-31,70
2024-02-01,66
2024-02-02,68
2024-02-03,77
2024-02-04,76
2024-02-05,65
2024-02-06,64
2024-02-07,61
2024-02-08,59
2024-02-09,60
2024-02-10,71
2024-02-11,59
2024-02-12,56
2024-02-13,67
2024-02-14,66
2024-02-15,67
2024-02-16,73
2024-02-17,81
2024-02-18,83
2024-02-19,83
2024-02-20,79
2024-02-21,80
2024-02-22,94
2024-02-23,100
2024-02-24,94
2024-02-25,90
2024-02-26,82
2024-02-27,75
2024-02-28,76
2024-02-29,73
2024-03-01,70
2024-03-02,72
2024-03-03,75
2024-03-04,72
2024-03-05,75
2024-03-06,76
2024-03-07,73
2024-03-08,74
2024-03-09,85
2024-03-10,76
2024-03-11,73
2024-03-12,72
2024-03-13,71
2024-03-14,69
2024-03-15,68
2024-03-16,71
2024-03-17,70
2024-03-18,75
2024-03-19,74
2024-03-20,74
2024-03-21,71
2024-03-22,71
2024-03-23,81
2024-03-24,76
2024-03-25,74
2024-03-26,75
2024-03-27,73
2024-03-28,73
2024-03-29,69
2024-03-30,75
2024-03-31,70
2024-04-01,73
2024-04-02,72
2024-04-03,74
2024-04-04,69
2024-04-05,74
2024-04-06,73
2024-04-07,72
2024-04-08,61
2024-04-09,64
2024-04-10,66
2024-04-11,65
2024-04-12,71
2024-04-13,72
2024-04-14,66
2024-04-15,70
2024-04-16,72
2024-04-17,73
2024-04-18,72
2024-04-19,71
2024-04-20,74
2024-04-21,74
2024-04-22,74
2024-04-23,70
2024-04-24,69
2024-04-25,71
2024-04-26,65
2024-04-27,68
2024-04-28,68
2024-04-29,67
2024-04-30,74
2024-05-01,81
2024-05-02,99
2024-05-03,86
2024-05-04,81
2024-05-05,72
2024-05-06,79
2024-05-07,75
2024-05-08,72
2024-05-09,73
2024-05-10,66
2024-05-11,71
2024-05-12,68
2024-05-13,72
2024-05-14,75
2024-05-15,79
2024-05-16,80
2024-05-17,77
2024-05-18,81
2024-05-19,77
2024-05-20,73
2024-05-21,72
2024-05-22,75
2024-05-23,73
2024-05-24,74
2024-05-25,74
2024-05-26,66
2024-05-27,80
2024-05-28,81
2024-05-29,80
2024-05-30,78
2024-05-31,77
2024-06-01,84
2024-06-02,76
2024-06-03,70
2024-06-04,72
2024-06-05,72
2024-06-06,68
2024-06-07,68
2024-06-08,70
2024-06-09,66
2024-06-10,72
2024-06-11,79
2024-06-12,81
2024-06-13,79
2024-06-14,76
2024-06-15,78
2024-06-16,73
2024-06-17,82
2024-06-18,78
2024-06-19,78
2024-06-20,70
2024-06-21,75
2024-06-22,78
2024-06-23,70
2024-06-24,73
2024-06-25,80
2024-06-26,78
2024-06-27,78
2024-06-28,77
2024-06-29,80
2024-06-30,71
2024-07-01,73
2024-07-02,70
2024-07-03,69
2024-07-04,66
2024-07-05,65
2024-07-06,69
2024-07-07,67
2024-07-08,74
2024-07-09,78
2024-07-10,78
2024-07-11,79
2024-07-12,80
2024-07-13,83
2024-07-14,67
2024-07-15,66
2024-07-16,70
2024-07-17,71
2024-07-18,70
2024-07-19,70
2024-07-20,67
2024-07-21,65
2024-07-22,72
2024-07-23,81
2024-07-24,80
2024-07-25,83
2024-07-26,80
2024-07-27,83
2024-07-28,77
2024-07-29,76
2024-07-30,72
2024-07-31,78
2024-08-01,80
2024-08-02,73
2024-08-03,72
2024-08-04,71
2024-08-05,75
2024-08-06,73
2024-08-07,79
2024-08-08,73
2024-08-09,78
2024-08-10,80
2024-08-11,77
2024-08-12,76
2024-08-13,78
2024-08-14,78
2024-08-15,71
2024-08-16,73
2024-08-17,76
2024-08-18,75
2024-08-19,73
2024-08-20,83
2024-08-21,76
2024-08-22,76
2024-08-23,77
2024-08-24,87
2024-08-25,74
2024-08-26,79
2024-08-27,74
2024-08-28,75
2024-08-29,71
2024-08-30,66
2024-08-31,72
2024-09-01,67
2024-09-02,72
2024-09-03,68
2024-09-04,76
2024-09-05,69
2024-09-06,69
2024-09-07,70
2024-09-08,68
2024-09-09,67
2024-09-10,67
2024-09-11,63
2024-09-12,68
2024-09-13,64
2024-09-14,71
2024-09-15,63
2024-09-16,67
