Time,carvana
2022-08-29,70
2022-08-30,68
2022-08-31,69
2022-09-01,66
2022-09-02,67
2022-09-03,66
2022-09-04,64
2022-09-05,72
2022-09-06,65
2022-09-07,67
2022-09-08,61
2022-09-09,61
2022-09-10,68
2022-09-11,62
2022-09-12,67
2022-09-13,67
2022-09-14,71
2022-09-15,69
2022-09-16,67
2022-09-17,75
2022-09-18,64
2022-09-19,69
2022-09-20,69
2022-09-21,69
2022-09-22,64
2022-09-23,63
2022-09-24,68
2022-09-25,63
2022-09-26,65
2022-09-27,69
2022-09-28,64
2022-09-29,67
2022-09-30,64
2022-10-01,66
2022-10-02,63
2022-10-03,66
2022-10-04,68
2022-10-05,64
2022-10-06,70
2022-10-07,67
2022-10-08,68
2022-10-09,66
2022-10-10,71
2022-10-11,68
2022-10-12,68
2022-10-13,67
2022-10-14,68
2022-10-15,65
2022-10-16,63
2022-10-17,69
2022-10-18,68
2022-10-19,68
2022-10-20,66
2022-10-21,68
2022-10-22,69
2022-10-23,62
2022-10-24,66
2022-10-25,68
2022-10-26,67
2022-10-27,65
2022-10-28,63
2022-10-29,63
2022-10-30,62
2022-10-31,60
2022-11-01,61
2022-11-02,61
2022-11-03,68
2022-11-04,89
2022-11-05,93
2022-11-06,78
2022-11-07,84
2022-11-08,83
2022-11-09,66
2022-11-10,72
2022-11-11,71
2022-11-12,69
2022-11-13,62
2022-11-14,63
2022-11-15,72
2022-11-16,74
2022-11-17,70
2022-11-18,87
2022-11-19,84
2022-11-20,77
2022-11-21,75
2022-11-22,70
2022-11-23,66
2022-11-24,48
2022-11-25,58
2022-11-26,49
2022-11-27,54
2022-11-28,52
2022-11-29,57
2022-11-30,59
2022-12-01,60
2022-12-02,60
2022-12-03,58
2022-12-04,54
2022-12-05,60
2022-12-06,56
2022-12-07,100
2022-12-08,98
2022-12-09,81
2022-12-10,73
2022-12-11,61
2022-12-12,70
2022-12-13,70
2022-12-14,66
2022-12-15,64
2022-12-16,60
2022-12-17,64
2022-12-18,62
2022-12-19,65
2022-12-20,67
2022-12-21,66
2022-12-22,65
2022-12-23,61
2022-12-24,50
2022-12-25,43
2022-12-26,65
2022-12-27,87
2022-12-28,83
2022-12-29,77
2022-12-30,88
2022-12-31,63
2023-01-01,54
2023-01-02,70
2023-01-03,65
2023-01-04,69
2023-01-05,69
2023-01-06,67
2023-01-07,68
2023-01-08,69
2023-01-09,66
2023-01-10,65
2023-01-11,69
2023-01-12,71
2023-01-13,75
2023-01-14,74
2023-01-15,67
2023-01-16,69
2023-01-17,75
2023-01-18,70
2023-01-19,62
2023-01-20,63
2023-01-21,67
2023-01-22,60
2023-01-23,64
2023-01-24,64
2023-01-25,61
2023-01-26,62
2023-01-27,61
2023-01-28,69
2023-01-29,61
2023-01-30,68
2023-01-31,70
2023-02-01,68
2023-02-02,79
2023-02-03,69
2023-02-04,62
2023-02-05,58
2023-02-06,68
2023-02-07,65
2023-02-08,64
2023-02-09,62
2023-02-10,64
2023-02-11,65
2023-02-12,57
2023-02-13,50
2023-02-14,55
2023-02-15,58
2023-02-16,58
2023-02-17,65
2023-02-18,63
2023-02-19,64
2023-02-20,67
2023-02-21,66
2023-02-22,69
2023-02-23,71
2023-02-24,79
2023-02-25,73
2023-02-26,69
2023-02-27,65
2023-02-28,69
2023-03-01,63
2023-03-02,58
2023-03-03,59
2023-03-04,60
2023-03-05,58
2023-03-06,63
2023-03-07,62
2023-03-08,61
2023-03-09,60
2023-03-10,62
2023-03-11,61
2023-03-12,61
2023-03-13,59
2023-03-14,58
2023-03-15,54
2023-03-16,61
2023-03-17,58
2023-03-18,60
2023-03-19,58
2023-03-20,63
2023-03-21,63
2023-03-22,66
2023-03-23,65
2023-03-24,63
2023-03-25,66
2023-03-26,60
2023-03-27,60
2023-03-28,59
2023-03-29,58
2023-03-30,58
2023-03-31,54
2023-04-01,56
2023-04-02,54
2023-04-03,54
2023-04-04,53
2023-04-05,53
2023-04-06,53
2023-04-07,56
2023-04-08,55
2023-04-09,48
2023-04-10,57
2023-04-11,61
2023-04-12,62
2023-04-13,56
2023-04-14,60
2023-04-15,59
2023-04-16,59
2023-04-17,57
2023-04-18,59
2023-04-19,57
2023-04-20,55
2023-04-21,53
2023-04-22,59
2023-04-23,56
2023-04-24,55
2023-04-25,58
2023-04-26,58
2023-04-27,54
2023-04-28,55
2023-04-29,56
2023-04-30,56
2023-05-01,57
2023-05-02,56
2023-05-03,57
2023-05-04,58
2023-05-05,58
2023-05-06,58
2023-05-07,57
2023-05-08,62
2023-05-09,64
2023-05-10,61
2023-05-11,58
2023-05-12,57
2023-05-13,59
2023-05-14,56
2023-05-15,58
2023-05-16,59
2023-05-17,61
2023-05-18,63
2023-05-19,58
2023-05-20,61
2023-05-21,57
2023-05-22,59
2023-05-23,60
2023-05-24,55
2023-05-25,60
