step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_ftx_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_ftx_2022-08-29_2023-05-25.csv,30.0,30.0,0.7536691651312943,0.125,8.0,0.19295049556871527,overlap_ratio
2,gt_ftx_2023-04-26_2024-01-20.csv,30.0,30.0,0.8676794168273319,0.75,1.3333333333333333,0.17202877289227667,overlap_ratio
3,gt_ftx_2023-12-22_2024-09-16.csv,30.0,30.0,0.9578151239023839,1.5000000000000002,0.6666666666666665,0.06263906447709039,overlap_ratio
4,gt_ftx_2024-08-18_2025-05-14.csv,30.0,30.0,0.9488824341416142,5.291666666666668,0.18897637795275588,0.057011634947057084,overlap_ratio
5,gt_ftx_2025-04-15_2026-01-09.csv,30.0,30.0,0.9924785523394264,10.473090277777779,0.09548280149191876,0.025684979898838032,overlap_ratio
6,gt_ftx_2025-12-11_2026-05-31.csv,30.0,30.0,0.9948730323031796,4.8337339743589745,0.20687940323249068,0.01895291785596138,overlap_ratio
