Time,english to spanish
2022-08-29,73
2022-08-30,75
2022-08-31,77
2022-09-01,77
2022-09-02,73
2022-09-03,56
2022-09-04,50
2022-09-05,53
2022-09-06,73
2022-09-07,80
2022-09-08,83
2022-09-09,81
2022-09-10,53
2022-09-11,52
2022-09-12,80
2022-09-13,85
2022-09-14,88
2022-09-15,88
2022-09-16,83
2022-09-17,54
2022-09-18,52
2022-09-19,84
2022-09-20,86
2022-09-21,81
2022-09-22,86
2022-09-23,81
2022-09-24,56
2022-09-25,53
2022-09-26,76
2022-09-27,81
2022-09-28,87
2022-09-29,84
2022-09-30,81
2022-10-01,52
2022-10-02,52
2022-10-03,79
2022-10-04,87
2022-10-05,82
2022-10-06,92
2022-10-07,84
2022-10-08,56
2022-10-09,53
2022-10-10,76
2022-10-11,85
2022-10-12,81
2022-10-13,86
2022-10-14,82
2022-10-15,52
2022-10-16,56
2022-10-17,83
2022-10-18,86
2022-10-19,89
2022-10-20,88
2022-10-21,84
2022-10-22,54
2022-10-23,54
2022-10-24,80
2022-10-25,88
2022-10-26,90
2022-10-27,88
2022-10-28,81
2022-10-29,56
2022-10-30,52
2022-10-31,84
2022-11-01,80
2022-11-02,85
2022-11-03,87
2022-11-04,82
2022-11-05,53
2022-11-06,51
2022-11-07,84
2022-11-08,75
2022-11-09,81
2022-11-10,83
2022-11-11,69
2022-11-12,53
2022-11-13,52
2022-11-14,91
2022-11-15,86
2022-11-16,90
2022-11-17,100
2022-11-18,86
2022-11-19,54
2022-11-20,56
2022-11-21,71
2022-11-22,73
2022-11-23,68
2022-11-24,54
2022-11-25,54
2022-11-26,50
2022-11-27,51
2022-11-28,76
2022-11-29,87
2022-11-30,86
2022-12-01,92
2022-12-02,82
2022-12-03,53
2022-12-04,54
2022-12-05,82
2022-12-06,87
2022-12-07,87
2022-12-08,88
2022-12-09,82
2022-12-10,56
2022-12-11,53
2022-12-12,87
2022-12-13,82
2022-12-14,83
2022-12-15,86
2022-12-16,78
2022-12-17,59
2022-12-18,56
2022-12-19,74
2022-12-20,73
2022-12-21,74
2022-12-22,66
2022-12-23,63
2022-12-24,53
2022-12-25,55
2022-12-26,50
2022-12-27,58
2022-12-28,58
2022-12-29,61
2022-12-30,58
2022-12-31,51
2023-01-01,53
2023-01-02,51
2023-01-03,64
2023-01-04,74
2023-01-05,75
2023-01-06,74
2023-01-07,54
2023-01-08,54
2023-01-09,82
2023-01-10,84
2023-01-11,88
2023-01-12,85
2023-01-13,88
2023-01-14,56
2023-01-15,50
2023-01-16,61
2023-01-17,84
2023-01-18,88
2023-01-19,91
2023-01-20,88
2023-01-21,57
2023-01-22,56
2023-01-23,88
2023-01-24,93
2023-01-25,89
2023-01-26,89
2023-01-27,87
2023-01-28,59
2023-01-29,54
2023-01-30,85
2023-01-31,88
2023-02-01,87
2023-02-02,87
2023-02-03,89
2023-02-04,59
2023-02-05,59
2023-02-06,91
2023-02-07,94
2023-02-08,92
2023-02-09,92
2023-02-10,93
2023-02-11,59
2023-02-12,55
2023-02-13,81
2023-02-14,91
2023-02-15,93
2023-02-16,91
2023-02-17,83
2023-02-18,58
2023-02-19,56
2023-02-20,66
2023-02-21,87
2023-02-22,89
2023-02-23,83
2023-02-24,86
2023-02-25,60
2023-02-26,57
2023-02-27,91
2023-02-28,89
2023-03-01,92
2023-03-02,93
2023-03-03,86
2023-03-04,61
2023-03-05,55
2023-03-06,90
2023-03-07,92
2023-03-08,93
2023-03-09,87
2023-03-10,88
2023-03-11,57
2023-03-12,58
2023-03-13,77
2023-03-14,85
2023-03-15,86
2023-03-16,99
2023-03-17,81
2023-03-18,59
2023-03-19,56
2023-03-20,87
2023-03-21,90
2023-03-22,90
2023-03-23,90
2023-03-24,88
2023-03-25,59
2023-03-26,61
2023-03-27,89
2023-03-28,90
2023-03-29,93
2023-03-30,89
2023-03-31,81
2023-04-01,60
2023-04-02,59
2023-04-03,83
2023-04-04,83
2023-04-05,86
2023-04-06,80
2023-04-07,71
2023-04-08,58
2023-04-09,59
2023-04-10,82
2023-04-11,89
2023-04-12,89
2023-04-13,90
2023-04-14,86
2023-04-15,60
2023-04-16,61
2023-04-17,90
2023-04-18,91
2023-04-19,95
2023-04-20,91
2023-04-21,85
2023-04-22,62
2023-04-23,60
2023-04-24,91
2023-04-25,89
2023-04-26,94
2023-04-27,92
2023-04-28,87
2023-04-29,61
2023-04-30,60
2023-05-01,90
2023-05-02,90
2023-05-03,92
2023-05-04,95
2023-05-05,93
2023-05-06,65
2023-05-07,60
2023-05-08,87
2023-05-09,89
2023-05-10,98
2023-05-11,94
2023-05-12,90
2023-05-13,62
2023-05-14,70
2023-05-15,91
2023-05-16,95
2023-05-17,91
2023-05-18,95
2023-05-19,88
2023-05-20,62
2023-05-21,61
2023-05-22,89
2023-05-23,86
2023-05-24,87
2023-05-25,87
