Time,sonic
2023-12-22,56
2023-12-23,64
2023-12-24,64
2023-12-25,73
2023-12-26,59
2023-12-27,56
2023-12-28,55
2023-12-29,57
2023-12-30,60
2023-12-31,61
2024-01-01,66
2024-01-02,51
2024-01-03,54
2024-01-04,52
2024-01-05,50
2024-01-06,60
2024-01-07,61
2024-01-08,49
2024-01-09,45
2024-01-10,49
2024-01-11,56
2024-01-12,57
2024-01-13,63
2024-01-14,60
2024-01-15,52
2024-01-16,49
2024-01-17,53
2024-01-18,52
2024-01-19,51
2024-01-20,61
2024-01-21,60
2024-01-22,49
2024-01-23,50
2024-01-24,52
2024-01-25,50
2024-01-26,51
2024-01-27,63
2024-01-28,62
2024-01-29,51
2024-01-30,54
2024-01-31,56
2024-02-01,65
2024-02-02,71
2024-02-03,82
2024-02-04,71
2024-02-05,58
2024-02-06,55
2024-02-07,52
2024-02-08,65
2024-02-09,66
2024-02-10,73
2024-02-11,69
2024-02-12,58
2024-02-13,55
2024-02-14,52
2024-02-15,53
2024-02-16,59
2024-02-17,68
2024-02-18,69
2024-02-19,61
2024-02-20,53
2024-02-21,54
2024-02-22,53
2024-02-23,54
2024-02-24,67
2024-02-25,70
2024-02-26,54
2024-02-27,50
2024-02-28,53
2024-02-29,54
2024-03-01,54
2024-03-02,66
2024-03-03,70
2024-03-04,55
2024-03-05,51
2024-03-06,51
2024-03-07,50
2024-03-08,52
2024-03-09,63
2024-03-10,63
2024-03-11,52
2024-03-12,52
2024-03-13,57
2024-03-14,54
2024-03-15,55
2024-03-16,68
2024-03-17,67
2024-03-18,51
2024-03-19,50
2024-03-20,54
2024-03-21,51
2024-03-22,55
2024-03-23,66
2024-03-24,70
2024-03-25,54
2024-03-26,55
2024-03-27,55
2024-03-28,58
2024-03-29,60
2024-03-30,65
2024-03-31,75
2024-04-01,60
2024-04-02,57
2024-04-03,54
2024-04-04,56
2024-04-05,62
2024-04-06,72
2024-04-07,88
2024-04-08,96
2024-04-09,50
2024-04-10,56
2024-04-11,53
2024-04-12,60
2024-04-13,68
2024-04-14,71
2024-04-15,62
2024-04-16,70
2024-04-17,66
2024-04-18,58
2024-04-19,57
2024-04-20,72
2024-04-21,75
2024-04-22,58
2024-04-23,57
2024-04-24,56
2024-04-25,55
2024-04-26,60
2024-04-27,79
2024-04-28,81
2024-04-29,64
2024-04-30,60
2024-05-01,58
2024-05-02,59
2024-05-03,61
2024-05-04,71
2024-05-05,73
2024-05-06,60
2024-05-07,58
2024-05-08,60
2024-05-09,60
2024-05-10,63
2024-05-11,74
2024-05-12,76
2024-05-13,62
2024-05-14,58
2024-05-15,60
2024-05-16,62
2024-05-17,63
2024-05-18,76
2024-05-19,79
2024-05-20,61
2024-05-21,57
2024-05-22,56
2024-05-23,61
2024-05-24,64
2024-05-25,72
2024-05-26,72
2024-05-27,72
2024-05-28,59
2024-05-29,57
2024-05-30,61
2024-05-31,62
2024-06-01,71
2024-06-02,71
2024-06-03,58
2024-06-04,58
2024-06-05,61
2024-06-06,62
2024-06-07,68
2024-06-08,80
2024-06-09,73
2024-06-10,61
2024-06-11,62
2024-06-12,63
2024-06-13,65
2024-06-14,61
2024-06-15,74
2024-06-16,74
2024-06-17,61
2024-06-18,58
2024-06-19,60
2024-06-20,57
2024-06-21,64
2024-06-22,72
2024-06-23,76
2024-06-24,62
2024-06-25,59
2024-06-26,58
2024-06-27,62
2024-06-28,60
2024-06-29,71
2024-06-30,73
2024-07-01,64
2024-07-02,62
2024-07-03,61
2024-07-04,77
2024-07-05,69
2024-07-06,72
2024-07-07,72
2024-07-08,60
2024-07-09,60
2024-07-10,58
2024-07-11,59
2024-07-12,63
2024-07-13,71
2024-07-14,66
2024-07-15,56
2024-07-16,60
2024-07-17,63
2024-07-18,58
2024-07-19,58
2024-07-20,64
2024-07-21,67
2024-07-22,56
2024-07-23,56
2024-07-24,52
2024-07-25,57
2024-07-26,58
2024-07-27,65
2024-07-28,68
2024-07-29,56
2024-07-30,56
2024-07-31,60
2024-08-01,56
2024-08-02,55
2024-08-03,66
2024-08-04,72
2024-08-05,54
2024-08-06,55
2024-08-07,55
2024-08-08,54
2024-08-09,56
2024-08-10,66
2024-08-11,72
2024-08-12,56
2024-08-13,52
2024-08-14,53
2024-08-15,53
2024-08-16,56
2024-08-17,70
2024-08-18,69
2024-08-19,53
2024-08-20,54
2024-08-21,53
2024-08-22,55
2024-08-23,55
2024-08-24,67
2024-08-25,74
2024-08-26,56
2024-08-27,99
2024-08-28,92
2024-08-29,80
2024-08-30,80
2024-08-31,90
2024-09-01,100
2024-09-02,94
2024-09-03,68
2024-09-04,66
2024-09-05,66
2024-09-06,65
2024-09-07,86
2024-09-08,84
2024-09-09,70
2024-09-10,61
2024-09-11,59
2024-09-12,63
2024-09-13,63
2024-09-14,80
2024-09-15,76
2024-09-16,63
