Time,sonic
2025-04-15,71
2025-04-16,75
2025-04-17,75
2025-04-18,80
2025-04-19,84
2025-04-20,96
2025-04-21,73
2025-04-22,71
2025-04-23,73
2025-04-24,71
2025-04-25,74
2025-04-26,85
2025-04-27,88
2025-04-28,73
2025-04-29,72
2025-04-30,70
2025-05-01,73
2025-05-02,72
2025-05-03,82
2025-05-04,89
2025-05-05,71
2025-05-06,69
2025-05-07,72
2025-05-08,79
2025-05-09,81
2025-05-10,90
2025-05-11,92
2025-05-12,73
2025-05-13,73
2025-05-14,78
2025-05-15,74
2025-05-16,75
2025-05-17,88
2025-05-18,88
2025-05-19,69
2025-05-20,67
2025-05-21,70
2025-05-22,72
2025-05-23,80
2025-05-24,84
2025-05-25,100
2025-05-26,85
2025-05-27,71
2025-05-28,74
2025-05-29,72
2025-05-30,71
2025-05-31,83
2025-06-01,88
2025-06-02,72
2025-06-03,75
2025-06-04,75
2025-06-05,70
2025-06-06,81
2025-06-07,98
2025-06-08,93
2025-06-09,72
2025-06-10,70
2025-06-11,72
2025-06-12,72
2025-06-13,72
2025-06-14,79
2025-06-15,84
2025-06-16,68
2025-06-17,69
2025-06-18,69
2025-06-19,74
2025-06-20,70
2025-06-21,84
2025-06-22,91
2025-06-23,77
2025-06-24,78
2025-06-25,77
2025-06-26,75
2025-06-27,94
2025-06-28,100
2025-06-29,93
2025-06-30,75
2025-07-01,76
2025-07-02,75
2025-07-03,79
2025-07-04,96
2025-07-05,87
2025-07-06,94
2025-07-07,71
2025-07-08,74
2025-07-09,74
2025-07-10,77
2025-07-11,79
2025-07-12,85
2025-07-13,84
2025-07-14,87
2025-07-15,76
2025-07-16,74
2025-07-17,80
2025-07-18,78
2025-07-19,86
2025-07-20,96
2025-07-21,74
2025-07-22,72
2025-07-23,72
2025-07-24,74
2025-07-25,73
2025-07-26,82
2025-07-27,80
2025-07-28,73
2025-07-29,72
2025-07-30,74
2025-07-31,82
2025-08-01,73
2025-08-02,79
2025-08-03,84
2025-08-04,69
2025-08-05,70
2025-08-06,73
2025-08-07,72
2025-08-08,75
2025-08-09,80
2025-08-10,85
2025-08-11,71
2025-08-12,68
2025-08-13,67
2025-08-14,66
2025-08-15,68
2025-08-16,82
2025-08-17,84
2025-08-18,67
2025-08-19,65
2025-08-20,66
2025-08-21,69
2025-08-22,70
2025-08-23,75
2025-08-24,81
2025-08-25,63
2025-08-26,62
2025-08-27,65
2025-08-28,68
2025-08-29,82
2025-08-30,90
2025-08-31,93
2025-09-01,92
2025-09-02,67
2025-09-03,62
2025-09-04,64
2025-09-05,65
2025-09-06,77
2025-09-07,74
2025-09-08,65
2025-09-09,62
2025-09-10,62
2025-09-11,63
2025-09-12,63
2025-09-13,75
2025-09-14,75
2025-09-15,61
2025-09-16,61
2025-09-17,66
2025-09-18,70
2025-09-19,74
2025-09-20,84
2025-09-21,82
2025-09-22,69
2025-09-23,75
2025-09-24,73
2025-09-25,77
2025-09-26,82
2025-09-27,92
2025-09-28,88
2025-09-29,70
2025-09-30,70
2025-10-01,67
2025-10-02,69
2025-10-03,72
2025-10-04,86
2025-10-05,86
2025-10-06,69
2025-10-07,65
2025-10-08,69
2025-10-09,70
2025-10-10,69
2025-10-11,83
2025-10-12,80
2025-10-13,69
2025-10-14,64
2025-10-15,62
2025-10-16,66
2025-10-17,67
2025-10-18,75
2025-10-19,77
2025-10-20,64
2025-10-21,64
2025-10-22,62
2025-10-23,67
2025-10-24,66
2025-10-25,75
2025-10-26,76
2025-10-27,61
2025-10-28,68
2025-10-29,68
2025-10-30,68
2025-10-31,84
2025-11-01,80
2025-11-02,76
2025-11-03,61
2025-11-04,64
2025-11-05,65
2025-11-06,65
2025-11-07,72
2025-11-08,79
2025-11-09,75
2025-11-10,61
2025-11-11,70
2025-11-12,64
2025-11-13,69
2025-11-14,69
2025-11-15,74
2025-11-16,78
2025-11-17,64
2025-11-18,65
2025-11-19,66
2025-11-20,67
2025-11-21,72
2025-11-22,79
2025-11-23,78
2025-11-24,68
2025-11-25,69
2025-11-26,76
2025-11-27,81
2025-11-28,77
2025-11-29,79
2025-11-30,76
2025-12-01,68
2025-12-02,65
2025-12-03,65
2025-12-04,70
2025-12-05,65
2025-12-06,79
2025-12-07,78
2025-12-08,65
2025-12-09,67
2025-12-10,66
2025-12-11,67
2025-12-12,68
2025-12-13,74
2025-12-14,71
2025-12-15,65
2025-12-16,62
2025-12-17,69
2025-12-18,70
2025-12-19,67
2025-12-20,79
2025-12-21,80
2025-12-22,77
2025-12-23,71
2025-12-24,79
2025-12-25,92
2025-12-26,80
2025-12-27,78
2025-12-28,76
2025-12-29,70
2025-12-30,66
2025-12-31,70
2026-01-01,80
2026-01-02,75
2026-01-03,72
2026-01-04,70
2026-01-05,61
2026-01-06,62
2026-01-07,61
2026-01-08,65
2026-01-09,66
