Time,britney spears
2023-04-26,7
2023-04-27,6
2023-04-28,7
2023-04-29,8
2023-04-30,9
2023-05-01,8
2023-05-02,8
2023-05-03,12
2023-05-04,9
2023-05-05,9
2023-05-06,11
2023-05-07,12
2023-05-08,11
2023-05-09,11
2023-05-10,11
2023-05-11,11
2023-05-12,12
2023-05-13,13
2023-05-14,12
2023-05-15,15
2023-05-16,28
2023-05-17,20
2023-05-18,15
2023-05-19,13
2023-05-20,12
2023-05-21,12
2023-05-22,9
2023-05-23,13
2023-05-24,9
2023-05-25,9
2023-05-26,10
2023-05-27,11
2023-05-28,10
2023-05-29,9
2023-05-30,8
2023-05-31,8
2023-06-01,10
2023-06-02,9
2023-06-03,9
2023-06-04,11
2023-06-05,9
2023-06-06,10
2023-06-07,8
2023-06-08,7
2023-06-09,8
2023-06-10,9
2023-06-11,21
2023-06-12,17
2023-06-13,13
2023-06-14,10
2023-06-15,10
2023-06-16,9
2023-06-17,9
2023-06-18,9
2023-06-19,8
2023-06-20,8
2023-06-21,11
2023-06-22,9
2023-06-23,10
2023-06-24,11
2023-06-25,11
2023-06-26,12
2023-06-27,13
2023-06-28,8
2023-06-29,8
2023-06-30,8
2023-07-01,8
2023-07-02,8
2023-07-03,8
2023-07-04,8
2023-07-05,10
2023-07-06,45
2023-07-07,100
2023-07-08,62
2023-07-09,35
2023-07-10,25
2023-07-11,24
2023-07-12,24
2023-07-13,16
2023-07-14,13
2023-07-15,13
2023-07-16,12
2023-07-17,8
2023-07-18,15
2023-07-19,17
2023-07-20,12
2023-07-21,14
2023-07-22,13
2023-07-23,13
2023-07-24,11
2023-07-25,11
2023-07-26,11
2023-07-27,11
2023-07-28,10
2023-07-29,11
2023-07-30,10
2023-07-31,9
2023-08-01,9
2023-08-02,8
2023-08-03,9
2023-08-04,9
2023-08-05,11
2023-08-06,9
2023-08-07,7
2023-08-08,7
2023-08-09,7
2023-08-10,7
2023-08-11,7
2023-08-12,9
2023-08-13,12
2023-08-14,13
2023-08-15,10
2023-08-16,29
2023-08-17,82
2023-08-18,49
2023-08-19,46
2023-08-20,46
2023-08-21,55
2023-08-22,42
2023-08-23,24
2023-08-24,21
2023-08-25,25
2023-08-26,22
2023-08-27,29
2023-08-28,21
2023-08-29,12
2023-08-30,12
2023-08-31,12
2023-09-01,11
2023-09-02,16
2023-09-03,17
2023-09-04,14
2023-09-05,11
2023-09-06,13
2023-09-07,14
2023-09-08,12
2023-09-09,13
2023-09-10,12
2023-09-11,11
2023-09-12,13
2023-09-13,27
2023-09-14,53
2023-09-15,43
2023-09-16,20
2023-09-17,13
2023-09-18,10
2023-09-19,10
2023-09-20,8
2023-09-21,10
2023-09-22,11
2023-09-23,12
2023-09-24,14
2023-09-25,10
2023-09-26,20
2023-09-27,29
2023-09-28,27
2023-09-29,33
2023-09-30,28
2023-10-01,24
2023-10-02,18
2023-10-03,14
2023-10-04,16
2023-10-05,13
2023-10-06,12
2023-10-07,13
2023-10-08,12
2023-10-09,14
2023-10-10,12
2023-10-11,14
2023-10-12,11
2023-10-13,14
2023-10-14,13
2023-10-15,14
2023-10-16,10
2023-10-17,46
2023-10-18,97
2023-10-19,70
2023-10-20,65
2023-10-21,57
2023-10-22,38
2023-10-23,35
2023-10-24,71
2023-10-25,83
2023-10-26,91
2023-10-27,88
2023-10-28,68
2023-10-29,61
2023-10-30,44
2023-10-31,33
2023-11-01,30
2023-11-02,43
2023-11-03,48
2023-11-04,31
2023-11-05,29
2023-11-06,23
2023-11-07,22
2023-11-08,24
2023-11-09,23
2023-11-10,24
2023-11-11,23
2023-11-12,23
2023-11-13,19
2023-11-14,17
2023-11-15,16
2023-11-16,15
2023-11-17,16
2023-11-18,16
2023-11-19,18
2023-11-20,16
2023-11-21,16
2023-11-22,15
2023-11-23,14
2023-11-24,13
2023-11-25,13
2023-11-26,14
2023-11-27,12
2023-11-28,12
2023-11-29,16
2023-11-30,16
2023-12-01,13
2023-12-02,18
2023-12-03,25
2023-12-04,15
2023-12-05,13
2023-12-06,15
2023-12-07,14
2023-12-08,11
2023-12-09,11
2023-12-10,12
2023-12-11,10
2023-12-12,10
2023-12-13,10
2023-12-14,9
2023-12-15,10
2023-12-16,12
2023-12-17,12
2023-12-18,10
2023-12-19,11
2023-12-20,11
2023-12-21,11
2023-12-22,11
2023-12-23,13
2023-12-24,12
2023-12-25,10
2023-12-26,11
2023-12-27,11
2023-12-28,10
2023-12-29,11
2023-12-30,12
2023-12-31,10
2024-01-01,12
2024-01-02,9
2024-01-03,10
2024-01-04,14
2024-01-05,12
2024-01-06,11
2024-01-07,10
2024-01-08,9
2024-01-09,9
2024-01-10,9
2024-01-11,10
2024-01-12,10
2024-01-13,12
2024-01-14,12
2024-01-15,9
2024-01-16,8
2024-01-17,9
2024-01-18,10
2024-01-19,11
2024-01-20,11
