Time,britney spears
2022-08-29,100
2022-08-30,57
2022-08-31,45
2022-09-01,43
2022-09-02,80
2022-09-03,65
2022-09-04,45
2022-09-05,52
2022-09-06,65
2022-09-07,48
2022-09-08,38
2022-09-09,32
2022-09-10,33
2022-09-11,38
2022-09-12,82
2022-09-13,61
2022-09-14,62
2022-09-15,40
2022-09-16,38
2022-09-17,34
2022-09-18,35
2022-09-19,25
2022-09-20,23
2022-09-21,24
2022-09-22,22
2022-09-23,20
2022-09-24,24
2022-09-25,23
2022-09-26,26
2022-09-27,20
2022-09-28,18
2022-09-29,22
2022-09-30,19
2022-10-01,23
2022-10-02,25
2022-10-03,19
2022-10-04,19
2022-10-05,28
2022-10-06,53
2022-10-07,42
2022-10-08,40
2022-10-09,38
2022-10-10,31
2022-10-11,31
2022-10-12,28
2022-10-13,26
2022-10-14,24
2022-10-15,27
2022-10-16,28
2022-10-17,22
2022-10-18,20
2022-10-19,46
2022-10-20,41
2022-10-21,34
2022-10-22,40
2022-10-23,37
2022-10-24,26
2022-10-25,27
2022-10-26,37
2022-10-27,34
2022-10-28,33
2022-10-29,41
2022-10-30,33
2022-10-31,28
2022-11-01,21
2022-11-02,22
2022-11-03,18
2022-11-04,25
2022-11-05,34
2022-11-06,31
2022-11-07,26
2022-11-08,25
2022-11-09,22
2022-11-10,23
2022-11-11,25
2022-11-12,25
2022-11-13,26
2022-11-14,27
2022-11-15,19
2022-11-16,18
2022-11-17,20
2022-11-18,23
2022-11-19,34
2022-11-20,33
2022-11-21,24
2022-11-22,23
2022-11-23,21
2022-11-24,25
2022-11-25,23
2022-11-26,25
2022-11-27,40
2022-11-28,32
2022-11-29,24
2022-11-30,20
2022-12-01,22
2022-12-02,43
2022-12-03,73
2022-12-04,48
2022-12-05,32
2022-12-06,42
2022-12-07,46
2022-12-08,43
2022-12-09,33
2022-12-10,38
2022-12-11,40
2022-12-12,35
2022-12-13,31
2022-12-14,29
2022-12-15,27
2022-12-16,38
2022-12-17,42
2022-12-18,43
2022-12-19,37
2022-12-20,39
2022-12-21,48
2022-12-22,31
2022-12-23,30
2022-12-24,32
2022-12-25,26
2022-12-26,30
2022-12-27,26
2022-12-28,30
2022-12-29,26
2022-12-30,30
2022-12-31,34
2023-01-01,57
2023-01-02,45
2023-01-03,35
2023-01-04,26
2023-01-05,28
2023-01-06,26
2023-01-07,33
2023-01-08,28
2023-01-09,26
2023-01-10,24
2023-01-11,23
2023-01-12,22
2023-01-13,22
2023-01-14,46
2023-01-15,71
2023-01-16,63
2023-01-17,45
2023-01-18,38
2023-01-19,28
2023-01-20,42
2023-01-21,42
2023-01-22,34
2023-01-23,24
2023-01-24,22
2023-01-25,34
2023-01-26,37
2023-01-27,36
2023-01-28,29
2023-01-29,27
2023-01-30,31
2023-01-31,22
2023-02-01,21
2023-02-02,21
2023-02-03,22
2023-02-04,22
2023-02-05,22
2023-02-06,19
2023-02-07,22
2023-02-08,23
2023-02-09,31
2023-02-10,48
2023-02-11,39
2023-02-12,34
2023-02-13,29
2023-02-14,20
2023-02-15,19
2023-02-16,22
2023-02-17,23
2023-02-18,26
2023-02-19,30
2023-02-20,24
2023-02-21,24
2023-02-22,38
2023-02-23,41
2023-02-24,33
2023-02-25,33
2023-02-26,30
2023-02-27,23
2023-02-28,17
2023-03-01,17
2023-03-02,18
2023-03-03,18
2023-03-04,20
2023-03-05,28
2023-03-06,24
2023-03-07,20
2023-03-08,18
2023-03-09,16
2023-03-10,20
2023-03-11,23
2023-03-12,22
2023-03-13,17
2023-03-14,18
2023-03-15,15
2023-03-16,18
2023-03-17,19
2023-03-18,19
2023-03-19,21
2023-03-20,19
2023-03-21,22
2023-03-22,18
2023-03-23,19
2023-03-24,18
2023-03-25,22
2023-03-26,21
2023-03-27,17
2023-03-28,17
2023-03-29,19
2023-03-30,26
2023-03-31,40
2023-04-01,34
2023-04-02,28
2023-04-03,19
2023-04-04,18
2023-04-05,18
2023-04-06,22
2023-04-07,23
2023-04-08,22
2023-04-09,26
2023-04-10,28
2023-04-11,29
2023-04-12,23
2023-04-13,20
2023-04-14,20
2023-04-15,24
2023-04-16,25
2023-04-17,20
2023-04-18,21
2023-04-19,20
2023-04-20,19
2023-04-21,18
2023-04-22,24
2023-04-23,24
2023-04-24,18
2023-04-25,19
2023-04-26,17
2023-04-27,16
2023-04-28,18
2023-04-29,21
2023-04-30,22
2023-05-01,20
2023-05-02,20
2023-05-03,31
2023-05-04,24
2023-05-05,23
2023-05-06,29
2023-05-07,31
2023-05-08,29
2023-05-09,27
2023-05-10,27
2023-05-11,27
2023-05-12,30
2023-05-13,32
2023-05-14,31
2023-05-15,38
2023-05-16,70
2023-05-17,51
2023-05-18,38
2023-05-19,33
2023-05-20,32
2023-05-21,30
2023-05-22,23
2023-05-23,33
2023-05-24,23
2023-05-25,24
