Time,espn
2024-08-18,45
2024-08-19,30
2024-08-20,31
2024-08-21,33
2024-08-22,35
2024-08-23,35
2024-08-24,58
2024-08-25,59
2024-08-26,43
2024-08-27,44
2024-08-28,44
2024-08-29,48
2024-08-30,58
2024-08-31,86
2024-09-01,81
2024-09-02,74
2024-09-03,62
2024-09-04,56
2024-09-05,58
2024-09-06,53
2024-09-07,96
2024-09-08,100
2024-09-09,53
2024-09-10,52
2024-09-11,37
2024-09-12,46
2024-09-13,49
2024-09-14,74
2024-09-15,89
2024-09-16,46
2024-09-17,50
2024-09-18,36
2024-09-19,35
2024-09-20,39
2024-09-21,63
2024-09-22,80
2024-09-23,45
2024-09-24,41
2024-09-25,34
2024-09-26,34
2024-09-27,39
2024-09-28,63
2024-09-29,81
2024-09-30,46
2024-10-01,47
2024-10-02,39
2024-10-03,36
2024-10-04,39
2024-10-05,62
2024-10-06,84
2024-10-07,45
2024-10-08,47
2024-10-09,36
2024-10-10,40
2024-10-11,41
2024-10-12,64
2024-10-13,76
2024-10-14,46
2024-10-15,46
2024-10-16,35
2024-10-17,37
2024-10-18,40
2024-10-19,63
2024-10-20,74
2024-10-21,45
2024-10-22,43
2024-10-23,37
2024-10-24,36
2024-10-25,38
2024-10-26,70
2024-10-27,74
2024-10-28,40
2024-10-29,44
2024-10-30,37
2024-10-31,41
2024-11-01,34
2024-11-02,54
2024-11-03,65
2024-11-04,39
2024-11-05,40
2024-11-06,21
2024-11-07,31
2024-11-08,34
2024-11-09,50
2024-11-10,69
2024-11-11,38
2024-11-12,34
2024-11-13,30
2024-11-14,31
2024-11-15,33
2024-11-16,56
2024-11-17,66
2024-11-18,39
2024-11-19,36
2024-11-20,31
2024-11-21,29
2024-11-22,35
2024-11-23,52
2024-11-24,63
2024-11-25,38
2024-11-26,37
2024-11-27,33
2024-11-28,45
2024-11-29,46
2024-11-30,56
2024-12-01,62
2024-12-02,37
2024-12-03,37
2024-12-04,34
2024-12-05,31
2024-12-06,35
2024-12-07,49
2024-12-08,69
2024-12-09,38
2024-12-10,38
2024-12-11,28
2024-12-12,30
2024-12-13,31
2024-12-14,40
2024-12-15,57
2024-12-16,36
2024-12-17,35
2024-12-18,30
2024-12-19,29
2024-12-20,38
2024-12-21,57
2024-12-22,62
2024-12-23,38
2024-12-24,38
2024-12-25,44
2024-12-26,35
2024-12-27,35
2024-12-28,45
2024-12-29,55
2024-12-30,41
2024-12-31,53
2025-01-01,70
2025-01-02,51
2025-01-03,38
2025-01-04,41
2025-01-05,57
2025-01-06,40
2025-01-07,29
2025-01-08,28
2025-01-09,30
2025-01-10,43
2025-01-11,54
2025-01-12,57
2025-01-13,37
2025-01-14,35
2025-01-15,28
2025-01-16,25
2025-01-17,26
2025-01-18,45
2025-01-19,55
2025-01-20,39
2025-01-21,42
2025-01-22,27
2025-01-23,27
2025-01-24,26
2025-01-25,30
2025-01-26,43
2025-01-27,31
2025-01-28,24
2025-01-29,24
2025-01-30,23
2025-01-31,23
2025-02-01,28
2025-02-02,40
2025-02-03,25
2025-02-04,25
2025-02-05,28
2025-02-06,33
2025-02-07,29
2025-02-08,33
2025-02-09,40
2025-02-10,37
2025-02-11,26
2025-02-12,24
2025-02-13,26
2025-02-14,26
2025-02-15,29
2025-02-16,30
2025-02-17,23
2025-02-18,21
2025-02-19,22
2025-02-20,23
2025-02-21,32
2025-02-22,28
2025-02-23,32
2025-02-24,22
2025-02-25,25
2025-02-26,27
2025-02-27,24
2025-02-28,25
2025-03-01,32
2025-03-02,32
2025-03-03,23
2025-03-04,24
2025-03-05,27
2025-03-06,27
2025-03-07,28
2025-03-08,33
2025-03-09,44
2025-03-10,30
2025-03-11,32
2025-03-12,32
2025-03-13,38
2025-03-14,36
2025-03-15,38
2025-03-16,49
2025-03-17,47
2025-03-18,43
2025-03-19,48
2025-03-20,80
2025-03-21,65
2025-03-22,56
2025-03-23,54
2025-03-24,41
2025-03-25,29
2025-03-26,26
2025-03-27,38
2025-03-28,45
2025-03-29,47
2025-03-30,54
2025-03-31,30
2025-04-01,30
2025-04-02,30
2025-04-03,28
2025-04-04,29
2025-04-05,40
2025-04-06,51
2025-04-07,27
2025-04-08,35
2025-04-09,29
2025-04-10,31
2025-04-11,29
2025-04-12,34
2025-04-13,40
2025-04-14,25
2025-04-15,25
2025-04-16,29
2025-04-17,27
2025-04-18,24
2025-04-19,38
2025-04-20,40
2025-04-21,28
2025-04-22,30
2025-04-23,32
2025-04-24,35
2025-04-25,55
2025-04-26,74
2025-04-27,43
2025-04-28,26
2025-04-29,28
2025-04-30,29
2025-05-01,30
2025-05-02,28
2025-05-03,35
2025-05-04,35
2025-05-05,27
2025-05-06,29
2025-05-07,30
2025-05-08,29
2025-05-09,27
2025-05-10,38
2025-05-11,39
2025-05-12,28
2025-05-13,35
2025-05-14,30
