Time,espn
2023-12-22,46
2023-12-23,55
2023-12-24,73
2023-12-25,70
2023-12-26,57
2023-12-27,40
2023-12-28,45
2023-12-29,55
2023-12-30,66
2023-12-31,89
2024-01-01,84
2024-01-02,74
2024-01-03,41
2024-01-04,35
2024-01-05,36
2024-01-06,52
2024-01-07,79
2024-01-08,57
2024-01-09,64
2024-01-10,41
2024-01-11,44
2024-01-12,43
2024-01-13,59
2024-01-14,78
2024-01-15,65
2024-01-16,55
2024-01-17,37
2024-01-18,36
2024-01-19,34
2024-01-20,61
2024-01-21,85
2024-01-22,44
2024-01-23,34
2024-01-24,36
2024-01-25,36
2024-01-26,34
2024-01-27,41
2024-01-28,54
2024-01-29,41
2024-01-30,28
2024-01-31,28
2024-02-01,28
2024-02-02,27
2024-02-03,33
2024-02-04,39
2024-02-05,25
2024-02-06,25
2024-02-07,29
2024-02-08,32
2024-02-09,31
2024-02-10,37
2024-02-11,44
2024-02-12,43
2024-02-13,26
2024-02-14,28
2024-02-15,30
2024-02-16,28
2024-02-17,33
2024-02-18,34
2024-02-19,26
2024-02-20,23
2024-02-21,25
2024-02-22,24
2024-02-23,27
2024-02-24,33
2024-02-25,37
2024-02-26,25
2024-02-27,25
2024-02-28,29
2024-02-29,27
2024-03-01,27
2024-03-02,37
2024-03-03,38
2024-03-04,28
2024-03-05,28
2024-03-06,29
2024-03-07,29
2024-03-08,31
2024-03-09,40
2024-03-10,48
2024-03-11,36
2024-03-12,36
2024-03-13,35
2024-03-14,38
2024-03-15,40
2024-03-16,44
2024-03-17,54
2024-03-18,51
2024-03-19,50
2024-03-20,53
2024-03-21,92
2024-03-22,76
2024-03-23,69
2024-03-24,66
2024-03-25,49
2024-03-26,36
2024-03-27,31
2024-03-28,43
2024-03-29,53
2024-03-30,62
2024-03-31,65
2024-04-01,47
2024-04-02,48
2024-04-03,37
2024-04-04,33
2024-04-05,38
2024-04-06,59
2024-04-07,63
2024-04-08,32
2024-04-09,44
2024-04-10,33
2024-04-11,38
2024-04-12,36
2024-04-13,45
2024-04-14,47
2024-04-15,29
2024-04-16,32
2024-04-17,37
2024-04-18,30
2024-04-19,27
2024-04-20,45
2024-04-21,53
2024-04-22,30
2024-04-23,34
2024-04-24,36
2024-04-25,39
2024-04-26,57
2024-04-27,64
2024-04-28,47
2024-04-29,30
2024-04-30,34
2024-05-01,33
2024-05-02,32
2024-05-03,33
2024-05-04,42
2024-05-05,46
2024-05-06,26
2024-05-07,32
2024-05-08,33
2024-05-09,31
2024-05-10,33
2024-05-11,43
2024-05-12,42
2024-05-13,30
2024-05-14,32
2024-05-15,36
2024-05-16,38
2024-05-17,45
2024-05-18,46
2024-05-19,51
2024-05-20,30
2024-05-21,28
2024-05-22,34
2024-05-23,34
2024-05-24,30
2024-05-25,42
2024-05-26,43
2024-05-27,36
2024-05-28,29
2024-05-29,33
2024-05-30,28
2024-05-31,34
2024-06-01,39
2024-06-02,42
2024-06-03,29
2024-06-04,26
2024-06-05,26
2024-06-06,29
2024-06-07,37
2024-06-08,34
2024-06-09,41
2024-06-10,33
2024-06-11,26
2024-06-12,28
2024-06-13,37
2024-06-14,30
2024-06-15,39
2024-06-16,38
2024-06-17,31
2024-06-18,34
2024-06-19,33
2024-06-20,28
2024-06-21,25
2024-06-22,33
2024-06-23,39
2024-06-24,26
2024-06-25,32
2024-06-26,29
2024-06-27,39
2024-06-28,27
2024-06-29,32
2024-06-30,36
2024-07-01,29
2024-07-02,26
2024-07-03,28
2024-07-04,30
2024-07-05,28
2024-07-06,36
2024-07-07,33
2024-07-08,24
2024-07-09,26
2024-07-10,29
2024-07-11,29
2024-07-12,26
2024-07-13,30
2024-07-14,34
2024-07-15,24
2024-07-16,23
2024-07-17,24
2024-07-18,25
2024-07-19,25
2024-07-20,30
2024-07-21,32
2024-07-22,22
2024-07-23,23
2024-07-24,25
2024-07-25,26
2024-07-26,23
2024-07-27,29
2024-07-28,35
2024-07-29,25
2024-07-30,31
2024-07-31,33
2024-08-01,26
2024-08-02,30
2024-08-03,33
2024-08-04,34
2024-08-05,25
2024-08-06,29
2024-08-07,29
2024-08-08,35
2024-08-09,31
2024-08-10,41
2024-08-11,39
2024-08-12,26
2024-08-13,28
2024-08-14,29
2024-08-15,34
2024-08-16,32
2024-08-17,39
2024-08-18,45
2024-08-19,30
2024-08-20,31
2024-08-21,33
2024-08-22,35
2024-08-23,35
2024-08-24,58
2024-08-25,59
2024-08-26,43
2024-08-27,44
2024-08-28,44
2024-08-29,48
2024-08-30,58
2024-08-31,86
2024-09-01,81
2024-09-02,74
2024-09-03,62
2024-09-04,56
2024-09-05,58
2024-09-06,53
2024-09-07,96
2024-09-08,100
2024-09-09,53
2024-09-10,52
2024-09-11,37
2024-09-12,46
2024-09-13,49
2024-09-14,74
2024-09-15,89
2024-09-16,46
