Time,espn
2022-01-01,63
2022-01-02,66
2022-01-03,42
2022-01-04,43
2022-01-05,32
2022-01-06,26
2022-01-07,31
2022-01-08,45
2022-01-09,64
2022-01-10,52
2022-01-11,59
2022-01-12,32
2022-01-13,33
2022-01-14,24
2022-01-15,46
2022-01-16,60
2022-01-17,43
2022-01-18,36
2022-01-19,28
2022-01-20,29
2022-01-21,28
2022-01-22,47
2022-01-23,70
2022-01-24,48
2022-01-25,25
2022-01-26,26
2022-01-27,28
2022-01-28,30
2022-01-29,45
2022-01-30,61
2022-01-31,40
2022-02-01,28
2022-02-02,32
2022-02-03,30
2022-02-04,28
2022-02-05,34
2022-02-06,39
2022-02-07,27
2022-02-08,27
2022-02-09,32
2022-02-10,31
2022-02-11,31
2022-02-12,37
2022-02-13,44
2022-02-14,36
2022-02-15,26
2022-02-16,27
2022-02-17,29
2022-02-18,26
2022-02-19,32
2022-02-20,30
2022-02-21,26
2022-02-22,22
2022-02-23,22
2022-02-24,23
2022-02-25,24
2022-02-26,33
2022-02-27,37
2022-02-28,24
2022-03-01,24
2022-03-02,26
2022-03-03,25
2022-03-04,26
2022-03-05,36
2022-03-06,43
2022-03-07,26
2022-03-08,32
2022-03-09,32
2022-03-10,38
2022-03-11,37
2022-03-12,43
2022-03-13,49
2022-03-14,49
2022-03-15,41
2022-03-16,46
2022-03-17,76
2022-03-18,71
2022-03-19,67
2022-03-20,64
2022-03-21,46
2022-03-22,30
2022-03-23,30
2022-03-24,35
2022-03-25,43
2022-03-26,50
2022-03-27,54
2022-03-28,29
2022-03-29,28
2022-03-30,27
2022-03-31,27
2022-04-01,30
2022-04-02,40
2022-04-03,44
2022-04-04,29
2022-04-05,35
2022-04-06,28
2022-04-07,39
2022-04-08,41
2022-04-09,45
2022-04-10,45
2022-04-11,30
2022-04-12,28
2022-04-13,31
2022-04-14,29
2022-04-15,28
2022-04-16,44
2022-04-17,46
2022-04-18,28
2022-04-19,30
2022-04-20,31
2022-04-21,33
2022-04-22,31
2022-04-23,44
2022-04-24,46
2022-04-25,27
2022-04-26,30
2022-04-27,31
2022-04-28,35
2022-04-29,52
2022-04-30,58
2022-05-01,43
2022-05-02,26
2022-05-03,30
2022-05-04,32
2022-05-05,29
2022-05-06,29
2022-05-07,43
2022-05-08,53
2022-05-09,27
2022-05-10,30
2022-05-11,32
2022-05-12,34
2022-05-13,34
2022-05-14,48
2022-05-15,46
2022-05-16,30
2022-05-17,26
2022-05-18,33
2022-05-19,39
2022-05-20,35
2022-05-21,44
2022-05-22,47
2022-05-23,29
2022-05-24,29
2022-05-25,32
2022-05-26,31
2022-05-27,32
2022-05-28,43
2022-05-29,40
2022-05-30,40
2022-05-31,26
2022-06-01,27
2022-06-02,29
2022-06-03,40
2022-06-04,35
2022-06-05,43
2022-06-06,34
2022-06-07,26
2022-06-08,26
2022-06-09,36
2022-06-10,28
2022-06-11,42
2022-06-12,40
2022-06-13,25
2022-06-14,33
2022-06-15,24
2022-06-16,28
2022-06-17,38
2022-06-18,31
2022-06-19,32
2022-06-20,22
2022-06-21,26
2022-06-22,27
2022-06-23,32
2022-06-24,31
2022-06-25,30
2022-06-26,33
2022-06-27,26
2022-06-28,24
2022-06-29,26
2022-06-30,29
2022-07-01,30
2022-07-02,34
2022-07-03,37
2022-07-04,28
2022-07-05,26
2022-07-06,28
2022-07-07,26
2022-07-08,27
2022-07-09,31
2022-07-10,35
2022-07-11,24
2022-07-12,24
2022-07-13,28
2022-07-14,28
2022-07-15,27
2022-07-16,31
2022-07-17,33
2022-07-18,22
2022-07-19,25
2022-07-20,22
2022-07-21,22
2022-07-22,23
2022-07-23,30
2022-07-24,32
2022-07-25,22
2022-07-26,25
2022-07-27,27
2022-07-28,24
2022-07-29,24
2022-07-30,30
2022-07-31,35
2022-08-01,26
2022-08-02,32
2022-08-03,28
2022-08-04,28
2022-08-05,29
2022-08-06,33
2022-08-07,35
2022-08-08,24
2022-08-09,26
2022-08-10,32
2022-08-11,31
2022-08-12,29
2022-08-13,39
2022-08-14,41
2022-08-15,27
2022-08-16,26
2022-08-17,31
2022-08-18,33
2022-08-19,32
2022-08-20,42
2022-08-21,48
2022-08-22,32
2022-08-23,32
2022-08-24,31
2022-08-25,32
2022-08-26,33
2022-08-27,51
2022-08-28,64
2022-08-29,37
2022-08-30,41
2022-08-31,39
2022-09-01,49
2022-09-02,49
2022-09-03,89
2022-09-04,77
2022-09-05,56
2022-09-06,51
2022-09-07,50
2022-09-08,46
2022-09-09,43
2022-09-10,83
2022-09-11,100
2022-09-12,48
2022-09-13,45
2022-09-14,35
2022-09-15,34
2022-09-16,39
2022-09-17,73
2022-09-18,96
2022-09-19,46
2022-09-20,43
2022-09-21,32
2022-09-22,36
2022-09-23,40
2022-09-24,74
2022-09-25,85
2022-09-26,41
2022-09-27,39
