Time,chase
2022-01-01,54.0
2022-01-02,69.0
2022-01-03,92.0
2022-01-04,91.0
2022-01-05,76.0
2022-01-06,63.0
2022-01-07,77.0
2022-01-08,71.0
2022-01-09,55.0
2022-01-10,71.0
2022-01-11,78.0
2022-01-12,72.0
2022-01-13,80.0
2022-01-14,68.0
2022-01-15,74.0
2022-01-16,51.0
2022-01-17,60.0
2022-01-18,64.0
2022-01-19,68.0
2022-01-20,66.0
2022-01-21,75.0
2022-01-22,70.0
2022-01-23,55.0
2022-01-24,80.0
2022-01-25,64.0
2022-01-26,62.0
2022-01-27,67.0
2022-01-28,77.0
2022-01-29,66.0
2022-01-30,62.0
2022-01-31,78.0
2022-02-01,83.0
2022-02-02,75.0
2022-02-03,74.0
2022-02-04,78.0
2022-02-05,68.0
2022-02-06,52.0
2022-02-07,71.0
2022-02-08,74.0
2022-02-09,71.0
2022-02-10,63.0
2022-02-11,78.0
2022-02-12,74.0
2022-02-13,71.0
2022-02-14,79.0
2022-02-15,81.0
2022-02-16,76.0
2022-02-17,74.0
2022-02-18,79.0
2022-02-19,71.0
2022-02-20,61.0
2022-02-21,70.0
2022-02-22,74.0
2022-02-23,75.0
2022-02-24,71.0
2022-02-25,76.0
2022-02-26,69.0
2022-02-27,55.0
2022-02-28,77.0
2022-03-01,83.0
2022-03-02,79.0
2022-03-03,76.0
2022-03-04,78.0
2022-03-05,73.0
2022-03-06,54.0
2022-03-07,75.0
2022-03-08,69.0
2022-03-09,75.0
2022-03-10,67.0
2022-03-11,75.0
2022-03-12,69.0
2022-03-13,59.0
2022-03-14,75.0
2022-03-15,78.0
2022-03-16,74.0
2022-03-17,72.0
2022-03-18,70.0
2022-03-19,65.0
2022-03-20,55.0
2022-03-21,75.0
2022-03-22,70.0
2022-03-23,71.0
2022-03-24,71.0
2022-03-25,71.0
2022-03-26,65.0
2022-03-27,56.0
2022-03-28,64.0
2022-03-29,68.0
2022-03-30,68.0
2022-03-31,69.0
2022-04-01,81.0
2022-04-02,71.0
2022-04-03,58.0
2022-04-04,71.0
2022-04-05,72.0
2022-04-06,69.0
2022-04-07,65.0
2022-04-08,70.0
2022-04-09,68.0
2022-04-10,55.0
2022-04-11,69.0
2022-04-12,69.0
2022-04-13,75.0
2022-04-14,74.0
2022-04-15,82.0
2022-04-16,68.0
2022-04-17,53.0
2022-04-18,80.0
2022-04-19,72.0
2022-04-20,68.0
2022-04-21,68.0
2022-04-22,73.0
2022-04-23,64.0
2022-04-24,54.0
2022-04-25,66.0
2022-04-26,66.0
2022-04-27,66.0
2022-04-28,66.0
2022-04-29,71.0
2022-04-30,70.0
2022-05-01,57.0
2022-05-02,74.0
2022-05-03,68.0
2022-05-04,70.0
2022-05-05,71.0
2022-05-06,74.0
2022-05-07,69.0
2022-05-08,51.0
2022-05-09,70.0
2022-05-10,71.0
