Time,florida_gators
2022-01-01,6.0
2022-01-02,5.0
2022-01-03,5.0
2022-01-04,5.0
2022-01-05,5.0
2022-01-06,4.0
2022-01-07,5.0
2022-01-08,5.0
2022-01-09,6.0
2022-01-10,4.0
2022-01-11,6.0
2022-01-12,5.0
2022-01-13,7.0
2022-01-14,4.0
2022-01-15,6.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,5.0
2022-01-19,4.0
2022-01-20,5.0
2022-01-21,5.0
2022-01-22,6.0
2022-01-23,5.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,5.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,7.0
2022-01-30,5.0
2022-01-31,5.0
2022-02-01,6.0
2022-02-02,10.0
2022-02-03,6.0
2022-02-04,4.0
2022-02-05,5.0
2022-02-06,4.0
2022-02-07,3.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,4.0
2022-02-11,4.0
2022-02-12,5.0
2022-02-13,4.0
2022-02-14,3.0
2022-02-15,3.0
2022-02-16,4.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,7.0
2022-02-20,5.0
2022-02-21,3.0
2022-02-22,3.0
2022-02-23,5.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,5.0
2022-02-27,4.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,4.0
2022-03-03,4.0
2022-03-04,3.0
2022-03-05,6.0
2022-03-06,4.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,5.0
2022-03-11,3.0
2022-03-12,4.0
2022-03-13,5.0
2022-03-14,5.0
2022-03-15,4.0
2022-03-16,3.0
2022-03-17,5.0
2022-03-18,5.0
2022-03-19,5.0
2022-03-20,7.0
2022-03-21,3.0
2022-03-22,3.0
2022-03-23,3.0
2022-03-24,3.0
2022-03-25,3.0
2022-03-26,3.0
2022-03-27,4.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,3.0
2022-03-31,3.0
2022-04-01,4.0
2022-04-02,4.0
2022-04-03,3.0
2022-04-04,3.0
2022-04-05,3.0
2022-04-06,3.0
2022-04-07,3.0
2022-04-08,3.0
2022-04-09,4.0
2022-04-10,4.0
2022-04-11,3.0
2022-04-12,3.0
2022-04-13,3.0
2022-04-14,4.0
2022-04-15,5.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,3.0
2022-04-19,3.0
2022-04-20,3.0
2022-04-21,3.0
2022-04-22,3.0
2022-04-23,4.0
2022-04-24,4.0
2022-04-25,3.0
2022-04-26,3.0
2022-04-27,3.0
2022-04-28,3.0
