Time,jurassic world dominion
2022-08-29,27
2022-08-30,25
2022-08-31,24
2022-09-01,22
2022-09-02,50
2022-09-03,100
2022-09-04,94
2022-09-05,86
2022-09-06,47
2022-09-07,34
2022-09-08,29
2022-09-09,31
2022-09-10,55
2022-09-11,57
2022-09-12,30
2022-09-13,22
2022-09-14,24
2022-09-15,21
2022-09-16,23
2022-09-17,40
2022-09-18,50
2022-09-19,25
2022-09-20,18
2022-09-21,18
2022-09-22,19
2022-09-23,20
2022-09-24,37
2022-09-25,38
2022-09-26,22
2022-09-27,15
2022-09-28,16
2022-09-29,14
2022-09-30,18
2022-10-01,25
2022-10-02,27
2022-10-03,15
2022-10-04,11
2022-10-05,10
2022-10-06,12
2022-10-07,14
2022-10-08,23
2022-10-09,26
2022-10-10,16
2022-10-11,12
2022-10-12,13
2022-10-13,11
2022-10-14,14
2022-10-15,18
2022-10-16,20
2022-10-17,13
2022-10-18,10
2022-10-19,11
2022-10-20,9
2022-10-21,12
2022-10-22,18
2022-10-23,19
2022-10-24,10
2022-10-25,10
2022-10-26,9
2022-10-27,10
2022-10-28,10
2022-10-29,14
2022-10-30,17
2022-10-31,13
2022-11-01,12
2022-11-02,9
2022-11-03,11
2022-11-04,12
2022-11-05,16
2022-11-06,18
2022-11-07,13
2022-11-08,9
2022-11-09,9
2022-11-10,9
2022-11-11,11
2022-11-12,17
2022-11-13,19
2022-11-14,13
2022-11-15,9
2022-11-16,9
2022-11-17,10
2022-11-18,11
2022-11-19,16
2022-11-20,17
2022-11-21,14
2022-11-22,9
2022-11-23,13
2022-11-24,18
2022-11-25,19
2022-11-26,20
2022-11-27,20
2022-11-28,12
2022-11-29,11
2022-11-30,10
2022-12-01,8
2022-12-02,12
2022-12-03,15
2022-12-04,16
2022-12-05,12
2022-12-06,9
2022-12-07,10
2022-12-08,9
2022-12-09,9
2022-12-10,15
2022-12-11,18
2022-12-12,9
2022-12-13,10
2022-12-14,9
2022-12-15,9
2022-12-16,11
2022-12-17,13
2022-12-18,14
2022-12-19,12
2022-12-20,11
2022-12-21,11
2022-12-22,12
2022-12-23,13
2022-12-24,16
2022-12-25,20
2022-12-26,20
2022-12-27,18
2022-12-28,15
2022-12-29,17
2022-12-30,16
2022-12-31,17
2023-01-01,19
2023-01-02,21
2023-01-03,14
2023-01-04,9
2023-01-05,14
2023-01-06,25
2023-01-07,76
2023-01-08,76
2023-01-09,35
2023-01-10,27
2023-01-11,25
2023-01-12,20
2023-01-13,20
2023-01-14,37
2023-01-15,37
2023-01-16,30
2023-01-17,16
2023-01-18,14
2023-01-19,14
2023-01-20,13
2023-01-21,27
2023-01-22,26
2023-01-23,16
2023-01-24,13
2023-01-25,12
2023-01-26,13
2023-01-27,10
2023-01-28,19
2023-01-29,22
2023-01-30,13
2023-01-31,10
2023-02-01,10
2023-02-02,8
2023-02-03,10
2023-02-04,15
2023-02-05,17
2023-02-06,8
2023-02-07,6
2023-02-08,6
2023-02-09,6
2023-02-10,8
2023-02-11,16
2023-02-12,13
2023-02-13,5
2023-02-14,7
2023-02-15,6
2023-02-16,7
2023-02-17,8
2023-02-18,12
2023-02-19,15
2023-02-20,12
2023-02-21,7
2023-02-22,8
2023-02-23,6
2023-02-24,7
2023-02-25,12
2023-02-26,14
2023-02-27,7
2023-02-28,7
2023-03-01,6
2023-03-02,5
2023-03-03,6
2023-03-04,11
2023-03-05,15
2023-03-06,9
2023-03-07,6
2023-03-08,6
2023-03-09,6
2023-03-10,7
2023-03-11,9
2023-03-12,12
2023-03-13,6
2023-03-14,6
2023-03-15,7
2023-03-16,7
2023-03-17,6
2023-03-18,9
2023-03-19,13
2023-03-20,7
2023-03-21,5
2023-03-22,4
2023-03-23,5
2023-03-24,7
2023-03-25,11
2023-03-26,15
2023-03-27,7
2023-03-28,6
2023-03-29,5
2023-03-30,4
2023-03-31,5
2023-04-01,8
2023-04-02,8
2023-04-03,5
2023-04-04,6
2023-04-05,4
2023-04-06,5
2023-04-07,7
2023-04-08,10
2023-04-09,13
2023-04-10,10
2023-04-11,5
2023-04-12,6
2023-04-13,5
2023-04-14,7
2023-04-15,6
2023-04-16,11
2023-04-17,6
2023-04-18,4
2023-04-19,5
2023-04-20,5
2023-04-21,7
2023-04-22,7
2023-04-23,10
2023-04-24,7
2023-04-25,5
2023-04-26,5
2023-04-27,5
2023-04-28,5
2023-04-29,7
2023-04-30,9
2023-05-01,5
2023-05-02,4
2023-05-03,4
2023-05-04,4
2023-05-05,4
2023-05-06,7
2023-05-07,8
2023-05-08,5
2023-05-09,4
2023-05-10,5
2023-05-11,5
2023-05-12,5
2023-05-13,7
2023-05-14,8
2023-05-15,8
2023-05-16,5
2023-05-17,5
2023-05-18,5
2023-05-19,4
2023-05-20,7
2023-05-21,8
2023-05-22,5
2023-05-23,4
2023-05-24,5
2023-05-25,5
