Time,priceline
2023-04-26,75
2023-04-27,75
2023-04-28,72
2023-04-29,71
2023-04-30,72
2023-05-01,74
2023-05-02,76
2023-05-03,73
2023-05-04,72
2023-05-05,69
2023-05-06,72
2023-05-07,70
2023-05-08,72
2023-05-09,77
2023-05-10,76
2023-05-11,75
2023-05-12,80
2023-05-13,73
2023-05-14,66
2023-05-15,76
2023-05-16,82
2023-05-17,80
2023-05-18,83
2023-05-19,82
2023-05-20,79
2023-05-21,77
2023-05-22,78
2023-05-23,81
2023-05-24,83
2023-05-25,85
2023-05-26,82
2023-05-27,83
2023-05-28,74
2023-05-29,75
2023-05-30,79
2023-05-31,83
2023-06-01,82
2023-06-02,83
2023-06-03,81
2023-06-04,78
2023-06-05,82
2023-06-06,82
2023-06-07,85
2023-06-08,87
2023-06-09,86
2023-06-10,84
2023-06-11,83
2023-06-12,87
2023-06-13,88
2023-06-14,94
2023-06-15,97
2023-06-16,89
2023-06-17,87
2023-06-18,79
2023-06-19,90
2023-06-20,92
2023-06-21,87
2023-06-22,100
2023-06-23,91
2023-06-24,87
2023-06-25,84
2023-06-26,85
2023-06-27,90
2023-06-28,90
2023-06-29,93
2023-06-30,96
2023-07-01,92
2023-07-02,83
2023-07-03,78
2023-07-04,78
2023-07-05,79
2023-07-06,86
2023-07-07,88
2023-07-08,80
2023-07-09,78
2023-07-10,80
2023-07-11,85
2023-07-12,88
2023-07-13,85
2023-07-14,93
2023-07-15,81
2023-07-16,83
2023-07-17,83
2023-07-18,83
2023-07-19,88
2023-07-20,85
2023-07-21,86
2023-07-22,82
2023-07-23,75
2023-07-24,79
2023-07-25,84
2023-07-26,79
2023-07-27,75
2023-07-28,82
2023-07-29,81
2023-07-30,78
2023-07-31,72
2023-08-01,78
2023-08-02,79
2023-08-03,79
2023-08-04,80
2023-08-05,71
2023-08-06,71
2023-08-07,74
2023-08-08,74
2023-08-09,75
2023-08-10,72
2023-08-11,79
2023-08-12,67
2023-08-13,69
2023-08-14,70
2023-08-15,71
2023-08-16,74
2023-08-17,70
2023-08-18,73
2023-08-19,72
2023-08-20,67
2023-08-21,67
2023-08-22,73
2023-08-23,69
2023-08-24,65
2023-08-25,65
2023-08-26,60
2023-08-27,65
2023-08-28,65
2023-08-29,69
2023-08-30,65
2023-08-31,70
2023-09-01,71
2023-09-02,67
2023-09-03,62
2023-09-04,63
2023-09-05,62
2023-09-06,61
2023-09-07,61
2023-09-08,65
2023-09-09,64
2023-09-10,61
2023-09-11,62
2023-09-12,61
2023-09-13,64
2023-09-14,65
2023-09-15,62
2023-09-16,62
2023-09-17,59
2023-09-18,61
2023-09-19,66
2023-09-20,64
2023-09-21,69
2023-09-22,64
2023-09-23,64
2023-09-24,58
2023-09-25,59
2023-09-26,63
2023-09-27,64
2023-09-28,62
2023-09-29,64
2023-09-30,62
2023-10-01,62
2023-10-02,64
2023-10-03,63
2023-10-04,66
2023-10-05,63
2023-10-06,64
2023-10-07,62
2023-10-08,56
2023-10-09,58
2023-10-10,58
2023-10-11,61
2023-10-12,61
2023-10-13,59
2023-10-14,56
2023-10-15,56
2023-10-16,55
2023-10-17,61
2023-10-18,59
2023-10-19,58
2023-10-20,59
2023-10-21,58
2023-10-22,58
2023-10-23,53
2023-10-24,52
2023-10-25,58
2023-10-26,52
2023-10-27,54
2023-10-28,52
2023-10-29,49
2023-10-30,50
2023-10-31,50
2023-11-01,53
2023-11-02,59
2023-11-03,56
2023-11-04,57
2023-11-05,55
2023-11-06,57
2023-11-07,58
2023-11-08,56
2023-11-09,60
2023-11-10,59
2023-11-11,56
2023-11-12,51
2023-11-13,52
2023-11-14,54
2023-11-15,55
2023-11-16,56
2023-11-17,55
2023-11-18,55
2023-11-19,53
2023-11-20,56
2023-11-21,56
2023-11-22,54
2023-11-23,48
2023-11-24,59
2023-11-25,55
2023-11-26,53
2023-11-27,58
2023-11-28,68
2023-11-29,60
2023-11-30,54
2023-12-01,51
2023-12-02,55
2023-12-03,54
2023-12-04,50
2023-12-05,56
2023-12-06,57
2023-12-07,54
2023-12-08,56
2023-12-09,52
2023-12-10,53
2023-12-11,51
2023-12-12,53
2023-12-13,52
2023-12-14,52
2023-12-15,51
2023-12-16,50
2023-12-17,47
2023-12-18,46
2023-12-19,52
2023-12-20,51
2023-12-21,48
2023-12-22,51
2023-12-23,52
2023-12-24,46
2023-12-25,46
2023-12-26,59
2023-12-27,64
2023-12-28,65
2023-12-29,64
2023-12-30,60
2023-12-31,54
2024-01-01,50
2024-01-02,58
2024-01-03,65
2024-01-04,63
2024-01-05,60
2024-01-06,58
2024-01-07,60
2024-01-08,58
2024-01-09,60
2024-01-10,65
2024-01-11,56
2024-01-12,60
2024-01-13,57
2024-01-14,56
2024-01-15,55
2024-01-16,55
2024-01-17,58
2024-01-18,56
2024-01-19,58
2024-01-20,60
