Time,priceline
2023-12-22,68
2023-12-23,68
2023-12-24,61
2023-12-25,61
2023-12-26,78
2023-12-27,84
2023-12-28,85
2023-12-29,85
2023-12-30,79
2023-12-31,71
2024-01-01,66
2024-01-02,76
2024-01-03,86
2024-01-04,83
2024-01-05,79
2024-01-06,76
2024-01-07,79
2024-01-08,77
2024-01-09,80
2024-01-10,86
2024-01-11,74
2024-01-12,79
2024-01-13,76
2024-01-14,73
2024-01-15,72
2024-01-16,72
2024-01-17,77
2024-01-18,74
2024-01-19,77
2024-01-20,79
2024-01-21,76
2024-01-22,69
2024-01-23,73
2024-01-24,76
2024-01-25,73
2024-01-26,71
2024-01-27,73
2024-01-28,78
2024-01-29,72
2024-01-30,80
2024-01-31,75
2024-02-01,76
2024-02-02,73
2024-02-03,79
2024-02-04,79
2024-02-05,74
2024-02-06,73
2024-02-07,72
2024-02-08,71
2024-02-09,77
2024-02-10,80
2024-02-11,68
2024-02-12,63
2024-02-13,77
2024-02-14,74
2024-02-15,82
2024-02-16,86
2024-02-17,84
2024-02-18,84
2024-02-19,83
2024-02-20,81
2024-02-21,80
2024-02-22,83
2024-02-23,85
2024-02-24,83
2024-02-25,82
2024-02-26,80
2024-02-27,84
2024-02-28,82
2024-02-29,78
2024-03-01,82
2024-03-02,81
2024-03-03,84
2024-03-04,80
2024-03-05,80
2024-03-06,87
2024-03-07,82
2024-03-08,85
2024-03-09,85
2024-03-10,85
2024-03-11,82
2024-03-12,87
2024-03-13,90
2024-03-14,88
2024-03-15,84
2024-03-16,82
2024-03-17,83
2024-03-18,77
2024-03-19,86
2024-03-20,82
2024-03-21,81
2024-03-22,79
2024-03-23,83
2024-03-24,79
2024-03-25,75
2024-03-26,76
2024-03-27,80
2024-03-28,80
2024-03-29,78
2024-03-30,78
2024-03-31,66
2024-04-01,77
2024-04-02,82
2024-04-03,81
2024-04-04,81
2024-04-05,77
2024-04-06,79
2024-04-07,71
2024-04-08,70
2024-04-09,78
2024-04-10,79
2024-04-11,78
2024-04-12,82
2024-04-13,80
2024-04-14,78
2024-04-15,73
2024-04-16,80
2024-04-17,78
2024-04-18,78
2024-04-19,79
2024-04-20,81
2024-04-21,74
2024-04-22,80
2024-04-23,83
2024-04-24,78
2024-04-25,80
2024-04-26,78
2024-04-27,73
2024-04-28,80
2024-04-29,76
2024-04-30,79
2024-05-01,77
2024-05-02,82
2024-05-03,80
2024-05-04,76
2024-05-05,82
2024-05-06,78
2024-05-07,84
2024-05-08,76
2024-05-09,77
2024-05-10,79
2024-05-11,75
2024-05-12,70
2024-05-13,76
2024-05-14,86
2024-05-15,85
2024-05-16,82
2024-05-17,87
2024-05-18,85
2024-05-19,84
2024-05-20,84
2024-05-21,88
2024-05-22,87
2024-05-23,88
2024-05-24,87
2024-05-25,91
2024-05-26,82
2024-05-27,85
2024-05-28,80
2024-05-29,87
2024-05-30,85
2024-05-31,86
2024-06-01,84
2024-06-02,83
2024-06-03,92
2024-06-04,84
2024-06-05,92
2024-06-06,93
2024-06-07,91
2024-06-08,87
2024-06-09,86
2024-06-10,90
2024-06-11,89
2024-06-12,96
2024-06-13,97
2024-06-14,92
2024-06-15,87
2024-06-16,80
2024-06-17,86
2024-06-18,92
2024-06-19,91
2024-06-20,91
2024-06-21,92
2024-06-22,87
2024-06-23,91
2024-06-24,87
2024-06-25,93
2024-06-26,88
2024-06-27,93
2024-06-28,92
2024-06-29,88
2024-06-30,84
2024-07-01,86
2024-07-02,92
2024-07-03,93
2024-07-04,93
2024-07-05,88
2024-07-06,86
2024-07-07,87
2024-07-08,89
2024-07-09,94
2024-07-10,99
2024-07-11,100
2024-07-12,88
2024-07-13,84
2024-07-14,78
2024-07-15,79
2024-07-16,90
2024-07-17,91
2024-07-18,88
2024-07-19,93
2024-07-20,94
2024-07-21,87
2024-07-22,86
2024-07-23,87
2024-07-24,86
2024-07-25,92
2024-07-26,88
2024-07-27,77
2024-07-28,81
2024-07-29,77
2024-07-30,79
2024-07-31,82
2024-08-01,81
2024-08-02,85
2024-08-03,85
2024-08-04,80
2024-08-05,75
2024-08-06,78
2024-08-07,75
2024-08-08,79
2024-08-09,80
2024-08-10,75
2024-08-11,72
2024-08-12,71
2024-08-13,75
2024-08-14,80
2024-08-15,80
2024-08-16,78
2024-08-17,74
2024-08-18,74
2024-08-19,72
2024-08-20,78
2024-08-21,74
2024-08-22,71
2024-08-23,75
2024-08-24,66
2024-08-25,75
2024-08-26,72
2024-08-27,75
2024-08-28,72
2024-08-29,71
2024-08-30,79
2024-08-31,77
2024-09-01,66
2024-09-02,70
2024-09-03,71
2024-09-04,72
2024-09-05,66
2024-09-06,71
2024-09-07,65
2024-09-08,64
2024-09-09,63
2024-09-10,69
2024-09-11,66
2024-09-12,71
2024-09-13,69
2024-09-14,67
2024-09-15,60
2024-09-16,63
