Time,google flights
2024-08-18,80
2024-08-19,79
2024-08-20,77
2024-08-21,70
2024-08-22,74
2024-08-23,71
2024-08-24,66
2024-08-25,76
2024-08-26,76
2024-08-27,75
2024-08-28,73
2024-08-29,70
2024-08-30,67
2024-08-31,57
2024-09-01,64
2024-09-02,78
2024-09-03,73
2024-09-04,73
2024-09-05,70
2024-09-06,65
2024-09-07,62
2024-09-08,65
2024-09-09,70
2024-09-10,74
2024-09-11,68
2024-09-12,67
2024-09-13,60
2024-09-14,51
2024-09-15,55
2024-09-16,66
2024-09-17,63
2024-09-18,65
2024-09-19,60
2024-09-20,55
2024-09-21,50
2024-09-22,53
2024-09-23,61
2024-09-24,64
2024-09-25,64
2024-09-26,57
2024-09-27,51
2024-09-28,51
2024-09-29,57
2024-09-30,56
2024-10-01,60
2024-10-02,62
2024-10-03,61
2024-10-04,55
2024-10-05,51
2024-10-06,58
2024-10-07,64
2024-10-08,57
2024-10-09,56
2024-10-10,55
2024-10-11,55
2024-10-12,52
2024-10-13,57
2024-10-14,68
2024-10-15,76
2024-10-16,71
2024-10-17,69
2024-10-18,67
2024-10-19,63
2024-10-20,68
2024-10-21,73
2024-10-22,77
2024-10-23,72
2024-10-24,68
2024-10-25,61
2024-10-26,49
2024-10-27,58
2024-10-28,61
2024-10-29,58
2024-10-30,62
2024-10-31,52
2024-11-01,51
2024-11-02,49
2024-11-03,58
2024-11-04,60
2024-11-05,55
2024-11-06,38
2024-11-07,55
2024-11-08,61
2024-11-09,55
2024-11-10,57
2024-11-11,66
2024-11-12,64
2024-11-13,65
2024-11-14,59
2024-11-15,52
2024-11-16,46
2024-11-17,56
2024-11-18,62
2024-11-19,63
2024-11-20,60
2024-11-21,56
2024-11-22,52
2024-11-23,46
2024-11-24,50
2024-11-25,51
2024-11-26,56
2024-11-27,55
2024-11-28,48
2024-11-29,56
2024-11-30,55
2024-12-01,62
2024-12-02,70
2024-12-03,100
2024-12-04,77
2024-12-05,59
2024-12-06,53
2024-12-07,48
2024-12-08,52
2024-12-09,57
2024-12-10,62
2024-12-11,59
2024-12-12,53
2024-12-13,50
2024-12-14,50
2024-12-15,51
2024-12-16,54
2024-12-17,59
2024-12-18,56
2024-12-19,56
2024-12-20,54
2024-12-21,49
2024-12-22,52
2024-12-23,50
2024-12-24,49
2024-12-25,53
2024-12-26,67
2024-12-27,67
2024-12-28,62
2024-12-29,69
2024-12-30,66
2024-12-31,64
2025-01-01,63
2025-01-02,75
2025-01-03,75
2025-01-04,74
2025-01-05,76
2025-01-06,74
2025-01-07,80
2025-01-08,76
2025-01-09,74
2025-01-10,69
2025-01-11,66
2025-01-12,74
2025-01-13,72
2025-01-14,74
2025-01-15,77
2025-01-16,74
2025-01-17,67
2025-01-18,60
2025-01-19,63
2025-01-20,67
2025-01-21,77
2025-01-22,67
2025-01-23,66
2025-01-24,61
2025-01-25,62
2025-01-26,67
2025-01-27,64
2025-01-28,70
2025-01-29,71
2025-01-30,63
2025-01-31,58
2025-02-01,58
2025-02-02,63
2025-02-03,64
2025-02-04,73
2025-02-05,67
2025-02-06,63
2025-02-07,58
2025-02-08,56
2025-02-09,59
2025-02-10,56
2025-02-11,65
2025-02-12,65
2025-02-13,60
2025-02-14,54
2025-02-15,58
2025-02-16,70
2025-02-17,70
2025-02-18,71
2025-02-19,68
2025-02-20,63
2025-02-21,61
2025-02-22,57
2025-02-23,65
2025-02-24,69
2025-02-25,66
2025-02-26,65
2025-02-27,65
2025-02-28,67
2025-03-01,53
2025-03-02,62
2025-03-03,65
2025-03-04,70
2025-03-05,67
2025-03-06,65
2025-03-07,60
2025-03-08,62
2025-03-09,64
2025-03-10,64
2025-03-11,67
2025-03-12,66
2025-03-13,62
2025-03-14,55
2025-03-15,54
2025-03-16,67
2025-03-17,59
2025-03-18,68
2025-03-19,65
2025-03-20,61
2025-03-21,56
2025-03-22,49
2025-03-23,61
2025-03-24,59
2025-03-25,60
2025-03-26,63
2025-03-27,58
2025-03-28,54
2025-03-29,51
2025-03-30,59
2025-03-31,62
2025-04-01,62
2025-04-02,59
2025-04-03,58
2025-04-04,54
2025-04-05,53
2025-04-06,63
2025-04-07,57
2025-04-08,63
2025-04-09,58
2025-04-10,56
2025-04-11,54
2025-04-12,47
2025-04-13,52
2025-04-14,59
2025-04-15,62
2025-04-16,62
2025-04-17,55
2025-04-18,48
2025-04-19,45
2025-04-20,49
2025-04-21,57
2025-04-22,57
2025-04-23,58
2025-04-24,53
2025-04-25,45
2025-04-26,44
2025-04-27,50
2025-04-28,59
2025-04-29,59
2025-04-30,54
2025-05-01,63
2025-05-02,57
2025-05-03,55
2025-05-04,73
2025-05-05,71
2025-05-06,72
2025-05-07,75
2025-05-08,67
2025-05-09,64
2025-05-10,59
2025-05-11,68
2025-05-12,76
2025-05-13,75
2025-05-14,80
