Time,google flights
2023-04-26,76
2023-04-27,70
2023-04-28,62
2023-04-29,61
2023-04-30,70
2023-05-01,74
2023-05-02,80
2023-05-03,76
2023-05-04,71
2023-05-05,65
2023-05-06,59
2023-05-07,68
2023-05-08,77
2023-05-09,76
2023-05-10,73
2023-05-11,73
2023-05-12,67
2023-05-13,59
2023-05-14,68
2023-05-15,80
2023-05-16,83
2023-05-17,76
2023-05-18,73
2023-05-19,68
2023-05-20,66
2023-05-21,70
2023-05-22,77
2023-05-23,81
2023-05-24,81
2023-05-25,76
2023-05-26,67
2023-05-27,62
2023-05-28,62
2023-05-29,72
2023-05-30,81
2023-05-31,76
2023-06-01,74
2023-06-02,70
2023-06-03,65
2023-06-04,73
2023-06-05,78
2023-06-06,79
2023-06-07,77
2023-06-08,77
2023-06-09,68
2023-06-10,64
2023-06-11,71
2023-06-12,78
2023-06-13,83
2023-06-14,87
2023-06-15,78
2023-06-16,72
2023-06-17,64
2023-06-18,68
2023-06-19,79
2023-06-20,85
2023-06-21,82
2023-06-22,78
2023-06-23,70
2023-06-24,65
2023-06-25,76
2023-06-26,83
2023-06-27,88
2023-06-28,82
2023-06-29,76
2023-06-30,71
2023-07-01,64
2023-07-02,61
2023-07-03,68
2023-07-04,73
2023-07-05,74
2023-07-06,73
2023-07-07,72
2023-07-08,66
2023-07-09,74
2023-07-10,77
2023-07-11,71
2023-07-12,69
2023-07-13,69
2023-07-14,68
2023-07-15,57
2023-07-16,67
2023-07-17,71
2023-07-18,68
2023-07-19,65
2023-07-20,61
2023-07-21,53
2023-07-22,49
2023-07-23,59
2023-07-24,63
2023-07-25,69
2023-07-26,62
2023-07-27,59
2023-07-28,56
2023-07-29,48
2023-07-30,55
2023-07-31,61
2023-08-01,66
2023-08-02,59
2023-08-03,59
2023-08-04,57
2023-08-05,46
2023-08-06,56
2023-08-07,64
2023-08-08,65
2023-08-09,62
2023-08-10,59
2023-08-11,54
2023-08-12,49
2023-08-13,55
2023-08-14,59
2023-08-15,61
2023-08-16,66
2023-08-17,63
2023-08-18,51
2023-08-19,56
2023-08-20,53
2023-08-21,53
2023-08-22,58
2023-08-23,56
2023-08-24,55
2023-08-25,47
2023-08-26,43
2023-08-27,53
2023-08-28,57
2023-08-29,60
2023-08-30,55
2023-08-31,59
2023-09-01,50
2023-09-02,45
2023-09-03,47
2023-09-04,61
2023-09-05,61
2023-09-06,57
2023-09-07,57
2023-09-08,53
2023-09-09,50
2023-09-10,56
2023-09-11,58
2023-09-12,57
2023-09-13,58
2023-09-14,54
2023-09-15,50
2023-09-16,47
2023-09-17,55
2023-09-18,57
2023-09-19,61
2023-09-20,55
2023-09-21,54
2023-09-22,49
2023-09-23,50
2023-09-24,55
2023-09-25,57
2023-09-26,62
2023-09-27,56
2023-09-28,56
2023-09-29,50
2023-09-30,47
2023-10-01,48
2023-10-02,57
2023-10-03,59
2023-10-04,63
2023-10-05,57
2023-10-06,49
2023-10-07,46
2023-10-08,48
2023-10-09,58
2023-10-10,58
2023-10-11,56
2023-10-12,52
2023-10-13,48
2023-10-14,45
2023-10-15,54
2023-10-16,54
2023-10-17,58
2023-10-18,59
2023-10-19,54
2023-10-20,48
2023-10-21,43
2023-10-22,49
2023-10-23,54
2023-10-24,56
2023-10-25,53
2023-10-26,52
2023-10-27,43
2023-10-28,42
2023-10-29,42
2023-10-30,52
2023-10-31,52
2023-11-01,51
2023-11-02,53
2023-11-03,48
2023-11-04,48
2023-11-05,52
2023-11-06,61
2023-11-07,67
2023-11-08,60
2023-11-09,59
2023-11-10,57
2023-11-11,51
2023-11-12,60
2023-11-13,61
2023-11-14,63
2023-11-15,61
2023-11-16,59
2023-11-17,53
2023-11-18,49
2023-11-19,53
2023-11-20,56
2023-11-21,57
2023-11-22,57
2023-11-23,50
2023-11-24,65
2023-11-25,60
2023-11-26,65
2023-11-27,74
2023-11-28,100
2023-11-29,77
2023-11-30,62
2023-12-01,53
2023-12-02,55
2023-12-03,62
2023-12-04,70
2023-12-05,67
2023-12-06,66
2023-12-07,56
2023-12-08,54
2023-12-09,49
2023-12-10,56
2023-12-11,59
2023-12-12,63
2023-12-13,59
2023-12-14,52
2023-12-15,54
2023-12-16,53
2023-12-17,60
2023-12-18,60
2023-12-19,63
2023-12-20,59
2023-12-21,55
2023-12-22,51
2023-12-23,50
2023-12-24,47
2023-12-25,51
2023-12-26,70
2023-12-27,76
2023-12-28,71
2023-12-29,70
2023-12-30,68
2023-12-31,61
2024-01-01,66
2024-01-02,81
2024-01-03,83
2024-01-04,83
2024-01-05,79
2024-01-06,77
2024-01-07,83
2024-01-08,80
2024-01-09,80
2024-01-10,81
2024-01-11,74
2024-01-12,63
2024-01-13,60
2024-01-14,62
2024-01-15,65
2024-01-16,68
2024-01-17,70
2024-01-18,65
2024-01-19,63
2024-01-20,64
