Time,google flights
2025-12-11,63
2025-12-12,66
2025-12-13,65
2025-12-14,70
2025-12-15,73
2025-12-16,72
2025-12-17,71
2025-12-18,70
2025-12-19,61
2025-12-20,58
2025-12-21,63
2025-12-22,67
2025-12-23,62
2025-12-24,57
2025-12-25,59
2025-12-26,78
2025-12-27,75
2025-12-28,83
2025-12-29,83
2025-12-30,78
2025-12-31,68
2026-01-01,65
2026-01-02,87
2026-01-03,85
2026-01-04,89
2026-01-05,87
2026-01-06,94
2026-01-07,90
2026-01-08,82
2026-01-09,81
2026-01-10,81
2026-01-11,88
2026-01-12,85
2026-01-13,90
2026-01-14,91
2026-01-15,84
2026-01-16,80
2026-01-17,85
2026-01-18,85
2026-01-19,90
2026-01-20,86
2026-01-21,90
2026-01-22,83
2026-01-23,74
2026-01-24,81
2026-01-25,82
2026-01-26,88
2026-01-27,91
2026-01-28,84
2026-01-29,79
2026-01-30,75
2026-01-31,78
2026-02-01,86
2026-02-02,86
2026-02-03,86
2026-02-04,83
2026-02-05,79
2026-02-06,73
2026-02-07,72
2026-02-08,73
2026-02-09,70
2026-02-10,82
2026-02-11,83
2026-02-12,76
2026-02-13,76
2026-02-14,72
2026-02-15,84
2026-02-16,92
2026-02-17,90
2026-02-18,86
2026-02-19,84
2026-02-20,76
2026-02-21,84
2026-02-22,94
2026-02-23,93
2026-02-24,96
2026-02-25,86
2026-02-26,87
2026-02-27,83
2026-02-28,82
2026-03-01,97
2026-03-02,100
2026-03-03,96
2026-03-04,89
2026-03-05,89
2026-03-06,83
2026-03-07,88
2026-03-08,92
2026-03-09,98
2026-03-10,93
2026-03-11,94
2026-03-12,92
2026-03-13,84
2026-03-14,86
2026-03-15,98
2026-03-16,98
2026-03-17,91
2026-03-18,87
2026-03-19,84
2026-03-20,77
2026-03-21,74
2026-03-22,80
2026-03-23,87
2026-03-24,81
2026-03-25,80
2026-03-26,76
2026-03-27,73
2026-03-28,66
2026-03-29,78
2026-03-30,77
2026-03-31,80
2026-04-01,80
2026-04-02,76
2026-04-03,71
2026-04-04,64
2026-04-05,72
2026-04-06,86
2026-04-07,81
2026-04-08,85
2026-04-09,84
2026-04-10,72
2026-04-11,66
2026-04-12,72
2026-04-13,76
2026-04-14,77
2026-04-15,78
2026-04-16,84
2026-04-17,78
2026-04-18,68
2026-04-19,79
2026-04-20,78
2026-04-21,84
2026-04-22,81
2026-04-23,78
2026-04-24,69
2026-04-25,63
2026-04-26,74
2026-04-27,76
2026-04-28,86
2026-04-29,81
2026-04-30,77
2026-05-01,74
2026-05-02,90
2026-05-03,86
2026-05-04,85
2026-05-05,82
2026-05-06,79
2026-05-07,77
2026-05-08,72
2026-05-09,60
2026-05-10,71
2026-05-11,78
2026-05-12,81
2026-05-13,78
2026-05-14,80
2026-05-15,79
2026-05-16,63
2026-05-17,69
2026-05-18,77
2026-05-19,81
2026-05-20,79
2026-05-21,77
2026-05-22,70
2026-05-23,63
2026-05-24,63
2026-05-25,74
2026-05-26,80
2026-05-27,79
2026-05-28,77
2026-05-29,71
2026-05-30,69
2026-05-31,75
