Time,google flights
2022-08-29,65
2022-08-30,69
2022-08-31,67
2022-09-01,63
2022-09-02,60
2022-09-03,46
2022-09-04,50
2022-09-05,72
2022-09-06,70
2022-09-07,70
2022-09-08,63
2022-09-09,61
2022-09-10,48
2022-09-11,54
2022-09-12,69
2022-09-13,69
2022-09-14,72
2022-09-15,66
2022-09-16,61
2022-09-17,50
2022-09-18,57
2022-09-19,68
2022-09-20,73
2022-09-21,69
2022-09-22,65
2022-09-23,59
2022-09-24,51
2022-09-25,54
2022-09-26,70
2022-09-27,70
2022-09-28,64
2022-09-29,57
2022-09-30,55
2022-10-01,49
2022-10-02,55
2022-10-03,67
2022-10-04,73
2022-10-05,68
2022-10-06,68
2022-10-07,62
2022-10-08,51
2022-10-09,55
2022-10-10,72
2022-10-11,72
2022-10-12,67
2022-10-13,65
2022-10-14,61
2022-10-15,47
2022-10-16,54
2022-10-17,66
2022-10-18,68
2022-10-19,68
2022-10-20,75
2022-10-21,58
2022-10-22,47
2022-10-23,55
2022-10-24,67
2022-10-25,69
2022-10-26,66
2022-10-27,62
2022-10-28,55
2022-10-29,48
2022-10-30,52
2022-10-31,64
2022-11-01,65
2022-11-02,68
2022-11-03,67
2022-11-04,61
2022-11-05,52
2022-11-06,57
2022-11-07,67
2022-11-08,63
2022-11-09,63
2022-11-10,62
2022-11-11,60
2022-11-12,52
2022-11-13,56
2022-11-14,70
2022-11-15,70
2022-11-16,68
2022-11-17,63
2022-11-18,59
2022-11-19,52
2022-11-20,53
2022-11-21,58
2022-11-22,59
2022-11-23,57
2022-11-24,45
2022-11-25,59
2022-11-26,53
2022-11-27,66
2022-11-28,74
2022-11-29,89
2022-11-30,72
2022-12-01,65
2022-12-02,57
2022-12-03,51
2022-12-04,55
2022-12-05,63
2022-12-06,65
2022-12-07,62
2022-12-08,62
2022-12-09,49
2022-12-10,49
2022-12-11,53
2022-12-12,61
2022-12-13,65
2022-12-14,58
2022-12-15,57
2022-12-16,53
2022-12-17,46
2022-12-18,45
2022-12-19,60
2022-12-20,65
2022-12-21,65
2022-12-22,60
2022-12-23,57
2022-12-24,55
2022-12-25,56
2022-12-26,78
2022-12-27,97
2022-12-28,84
2022-12-29,74
2022-12-30,67
2022-12-31,52
2023-01-01,54
2023-01-02,78
2023-01-03,87
2023-01-04,85
2023-01-05,80
2023-01-06,75
2023-01-07,78
2023-01-08,79
2023-01-09,85
2023-01-10,90
2023-01-11,89
2023-01-12,80
2023-01-13,77
2023-01-14,72
2023-01-15,73
2023-01-16,84
2023-01-17,91
2023-01-18,82
2023-01-19,81
2023-01-20,74
2023-01-21,70
2023-01-22,72
2023-01-23,91
2023-01-24,90
2023-01-25,90
2023-01-26,95
2023-01-27,82
2023-01-28,74
2023-01-29,83
2023-01-30,87
2023-01-31,91
2023-02-01,87
2023-02-02,84
2023-02-03,79
2023-02-04,76
2023-02-05,87
2023-02-06,84
2023-02-07,87
2023-02-08,82
2023-02-09,80
2023-02-10,77
2023-02-11,72
2023-02-12,79
2023-02-13,72
2023-02-14,79
2023-02-15,90
2023-02-16,92
2023-02-17,86
2023-02-18,79
2023-02-19,82
2023-02-20,97
2023-02-21,90
2023-02-22,91
2023-02-23,89
2023-02-24,83
2023-02-25,84
2023-02-26,91
2023-02-27,96
2023-02-28,99
2023-03-01,90
2023-03-02,90
2023-03-03,80
2023-03-04,78
2023-03-05,88
2023-03-06,95
2023-03-07,96
2023-03-08,94
2023-03-09,88
2023-03-10,84
2023-03-11,78
2023-03-12,86
2023-03-13,99
2023-03-14,100
2023-03-15,89
2023-03-16,85
2023-03-17,81
2023-03-18,76
2023-03-19,87
2023-03-20,92
2023-03-21,98
2023-03-22,94
2023-03-23,89
2023-03-24,81
2023-03-25,75
2023-03-26,85
2023-03-27,87
2023-03-28,91
2023-03-29,86
2023-03-30,84
2023-03-31,76
2023-04-01,76
2023-04-02,84
2023-04-03,87
2023-04-04,89
2023-04-05,91
2023-04-06,84
2023-04-07,75
2023-04-08,68
2023-04-09,73
2023-04-10,87
2023-04-11,93
2023-04-12,87
2023-04-13,83
2023-04-14,78
2023-04-15,71
2023-04-16,82
2023-04-17,89
2023-04-18,92
2023-04-19,91
2023-04-20,88
2023-04-21,77
2023-04-22,74
2023-04-23,82
2023-04-24,86
2023-04-25,89
2023-04-26,85
2023-04-27,78
2023-04-28,70
2023-04-29,68
2023-04-30,79
2023-05-01,83
2023-05-02,89
2023-05-03,85
2023-05-04,79
2023-05-05,73
2023-05-06,67
2023-05-07,76
2023-05-08,86
2023-05-09,85
2023-05-10,82
2023-05-11,82
2023-05-12,75
2023-05-13,66
2023-05-14,76
2023-05-15,90
2023-05-16,93
2023-05-17,85
2023-05-18,82
2023-05-19,76
2023-05-20,75
2023-05-21,78
2023-05-22,86
2023-05-23,91
2023-05-24,91
2023-05-25,85
