step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_kamala_harris_vice_president_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_kamala_harris_vice_president_2022-08-29_2023-05-25.csv,30.0,12.0,0.9922520803198257,0.4,2.5,0.09394302193728538,overlap_ratio
2,gt_kamala_harris_vice_president_2023-04-26_2024-01-20.csv,30.0,11.0,0.9947129336248937,1.0,1.0,0.09719272715682623,overlap_ratio
3,gt_kamala_harris_vice_president_2023-12-22_2024-09-16.csv,30.0,0.0,,,1.0,,no_rescale_insufficient_overlap
4,gt_kamala_harris_vice_president_2024-08-18_2025-05-14.csv,30.0,30.0,0.9957444511807166,4.138461538461538,0.24163568773234204,0.08886880027440573,overlap_ratio
5,gt_kamala_harris_vice_president_2025-04-15_2026-01-09.csv,30.0,1.0,1.0,,1.0,,no_rescale_insufficient_overlap
6,gt_kamala_harris_vice_president_2025-12-11_2026-05-31.csv,30.0,1.0,0.999999999999999,,1.0,,no_rescale_insufficient_overlap
