Time,restaurants near me
2023-12-22,40
2023-12-23,47
2023-12-24,48
2023-12-25,100
2023-12-26,53
2023-12-27,42
2023-12-28,42
2023-12-29,48
2023-12-30,53
2023-12-31,50
2024-01-01,62
2024-01-02,31
2024-01-03,27
2024-01-04,29
2024-01-05,35
2024-01-06,48
2024-01-07,41
2024-01-08,24
2024-01-09,23
2024-01-10,25
2024-01-11,27
2024-01-12,31
2024-01-13,48
2024-01-14,43
2024-01-15,31
2024-01-16,22
2024-01-17,23
2024-01-18,24
2024-01-19,29
2024-01-20,47
2024-01-21,38
2024-01-22,25
2024-01-23,23
2024-01-24,24
2024-01-25,26
2024-01-26,31
2024-01-27,56
2024-01-28,41
2024-01-29,24
2024-01-30,24
2024-01-31,23
2024-02-01,24
2024-02-02,32
2024-02-03,53
2024-02-04,44
2024-02-05,23
2024-02-06,23
2024-02-07,24
2024-02-08,25
2024-02-09,32
2024-02-10,52
2024-02-11,37
2024-02-12,21
2024-02-13,27
2024-02-14,40
2024-02-15,35
2024-02-16,35
2024-02-17,59
2024-02-18,54
2024-02-19,34
2024-02-20,24
2024-02-21,25
2024-02-22,25
2024-02-23,34
2024-02-24,55
2024-02-25,49
2024-02-26,26
2024-02-27,24
2024-02-28,23
2024-02-29,25
2024-03-01,33
2024-03-02,57
2024-03-03,50
2024-03-04,27
2024-03-05,24
2024-03-06,26
2024-03-07,25
2024-03-08,33
2024-03-09,55
2024-03-10,52
2024-03-11,28
2024-03-12,27
2024-03-13,28
2024-03-14,29
2024-03-15,35
2024-03-16,60
2024-03-17,48
2024-03-18,27
2024-03-19,24
2024-03-20,25
2024-03-21,27
2024-03-22,34
2024-03-23,53
2024-03-24,45
2024-03-25,28
2024-03-26,27
2024-03-27,28
2024-03-28,30
2024-03-29,40
2024-03-30,52
2024-03-31,51
2024-04-01,30
2024-04-02,26
2024-04-03,26
2024-04-04,27
2024-04-05,37
2024-04-06,53
2024-04-07,46
2024-04-08,25
2024-04-09,23
2024-04-10,26
2024-04-11,26
2024-04-12,34
2024-04-13,56
2024-04-14,45
2024-04-15,26
2024-04-16,24
2024-04-17,26
2024-04-18,27
2024-04-19,34
2024-04-20,55
2024-04-21,50
2024-04-22,26
2024-04-23,26
2024-04-24,25
2024-04-25,27
2024-04-26,34
2024-04-27,53
2024-04-28,47
2024-04-29,25
2024-04-30,24
2024-05-01,23
2024-05-02,27
2024-05-03,35
2024-05-04,51
2024-05-05,47
2024-05-06,26
2024-05-07,25
2024-05-08,27
2024-05-09,28
2024-05-10,37
2024-05-11,59
2024-05-12,64
2024-05-13,28
2024-05-14,25
2024-05-15,25
2024-05-16,27
2024-05-17,34
2024-05-18,54
2024-05-19,46
2024-05-20,28
2024-05-21,26
2024-05-22,25
2024-05-23,27
2024-05-24,36
2024-05-25,55
2024-05-26,54
2024-05-27,48
2024-05-28,25
2024-05-29,27
2024-05-30,29
2024-05-31,36
2024-06-01,50
2024-06-02,45
2024-06-03,27
2024-06-04,27
2024-06-05,29
2024-06-06,31
2024-06-07,36
2024-06-08,53
2024-06-09,45
2024-06-10,31
2024-06-11,30
2024-06-12,30
2024-06-13,30
2024-06-14,38
2024-06-15,52
2024-06-16,52
2024-06-17,30
2024-06-18,28
2024-06-19,33
2024-06-20,30
2024-06-21,40
2024-06-22,52
2024-06-23,45
2024-06-24,30
2024-06-25,30
2024-06-26,29
2024-06-27,30
2024-06-28,37
2024-06-29,52
2024-06-30,46
2024-07-01,32
2024-07-02,29
2024-07-03,31
2024-07-04,53
2024-07-05,47
2024-07-06,50
2024-07-07,45
2024-07-08,31
2024-07-09,30
2024-07-10,30
2024-07-11,31
2024-07-12,38
2024-07-13,48
2024-07-14,45
2024-07-15,30
2024-07-16,30
2024-07-17,31
2024-07-18,33
2024-07-19,39
2024-07-20,54
2024-07-21,47
2024-07-22,32
2024-07-23,31
2024-07-24,29
2024-07-25,32
2024-07-26,39
2024-07-27,51
2024-07-28,48
2024-07-29,29
2024-07-30,29
2024-07-31,27
2024-08-01,31
2024-08-02,38
2024-08-03,52
2024-08-04,46
2024-08-05,30
2024-08-06,28
2024-08-07,28
2024-08-08,30
2024-08-09,36
2024-08-10,48
2024-08-11,45
2024-08-12,27
2024-08-13,27
2024-08-14,27
2024-08-15,30
2024-08-16,37
2024-08-17,52
2024-08-18,45
2024-08-19,27
2024-08-20,26
2024-08-21,25
2024-08-22,27
2024-08-23,34
2024-08-24,50
2024-08-25,44
2024-08-26,25
2024-08-27,24
2024-08-28,25
2024-08-29,25
2024-08-30,33
2024-08-31,50
2024-09-01,52
2024-09-02,45
2024-09-03,20
2024-09-04,21
2024-09-05,23
2024-09-06,27
2024-09-07,44
2024-09-08,37
2024-09-09,21
2024-09-10,22
2024-09-11,21
2024-09-12,23
2024-09-13,32
2024-09-14,47
2024-09-15,38
2024-09-16,24
