Time,restaurants near me
2023-04-26,35
2023-04-27,35
2023-04-28,48
2023-04-29,76
2023-04-30,64
2023-05-01,37
2023-05-02,34
2023-05-03,35
2023-05-04,37
2023-05-05,51
2023-05-06,76
2023-05-07,65
2023-05-08,40
2023-05-09,36
2023-05-10,36
2023-05-11,41
2023-05-12,51
2023-05-13,82
2023-05-14,89
2023-05-15,41
2023-05-16,36
2023-05-17,36
2023-05-18,40
2023-05-19,51
2023-05-20,76
2023-05-21,68
2023-05-22,39
2023-05-23,36
2023-05-24,39
2023-05-25,44
2023-05-26,53
2023-05-27,82
2023-05-28,80
2023-05-29,71
2023-05-30,38
2023-05-31,38
2023-06-01,42
2023-06-02,52
2023-06-03,75
2023-06-04,71
2023-06-05,43
2023-06-06,42
2023-06-07,42
2023-06-08,40
2023-06-09,52
2023-06-10,74
2023-06-11,70
2023-06-12,46
2023-06-13,45
2023-06-14,44
2023-06-15,46
2023-06-16,59
2023-06-17,82
2023-06-18,87
2023-06-19,55
2023-06-20,43
2023-06-21,45
2023-06-22,45
2023-06-23,58
2023-06-24,74
2023-06-25,74
2023-06-26,47
2023-06-27,45
2023-06-28,44
2023-06-29,47
2023-06-30,54
2023-07-01,78
2023-07-02,81
2023-07-03,64
2023-07-04,76
2023-07-05,50
2023-07-06,48
2023-07-07,58
2023-07-08,78
2023-07-09,68
2023-07-10,48
2023-07-11,43
2023-07-12,43
2023-07-13,44
2023-07-14,56
2023-07-15,73
2023-07-16,68
2023-07-17,48
2023-07-18,43
2023-07-19,44
2023-07-20,45
2023-07-21,56
2023-07-22,76
2023-07-23,72
2023-07-24,48
2023-07-25,43
2023-07-26,43
2023-07-27,42
2023-07-28,53
2023-07-29,77
2023-07-30,69
2023-07-31,45
2023-08-01,43
2023-08-02,41
2023-08-03,42
2023-08-04,53
2023-08-05,73
2023-08-06,66
2023-08-07,43
2023-08-08,41
2023-08-09,39
2023-08-10,40
2023-08-11,51
2023-08-12,73
2023-08-13,67
2023-08-14,41
2023-08-15,39
2023-08-16,40
2023-08-17,44
2023-08-18,50
2023-08-19,75
2023-08-20,66
2023-08-21,40
2023-08-22,37
2023-08-23,37
2023-08-24,37
2023-08-25,48
2023-08-26,69
2023-08-27,61
2023-08-28,37
2023-08-29,34
2023-08-30,34
2023-08-31,36
2023-09-01,47
2023-09-02,70
2023-09-03,72
2023-09-04,64
2023-09-05,32
2023-09-06,32
2023-09-07,33
2023-09-08,41
2023-09-09,65
2023-09-10,53
2023-09-11,33
2023-09-12,32
2023-09-13,33
2023-09-14,33
2023-09-15,44
2023-09-16,64
2023-09-17,54
2023-09-18,33
2023-09-19,32
2023-09-20,33
2023-09-21,34
2023-09-22,44
2023-09-23,69
2023-09-24,56
2023-09-25,36
2023-09-26,30
2023-09-27,32
2023-09-28,33
2023-09-29,43
2023-09-30,67
2023-10-01,54
2023-10-02,32
2023-10-03,31
2023-10-04,32
2023-10-05,33
2023-10-06,43
2023-10-07,67
2023-10-08,59
2023-10-09,38
2023-10-10,31
2023-10-11,32
2023-10-12,34
2023-10-13,43
2023-10-14,67
2023-10-15,56
2023-10-16,35
2023-10-17,31
2023-10-18,32
2023-10-19,35
2023-10-20,45
2023-10-21,66
2023-10-22,57
2023-10-23,32
2023-10-24,35
2023-10-25,31
2023-10-26,31
2023-10-27,41
2023-10-28,61
2023-10-29,49
2023-10-30,30
2023-10-31,27
2023-11-01,31
2023-11-02,33
2023-11-03,41
2023-11-04,65
2023-11-05,51
2023-11-06,32
2023-11-07,31
2023-11-08,29
2023-11-09,33
2023-11-10,46
2023-11-11,66
2023-11-12,50
2023-11-13,32
2023-11-14,29
2023-11-15,31
2023-11-16,30
2023-11-17,40
2023-11-18,60
2023-11-19,50
2023-11-20,33
2023-11-21,34
2023-11-22,37
2023-11-23,58
2023-11-24,44
2023-11-25,46
2023-11-26,44
2023-11-27,26
2023-11-28,26
2023-11-29,27
2023-11-30,28
2023-12-01,35
2023-12-02,50
2023-12-03,44
2023-12-04,27
2023-12-05,27
2023-12-06,28
2023-12-07,28
2023-12-08,39
2023-12-09,63
2023-12-10,50
2023-12-11,28
2023-12-12,28
2023-12-13,28
2023-12-14,28
2023-12-15,35
2023-12-16,52
2023-12-17,45
2023-12-18,27
2023-12-19,29
2023-12-20,31
2023-12-21,32
2023-12-22,40
2023-12-23,47
2023-12-24,48
2023-12-25,100
2023-12-26,53
2023-12-27,42
2023-12-28,42
2023-12-29,48
2023-12-30,53
2023-12-31,50
2024-01-01,62
2024-01-02,31
2024-01-03,27
2024-01-04,29
2024-01-05,35
2024-01-06,48
2024-01-07,41
2024-01-08,24
2024-01-09,23
2024-01-10,25
2024-01-11,27
2024-01-12,31
2024-01-13,48
2024-01-14,43
2024-01-15,31
2024-01-16,22
2024-01-17,23
2024-01-18,24
2024-01-19,29
2024-01-20,47
