Time,capital one
2025-12-11,79
2025-12-12,78
2025-12-13,69
2025-12-14,58
2025-12-15,70
2025-12-16,76
2025-12-17,75
2025-12-18,76
2025-12-19,74
2025-12-20,64
2025-12-21,52
2025-12-22,73
2025-12-23,67
2025-12-24,63
2025-12-25,41
2025-12-26,71
2025-12-27,67
2025-12-28,56
2025-12-29,78
2025-12-30,81
2025-12-31,81
2026-01-01,74
2026-01-02,90
2026-01-03,72
2026-01-04,64
2026-01-05,78
2026-01-06,82
2026-01-07,80
2026-01-08,79
2026-01-09,80
2026-01-10,73
2026-01-11,60
2026-01-12,77
2026-01-13,78
2026-01-14,78
2026-01-15,79
2026-01-16,83
2026-01-17,74
2026-01-18,60
2026-01-19,70
2026-01-20,76
2026-01-21,79
2026-01-22,79
2026-01-23,76
2026-01-24,62
2026-01-25,51
2026-01-26,67
2026-01-27,73
2026-01-28,72
2026-01-29,76
2026-01-30,82
2026-01-31,72
2026-02-01,74
2026-02-02,81
2026-02-03,81
2026-02-04,79
2026-02-05,77
2026-02-06,76
2026-02-07,67
2026-02-08,55
2026-02-09,65
2026-02-10,76
2026-02-11,78
2026-02-12,79
2026-02-13,80
2026-02-14,70
2026-02-15,65
2026-02-16,75
2026-02-17,75
2026-02-18,80
2026-02-19,78
2026-02-20,78
2026-02-21,73
2026-02-22,70
2026-02-23,76
2026-02-24,80
2026-02-25,80
2026-02-26,89
2026-02-27,81
2026-02-28,74
2026-03-01,76
2026-03-02,89
2026-03-03,88
2026-03-04,87
2026-03-05,85
2026-03-06,86
2026-03-07,77
2026-03-08,66
2026-03-09,85
2026-03-10,85
2026-03-11,82
2026-03-12,83
2026-03-13,85
2026-03-14,78
2026-03-15,69
2026-03-16,83
2026-03-17,84
2026-03-18,89
2026-03-19,84
2026-03-20,88
2026-03-21,76
2026-03-22,71
2026-03-23,82
2026-03-24,81
2026-03-25,83
2026-03-26,84
2026-03-27,84
2026-03-28,71
2026-03-29,72
2026-03-30,81
2026-03-31,84
2026-04-01,91
2026-04-02,87
2026-04-03,86
2026-04-04,75
2026-04-05,65
2026-04-06,86
2026-04-07,85
2026-04-08,86
2026-04-09,82
2026-04-10,82
2026-04-11,71
2026-04-12,64
2026-04-13,79
2026-04-14,80
2026-04-15,85
2026-04-16,85
2026-04-17,82
2026-04-18,69
2026-04-19,63
2026-04-20,76
2026-04-21,81
2026-04-22,84
2026-04-23,100
2026-04-24,99
2026-04-25,72
2026-04-26,67
2026-04-27,84
2026-04-28,83
2026-04-29,81
2026-04-30,81
2026-05-01,90
2026-05-02,93
2026-05-03,91
2026-05-04,91
2026-05-05,83
2026-05-06,80
2026-05-07,85
2026-05-08,88
2026-05-09,67
2026-05-10,55
2026-05-11,80
2026-05-12,84
2026-05-13,81
2026-05-14,86
2026-05-15,86
2026-05-16,71
2026-05-17,58
2026-05-18,79
2026-05-19,83
2026-05-20,83
2026-05-21,81
2026-05-22,82
2026-05-23,67
2026-05-24,61
2026-05-25,67
2026-05-26,82
2026-05-27,86
2026-05-28,88
2026-05-29,89
2026-05-30,75
2026-05-31,71
