Time,capital one
2022-01-01,64
2022-01-02,58
2022-01-03,81
2022-01-04,100
2022-01-05,87
2022-01-06,69
2022-01-07,81
2022-01-08,67
2022-01-09,53
2022-01-10,71
2022-01-11,75
2022-01-12,79
2022-01-13,88
2022-01-14,69
2022-01-15,65
2022-01-16,46
2022-01-17,60
2022-01-18,66
2022-01-19,70
2022-01-20,75
2022-01-21,73
2022-01-22,63
2022-01-23,50
2022-01-24,83
2022-01-25,63
2022-01-26,64
2022-01-27,71
2022-01-28,79
2022-01-29,66
2022-01-30,52
2022-01-31,76
2022-02-01,86
2022-02-02,78
2022-02-03,80
2022-02-04,87
2022-02-05,72
2022-02-06,58
2022-02-07,78
2022-02-08,79
2022-02-09,82
2022-02-10,69
2022-02-11,82
2022-02-12,71
2022-02-13,54
2022-02-14,68
2022-02-15,80
2022-02-16,84
2022-02-17,81
2022-02-18,85
2022-02-19,72
2022-02-20,61
2022-02-21,73
2022-02-22,81
2022-02-23,80
2022-02-24,79
2022-02-25,81
2022-02-26,71
2022-02-27,62
2022-02-28,86
2022-03-01,99
2022-03-02,92
2022-03-03,88
2022-03-04,89
2022-03-05,75
2022-03-06,61
2022-03-07,81
2022-03-08,80
2022-03-09,83
2022-03-10,91
2022-03-11,86
2022-03-12,68
2022-03-13,59
2022-03-14,79
2022-03-15,85
2022-03-16,81
2022-03-17,78
2022-03-18,82
2022-03-19,69
2022-03-20,61
2022-03-21,77
2022-03-22,85
2022-03-23,78
2022-03-24,78
2022-03-25,78
2022-03-26,69
2022-03-27,59
2022-03-28,72
2022-03-29,73
2022-03-30,77
2022-03-31,77
2022-04-01,95
2022-04-02,77
2022-04-03,65
2022-04-04,79
2022-04-05,79
2022-04-06,80
2022-04-07,74
2022-04-08,81
2022-04-09,76
2022-04-10,61
2022-04-11,79
2022-04-12,78
2022-04-13,76
2022-04-14,79
2022-04-15,85
2022-04-16,65
2022-04-17,54
2022-04-18,84
2022-04-19,80
2022-04-20,77
2022-04-21,75
2022-04-22,76
2022-04-23,60
2022-04-24,54
2022-04-25,67
2022-04-26,73
2022-04-27,76
2022-04-28,83
2022-04-29,82
2022-04-30,68
2022-05-01,61
2022-05-02,83
2022-05-03,73
2022-05-04,81
2022-05-05,79
2022-05-06,82
2022-05-07,68
2022-05-08,55
2022-05-09,79
2022-05-10,78
2022-05-11,81
2022-05-12,83
2022-05-13,82
2022-05-14,69
2022-05-15,60
2022-05-16,80
2022-05-17,80
2022-05-18,79
2022-05-19,76
2022-05-20,79
2022-05-21,67
2022-05-22,57
2022-05-23,76
2022-05-24,79
2022-05-25,91
2022-05-26,83
2022-05-27,83
2022-05-28,66
2022-05-29,51
2022-05-30,61
2022-05-31,86
2022-06-01,94
2022-06-02,91
2022-06-03,89
2022-06-04,71
2022-06-05,63
2022-06-06,80
2022-06-07,82
2022-06-08,79
2022-06-09,85
2022-06-10,91
2022-06-11,73
2022-06-12,57
2022-06-13,80
2022-06-14,84
2022-06-15,90
2022-06-16,89
2022-06-17,86
2022-06-18,66
2022-06-19,59
2022-06-20,77
2022-06-21,84
2022-06-22,89
2022-06-23,83
2022-06-24,84
2022-06-25,66
2022-06-26,58
2022-06-27,84
2022-06-28,84
2022-06-29,81
2022-06-30,86
2022-07-01,98
2022-07-02,75
2022-07-03,60
2022-07-04,62
2022-07-05,91
2022-07-06,93
2022-07-07,90
2022-07-08,95
2022-07-09,72
2022-07-10,65
2022-07-11,88
2022-07-12,92
2022-07-13,90
2022-07-14,89
2022-07-15,98
2022-07-16,73
2022-07-17,61
2022-07-18,87
2022-07-19,85
2022-07-20,80
2022-07-21,85
2022-07-22,85
2022-07-23,68
2022-07-24,57
2022-07-25,78
2022-07-26,82
2022-07-27,79
2022-07-28,81
2022-07-29,91
2022-07-30,68
2022-07-31,61
2022-08-01,94
2022-08-02,91
2022-08-03,89
2022-08-04,89
2022-08-05,91
2022-08-06,63
2022-08-07,62
2022-08-08,83
2022-08-09,85
2022-08-10,86
2022-08-11,88
2022-08-12,88
2022-08-13,72
2022-08-14,61
2022-08-15,90
2022-08-16,84
2022-08-17,86
2022-08-18,86
2022-08-19,88
2022-08-20,71
2022-08-21,60
2022-08-22,79
2022-08-23,84
2022-08-24,80
2022-08-25,78
2022-08-26,80
2022-08-27,71
2022-08-28,62
2022-08-29,77
2022-08-30,81
2022-08-31,84
2022-09-01,91
2022-09-02,91
2022-09-03,73
2022-09-04,59
2022-09-05,67
2022-09-06,83
2022-09-07,83
2022-09-08,86
2022-09-09,81
2022-09-10,69
2022-09-11,57
2022-09-12,77
2022-09-13,73
2022-09-14,84
2022-09-15,83
2022-09-16,85
2022-09-17,69
2022-09-18,60
2022-09-19,73
2022-09-20,79
2022-09-21,78
2022-09-22,76
2022-09-23,76
2022-09-24,64
2022-09-25,54
2022-09-26,75
2022-09-27,72
