Time,ariana debose
2022-08-29,2
2022-08-30,2
2022-08-31,0
2022-09-01,0
2022-09-02,2
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-08,1
2022-09-09,1
2022-09-10,15
2022-09-11,6
2022-09-12,3
2022-09-13,6
2022-09-14,4
2022-09-15,3
2022-09-16,3
2022-09-17,3
2022-09-18,4
2022-09-19,0
2022-09-20,1
2022-09-21,2
2022-09-22,2
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,2
2022-09-27,0
2022-09-28,1
2022-09-29,0
2022-09-30,0
2022-10-01,2
2022-10-02,0
2022-10-03,2
2022-10-04,0
2022-10-05,0
2022-10-06,2
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,2
2022-10-14,1
2022-10-15,0
2022-10-16,0
2022-10-17,2
2022-10-18,2
2022-10-19,1
2022-10-20,0
2022-10-21,1
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,0
2022-11-03,0
2022-11-04,0
2022-11-05,2
2022-11-06,0
2022-11-07,0
2022-11-08,0
2022-11-09,0
2022-11-10,0
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,0
2022-11-19,0
2022-11-20,3
2022-11-21,1
2022-11-22,0
2022-11-23,0
2022-11-24,2
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,1
2022-12-01,0
2022-12-02,2
2022-12-03,0
2022-12-04,0
2022-12-05,2
2022-12-06,0
2022-12-07,0
2022-12-08,1
2022-12-09,0
2022-12-10,0
2022-12-11,1
2022-12-12,9
2022-12-13,0
2022-12-14,0
2022-12-15,0
2022-12-16,2
2022-12-17,0
2022-12-18,0
2022-12-19,2
2022-12-20,2
2022-12-21,2
2022-12-22,2
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,2
2022-12-28,2
2022-12-29,33
2022-12-30,5
2022-12-31,5
2023-01-01,3
2023-01-02,3
2023-01-03,3
2023-01-04,2
2023-01-05,0
2023-01-06,2
2023-01-07,2
2023-01-08,2
2023-01-09,2
2023-01-10,1
2023-01-11,1
2023-01-12,0
2023-01-13,2
2023-01-14,0
2023-01-15,1
2023-01-16,1
2023-01-17,1
2023-01-18,1
2023-01-19,0
2023-01-20,0
2023-01-21,1
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,2
2023-01-26,2
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,1
2023-01-31,1
2023-02-01,0
2023-02-02,1
2023-02-03,1
2023-02-04,0
2023-02-05,2
2023-02-06,2
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,1
2023-02-11,2
2023-02-12,0
2023-02-13,2
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,1
2023-02-18,0
2023-02-19,0
2023-02-20,29
2023-02-21,100
2023-02-22,79
2023-02-23,51
2023-02-24,35
2023-02-25,22
2023-02-26,48
2023-02-27,46
2023-02-28,23
2023-03-01,12
2023-03-02,11
2023-03-03,10
2023-03-04,9
2023-03-05,8
2023-03-06,10
2023-03-07,7
2023-03-08,3
2023-03-09,4
2023-03-10,5
2023-03-11,4
2023-03-12,38
2023-03-13,96
2023-03-14,31
2023-03-15,14
2023-03-16,8
2023-03-17,7
2023-03-18,6
2023-03-19,5
2023-03-20,3
2023-03-21,3
2023-03-22,4
2023-03-23,3
2023-03-24,3
2023-03-25,3
2023-03-26,2
2023-03-27,2
2023-03-28,2
2023-03-29,2
2023-03-30,2
2023-03-31,3
2023-04-01,3
2023-04-02,2
2023-04-03,2
2023-04-04,2
2023-04-05,20
2023-04-06,6
2023-04-07,3
2023-04-08,4
2023-04-09,5
2023-04-10,5
2023-04-11,3
2023-04-12,5
2023-04-13,6
2023-04-14,3
2023-04-15,3
2023-04-16,4
2023-04-17,2
2023-04-18,2
2023-04-19,2
2023-04-20,0
2023-04-21,2
2023-04-22,2
2023-04-23,0
2023-04-24,2
2023-04-25,3
2023-04-26,3
2023-04-27,18
2023-04-28,8
2023-04-29,5
2023-04-30,3
2023-05-01,5
2023-05-02,10
2023-05-03,5
2023-05-04,5
2023-05-05,2
2023-05-06,3
2023-05-07,2
2023-05-08,2
2023-05-09,3
2023-05-10,2
2023-05-11,0
2023-05-12,0
2023-05-13,2
2023-05-14,0
2023-05-15,2
2023-05-16,0
2023-05-17,2
2023-05-18,2
2023-05-19,0
2023-05-20,0
2023-05-21,2
2023-05-22,2
2023-05-23,0
2023-05-24,2
2023-05-25,0
