Time,kohl's
2022-08-29,20
2022-08-30,19
2022-08-31,20
2022-09-01,20
2022-09-02,22
2022-09-03,24
2022-09-04,29
2022-09-05,37
2022-09-06,18
2022-09-07,18
2022-09-08,18
2022-09-09,18
2022-09-10,22
2022-09-11,24
2022-09-12,17
2022-09-13,18
2022-09-14,17
2022-09-15,20
2022-09-16,22
2022-09-17,27
2022-09-18,28
2022-09-19,21
2022-09-20,21
2022-09-21,18
2022-09-22,21
2022-09-23,22
2022-09-24,30
2022-09-25,37
2022-09-26,21
2022-09-27,19
2022-09-28,19
2022-09-29,20
2022-09-30,24
2022-10-01,31
2022-10-02,33
2022-10-03,23
2022-10-04,21
2022-10-05,22
2022-10-06,22
2022-10-07,27
2022-10-08,33
2022-10-09,36
2022-10-10,24
2022-10-11,24
2022-10-12,22
2022-10-13,23
2022-10-14,26
2022-10-15,39
2022-10-16,43
2022-10-17,25
2022-10-18,26
2022-10-19,24
2022-10-20,24
2022-10-21,25
2022-10-22,32
2022-10-23,35
2022-10-24,25
2022-10-25,22
2022-10-26,21
2022-10-27,22
2022-10-28,25
2022-10-29,30
2022-10-30,34
2022-10-31,21
2022-11-01,20
2022-11-02,22
2022-11-03,23
2022-11-04,36
2022-11-05,42
2022-11-06,40
2022-11-07,29
2022-11-08,26
2022-11-09,24
2022-11-10,31
2022-11-11,45
2022-11-12,51
2022-11-13,56
2022-11-14,37
2022-11-15,34
2022-11-16,34
2022-11-17,36
2022-11-18,40
2022-11-19,52
2022-11-20,60
2022-11-21,43
2022-11-22,41
2022-11-23,47
2022-11-24,63
2022-11-25,100
2022-11-26,84
2022-11-27,70
2022-11-28,64
2022-11-29,53
2022-11-30,43
2022-12-01,51
2022-12-02,47
2022-12-03,59
2022-12-04,61
2022-12-05,45
2022-12-06,43
2022-12-07,46
2022-12-08,49
2022-12-09,47
2022-12-10,72
2022-12-11,76
2022-12-12,54
2022-12-13,46
2022-12-14,47
2022-12-15,47
2022-12-16,53
2022-12-17,71
2022-12-18,69
2022-12-19,58
2022-12-20,57
2022-12-21,58
2022-12-22,55
2022-12-23,56
2022-12-24,68
2022-12-25,33
2022-12-26,53
2022-12-27,47
2022-12-28,43
2022-12-29,43
2022-12-30,44
2022-12-31,54
2023-01-01,54
2023-01-02,41
2023-01-03,24
2023-01-04,23
2023-01-05,23
2023-01-06,27
2023-01-07,33
2023-01-08,33
2023-01-09,22
2023-01-10,20
2023-01-11,21
2023-01-12,22
2023-01-13,24
2023-01-14,32
2023-01-15,29
2023-01-16,27
2023-01-17,21
2023-01-18,19
2023-01-19,22
2023-01-20,22
2023-01-21,29
2023-01-22,33
2023-01-23,19
2023-01-24,17
2023-01-25,17
2023-01-26,19
2023-01-27,20
2023-01-28,26
2023-01-29,25
2023-01-30,25
2023-01-31,33
2023-02-01,33
2023-02-02,30
2023-02-03,31
2023-02-04,37
2023-02-05,38
2023-02-06,21
2023-02-07,21
2023-02-08,19
2023-02-09,20
2023-02-10,22
2023-02-11,29
2023-02-12,28
2023-02-13,17
2023-02-14,20
2023-02-15,19
2023-02-16,19
2023-02-17,23
2023-02-18,28
2023-02-19,27
2023-02-20,23
2023-02-21,20
2023-02-22,19
2023-02-23,21
2023-02-24,21
2023-02-25,28
2023-02-26,29
2023-02-27,19
2023-02-28,19
2023-03-01,20
2023-03-02,21
2023-03-03,23
2023-03-04,32
2023-03-05,30
2023-03-06,22
2023-03-07,19
2023-03-08,20
2023-03-09,21
2023-03-10,22
2023-03-11,29
2023-03-12,35
2023-03-13,23
2023-03-14,24
2023-03-15,24
2023-03-16,24
2023-03-17,23
2023-03-18,32
2023-03-19,36
2023-03-20,22
2023-03-21,20
2023-03-22,19
2023-03-23,20
2023-03-24,21
2023-03-25,26
2023-03-26,29
2023-03-27,19
2023-03-28,18
2023-03-29,20
2023-03-30,22
2023-03-31,24
2023-04-01,33
2023-04-02,35
2023-04-03,22
2023-04-04,22
2023-04-05,21
2023-04-06,23
2023-04-07,30
2023-04-08,43
2023-04-09,38
2023-04-10,23
2023-04-11,21
2023-04-12,23
2023-04-13,24
2023-04-14,28
2023-04-15,32
2023-04-16,38
2023-04-17,22
2023-04-18,18
2023-04-19,20
2023-04-20,21
2023-04-21,21
2023-04-22,29
2023-04-23,30
2023-04-24,22
2023-04-25,17
2023-04-26,19
2023-04-27,19
2023-04-28,20
2023-04-29,25
2023-04-30,29
2023-05-01,21
2023-05-02,20
2023-05-03,19
2023-05-04,21
2023-05-05,22
2023-05-06,28
2023-05-07,28
2023-05-08,21
2023-05-09,21
2023-05-10,19
2023-05-11,22
2023-05-12,23
2023-05-13,36
2023-05-14,33
2023-05-15,23
2023-05-16,21
2023-05-17,21
2023-05-18,22
2023-05-19,25
2023-05-20,29
2023-05-21,35
2023-05-22,23
2023-05-23,20
2023-05-24,21
2023-05-25,21
