Time,cheap flights
2023-12-22,66
2023-12-23,64
2023-12-24,62
2023-12-25,65
2023-12-26,89
2023-12-27,90
2023-12-28,79
2023-12-29,82
2023-12-30,78
2023-12-31,67
2024-01-01,72
2024-01-02,87
2024-01-03,100
2024-01-04,92
2024-01-05,86
2024-01-06,87
2024-01-07,89
2024-01-08,85
2024-01-09,86
2024-01-10,87
2024-01-11,84
2024-01-12,85
2024-01-13,79
2024-01-14,80
2024-01-15,82
2024-01-16,85
2024-01-17,84
2024-01-18,80
2024-01-19,75
2024-01-20,84
2024-01-21,85
2024-01-22,79
2024-01-23,82
2024-01-24,88
2024-01-25,81
2024-01-26,79
2024-01-27,78
2024-01-28,78
2024-01-29,80
2024-01-30,88
2024-01-31,82
2024-02-01,85
2024-02-02,72
2024-02-03,84
2024-02-04,88
2024-02-05,79
2024-02-06,85
2024-02-07,80
2024-02-08,80
2024-02-09,72
2024-02-10,79
2024-02-11,77
2024-02-12,73
2024-02-13,89
2024-02-14,74
2024-02-15,79
2024-02-16,78
2024-02-17,83
2024-02-18,87
2024-02-19,91
2024-02-20,88
2024-02-21,89
2024-02-22,89
2024-02-23,83
2024-02-24,90
2024-02-25,93
2024-02-26,86
2024-02-27,88
2024-02-28,87
2024-02-29,86
2024-03-01,83
2024-03-02,89
2024-03-03,89
2024-03-04,89
2024-03-05,89
2024-03-06,89
2024-03-07,87
2024-03-08,84
2024-03-09,87
2024-03-10,84
2024-03-11,83
2024-03-12,93
2024-03-13,89
2024-03-14,90
2024-03-15,82
2024-03-16,80
2024-03-17,83
2024-03-18,82
2024-03-19,85
2024-03-20,88
2024-03-21,78
2024-03-22,74
2024-03-23,80
2024-03-24,82
2024-03-25,83
2024-03-26,82
2024-03-27,81
2024-03-28,76
2024-03-29,70
2024-03-30,69
2024-03-31,72
2024-04-01,78
2024-04-02,86
2024-04-03,84
2024-04-04,77
2024-04-05,73
2024-04-06,75
2024-04-07,76
2024-04-08,66
2024-04-09,81
2024-04-10,80
2024-04-11,72
2024-04-12,72
2024-04-13,73
2024-04-14,76
2024-04-15,76
2024-04-16,77
2024-04-17,75
2024-04-18,78
2024-04-19,71
2024-04-20,75
2024-04-21,71
2024-04-22,74
2024-04-23,80
2024-04-24,80
2024-04-25,79
2024-04-26,73
2024-04-27,71
2024-04-28,77
2024-04-29,75
2024-04-30,83
2024-05-01,79
2024-05-02,77
2024-05-03,76
2024-05-04,72
2024-05-05,78
2024-05-06,80
2024-05-07,79
2024-05-08,82
2024-05-09,77
2024-05-10,73
2024-05-11,70
2024-05-12,69
2024-05-13,77
2024-05-14,84
2024-05-15,82
2024-05-16,85
2024-05-17,73
2024-05-18,76
2024-05-19,80
2024-05-20,84
2024-05-21,89
2024-05-22,85
2024-05-23,83
2024-05-24,79
2024-05-25,76
2024-05-26,76
2024-05-27,81
2024-05-28,82
2024-05-29,79
2024-05-30,81
2024-05-31,80
2024-06-01,79
2024-06-02,80
2024-06-03,83
2024-06-04,90
2024-06-05,85
2024-06-06,87
2024-06-07,76
2024-06-08,75
2024-06-09,79
2024-06-10,84
2024-06-11,90
2024-06-12,90
2024-06-13,84
2024-06-14,79
2024-06-15,80
2024-06-16,78
2024-06-17,83
2024-06-18,81
2024-06-19,87
2024-06-20,81
2024-06-21,77
2024-06-22,78
2024-06-23,76
2024-06-24,80
2024-06-25,86
2024-06-26,90
2024-06-27,85
2024-06-28,77
2024-06-29,78
2024-06-30,78
2024-07-01,85
2024-07-02,84
2024-07-03,83
2024-07-04,75
2024-07-05,71
2024-07-06,80
2024-07-07,72
2024-07-08,78
2024-07-09,82
2024-07-10,83
2024-07-11,79
2024-07-12,77
2024-07-13,73
2024-07-14,66
2024-07-15,71
2024-07-16,82
2024-07-17,79
2024-07-18,81
2024-07-19,81
2024-07-20,76
2024-07-21,74
2024-07-22,77
2024-07-23,82
2024-07-24,79
2024-07-25,76
2024-07-26,70
2024-07-27,69
2024-07-28,68
2024-07-29,71
2024-07-30,71
2024-07-31,70
2024-08-01,73
2024-08-02,69
2024-08-03,74
2024-08-04,72
2024-08-05,73
2024-08-06,79
2024-08-07,74
2024-08-08,72
2024-08-09,69
2024-08-10,69
2024-08-11,74
2024-08-12,68
2024-08-13,78
2024-08-14,73
2024-08-15,73
2024-08-16,70
2024-08-17,77
2024-08-18,72
2024-08-19,74
2024-08-20,78
2024-08-21,73
2024-08-22,73
2024-08-23,74
2024-08-24,70
2024-08-25,74
2024-08-26,74
2024-08-27,77
2024-08-28,72
2024-08-29,71
2024-08-30,68
2024-08-31,66
2024-09-01,64
2024-09-02,79
2024-09-03,69
2024-09-04,77
2024-09-05,68
2024-09-06,68
2024-09-07,65
2024-09-08,67
2024-09-09,67
2024-09-10,71
2024-09-11,67
2024-09-12,72
2024-09-13,61
2024-09-14,67
2024-09-15,64
2024-09-16,65
