Time,cheap flights
2022-08-29,80
2022-08-30,79
2022-08-31,79
2022-09-01,80
2022-09-02,73
2022-09-03,70
2022-09-04,71
2022-09-05,83
2022-09-06,81
2022-09-07,75
2022-09-08,80
2022-09-09,72
2022-09-10,74
2022-09-11,69
2022-09-12,74
2022-09-13,81
2022-09-14,81
2022-09-15,82
2022-09-16,70
2022-09-17,74
2022-09-18,73
2022-09-19,80
2022-09-20,81
2022-09-21,80
2022-09-22,79
2022-09-23,73
2022-09-24,70
2022-09-25,74
2022-09-26,74
2022-09-27,72
2022-09-28,73
2022-09-29,68
2022-09-30,66
2022-10-01,72
2022-10-02,70
2022-10-03,72
2022-10-04,79
2022-10-05,79
2022-10-06,84
2022-10-07,74
2022-10-08,72
2022-10-09,72
2022-10-10,74
2022-10-11,78
2022-10-12,81
2022-10-13,76
2022-10-14,69
2022-10-15,69
2022-10-16,71
2022-10-17,73
2022-10-18,77
2022-10-19,77
2022-10-20,70
2022-10-21,68
2022-10-22,69
2022-10-23,69
2022-10-24,70
2022-10-25,73
2022-10-26,74
2022-10-27,72
2022-10-28,69
2022-10-29,66
2022-10-30,66
2022-10-31,68
2022-11-01,75
2022-11-02,76
2022-11-03,74
2022-11-04,71
2022-11-05,72
2022-11-06,66
2022-11-07,71
2022-11-08,73
2022-11-09,68
2022-11-10,80
2022-11-11,65
2022-11-12,70
2022-11-13,68
2022-11-14,72
2022-11-15,72
2022-11-16,79
2022-11-17,77
2022-11-18,71
2022-11-19,72
2022-11-20,70
2022-11-21,67
2022-11-22,66
2022-11-23,65
2022-11-24,59
2022-11-25,67
2022-11-26,66
2022-11-27,75
2022-11-28,74
2022-11-29,88
2022-11-30,72
2022-12-01,76
2022-12-02,68
2022-12-03,68
2022-12-04,70
2022-12-05,69
2022-12-06,70
2022-12-07,73
2022-12-08,70
2022-12-09,65
2022-12-10,67
2022-12-11,68
2022-12-12,72
2022-12-13,73
2022-12-14,67
2022-12-15,65
2022-12-16,67
2022-12-17,68
2022-12-18,61
2022-12-19,67
2022-12-20,71
2022-12-21,69
2022-12-22,66
2022-12-23,62
2022-12-24,61
2022-12-25,65
2022-12-26,92
2022-12-27,98
2022-12-28,94
2022-12-29,81
2022-12-30,71
2022-12-31,64
2023-01-01,73
2023-01-02,99
2023-01-03,82
2023-01-04,95
2023-01-05,89
2023-01-06,81
2023-01-07,85
2023-01-08,92
2023-01-09,83
2023-01-10,86
2023-01-11,89
2023-01-12,94
2023-01-13,83
2023-01-14,83
2023-01-15,86
2023-01-16,88
2023-01-17,87
2023-01-18,89
2023-01-19,84
2023-01-20,78
2023-01-21,82
2023-01-22,87
2023-01-23,81
2023-01-24,87
2023-01-25,86
2023-01-26,88
2023-01-27,85
2023-01-28,88
2023-01-29,84
2023-01-30,79
2023-01-31,86
2023-02-01,86
2023-02-02,85
2023-02-03,80
2023-02-04,85
2023-02-05,94
2023-02-06,83
2023-02-07,88
2023-02-08,85
2023-02-09,85
2023-02-10,82
2023-02-11,85
2023-02-12,83
2023-02-13,75
2023-02-14,82
2023-02-15,88
2023-02-16,90
2023-02-17,86
2023-02-18,94
2023-02-19,89
2023-02-20,95
2023-02-21,99
2023-02-22,100
2023-02-23,92
2023-02-24,86
2023-02-25,93
2023-02-26,96
2023-02-27,91
2023-02-28,93
2023-03-01,94
2023-03-02,89
2023-03-03,87
2023-03-04,88
2023-03-05,90
2023-03-06,92
2023-03-07,98
2023-03-08,94
2023-03-09,88
2023-03-10,88
2023-03-11,95
2023-03-12,90
2023-03-13,87
2023-03-14,98
2023-03-15,87
2023-03-16,85
2023-03-17,82
2023-03-18,82
2023-03-19,91
2023-03-20,82
2023-03-21,92
2023-03-22,88
2023-03-23,86
2023-03-24,85
2023-03-25,82
2023-03-26,84
2023-03-27,93
2023-03-28,88
2023-03-29,85
2023-03-30,82
2023-03-31,85
2023-04-01,78
2023-04-02,84
2023-04-03,82
2023-04-04,85
2023-04-05,82
2023-04-06,81
2023-04-07,74
2023-04-08,79
2023-04-09,78
2023-04-10,87
2023-04-11,85
2023-04-12,87
2023-04-13,83
2023-04-14,82
2023-04-15,75
2023-04-16,82
2023-04-17,79
2023-04-18,97
2023-04-19,82
2023-04-20,82
2023-04-21,76
2023-04-22,78
2023-04-23,80
2023-04-24,84
2023-04-25,79
2023-04-26,84
2023-04-27,77
2023-04-28,72
2023-04-29,78
2023-04-30,83
2023-05-01,77
2023-05-02,84
2023-05-03,83
2023-05-04,82
2023-05-05,73
2023-05-06,75
2023-05-07,81
2023-05-08,82
2023-05-09,83
2023-05-10,85
2023-05-11,80
2023-05-12,80
2023-05-13,75
2023-05-14,77
2023-05-15,78
2023-05-16,92
2023-05-17,86
2023-05-18,89
2023-05-19,80
2023-05-20,82
2023-05-21,87
2023-05-22,86
2023-05-23,90
2023-05-24,85
2023-05-25,87
