Time,yellowstone season 5
2023-12-22,30
2023-12-23,33
2023-12-24,46
2023-12-25,40
2023-12-26,46
2023-12-27,54
2023-12-28,49
2023-12-29,52
2023-12-30,58
2023-12-31,71
2024-01-01,100
2024-01-02,91
2024-01-03,55
2024-01-04,51
2024-01-05,46
2024-01-06,50
2024-01-07,56
2024-01-08,44
2024-01-09,41
2024-01-10,37
2024-01-11,32
2024-01-12,42
2024-01-13,47
2024-01-14,71
2024-01-15,79
2024-01-16,47
2024-01-17,38
2024-01-18,34
2024-01-19,38
2024-01-20,51
2024-01-21,46
2024-01-22,43
2024-01-23,49
2024-01-24,36
2024-01-25,31
2024-01-26,35
2024-01-27,40
2024-01-28,59
2024-01-29,62
2024-01-30,71
2024-01-31,36
2024-02-01,26
2024-02-02,31
2024-02-03,34
2024-02-04,50
2024-02-05,31
2024-02-06,33
2024-02-07,27
2024-02-08,26
2024-02-09,28
2024-02-10,42
2024-02-11,46
2024-02-12,24
2024-02-13,33
2024-02-14,28
2024-02-15,23
2024-02-16,33
2024-02-17,46
2024-02-18,58
2024-02-19,66
2024-02-20,67
2024-02-21,36
2024-02-22,31
2024-02-23,22
2024-02-24,35
2024-02-25,46
2024-02-26,33
2024-02-27,33
2024-02-28,28
2024-02-29,28
2024-03-01,18
2024-03-02,37
2024-03-03,35
2024-03-04,29
2024-03-05,23
2024-03-06,25
2024-03-07,23
2024-03-08,19
2024-03-09,22
2024-03-10,36
2024-03-11,27
2024-03-12,21
2024-03-13,22
2024-03-14,22
2024-03-15,19
2024-03-16,24
2024-03-17,26
2024-03-18,25
2024-03-19,22
2024-03-20,21
2024-03-21,18
2024-03-22,17
2024-03-23,16
2024-03-24,29
2024-03-25,27
2024-03-26,23
2024-03-27,24
2024-03-28,17
2024-03-29,17
2024-03-30,29
2024-03-31,46
2024-04-01,34
2024-04-02,19
2024-04-03,13
2024-04-04,20
2024-04-05,18
2024-04-06,19
2024-04-07,23
2024-04-08,23
2024-04-09,19
2024-04-10,20
2024-04-11,17
2024-04-12,16
2024-04-13,17
2024-04-14,20
2024-04-15,16
2024-04-16,16
2024-04-17,13
2024-04-18,12
2024-04-19,16
2024-04-20,16
2024-04-21,23
2024-04-22,18
2024-04-23,17
2024-04-24,14
2024-04-25,16
2024-04-26,12
2024-04-27,16
2024-04-28,26
2024-04-29,35
2024-04-30,14
2024-05-01,14
2024-05-02,12
2024-05-03,14
2024-05-04,15
2024-05-05,22
2024-05-06,13
2024-05-07,10
2024-05-08,10
2024-05-09,13
2024-05-10,11
2024-05-11,17
2024-05-12,15
2024-05-13,15
2024-05-14,16
2024-05-15,17
2024-05-16,11
2024-05-17,13
2024-05-18,12
2024-05-19,17
2024-05-20,20
2024-05-21,20
2024-05-22,20
2024-05-23,16
2024-05-24,18
2024-05-25,21
2024-05-26,29
2024-05-27,44
2024-05-28,42
2024-05-29,21
2024-05-30,21
2024-05-31,19
2024-06-01,20
2024-06-02,21
2024-06-03,16
2024-06-04,18
2024-06-05,17
2024-06-06,15
2024-06-07,15
2024-06-08,19
2024-06-09,19
2024-06-10,17
2024-06-11,17
2024-06-12,12
2024-06-13,14
2024-06-14,16
2024-06-15,22
2024-06-16,39
2024-06-17,28
2024-06-18,14
2024-06-19,22
2024-06-20,21
2024-06-21,70
2024-06-22,48
2024-06-23,30
2024-06-24,24
2024-06-25,20
2024-06-26,16
2024-06-27,15
2024-06-28,10
2024-06-29,17
2024-06-30,20
2024-07-01,18
2024-07-02,17
2024-07-03,14
2024-07-04,20
2024-07-05,15
2024-07-06,31
2024-07-07,40
2024-07-08,35
2024-07-09,16
2024-07-10,20
2024-07-11,13
2024-07-12,17
2024-07-13,15
2024-07-14,13
2024-07-15,16
2024-07-16,12
2024-07-17,14
2024-07-18,12
2024-07-19,10
2024-07-20,19
2024-07-21,14
2024-07-22,13
2024-07-23,12
2024-07-24,16
2024-07-25,17
2024-07-26,12
2024-07-27,7
2024-07-28,14
2024-07-29,15
2024-07-30,9
2024-07-31,10
2024-08-01,12
2024-08-02,10
2024-08-03,14
2024-08-04,19
2024-08-05,14
2024-08-06,14
2024-08-07,14
2024-08-08,12
2024-08-09,11
2024-08-10,18
2024-08-11,17
2024-08-12,14
2024-08-13,13
2024-08-14,12
2024-08-15,11
2024-08-16,14
2024-08-17,13
2024-08-18,15
2024-08-19,13
2024-08-20,11
2024-08-21,14
2024-08-22,11
2024-08-23,15
2024-08-24,14
2024-08-25,22
2024-08-26,20
2024-08-27,20
2024-08-28,19
2024-08-29,21
2024-08-30,23
2024-08-31,28
2024-09-01,40
2024-09-02,65
2024-09-03,45
2024-09-04,21
2024-09-05,21
2024-09-06,23
2024-09-07,24
2024-09-08,22
2024-09-09,16
2024-09-10,21
2024-09-11,17
2024-09-12,16
2024-09-13,15
2024-09-14,14
2024-09-15,21
2024-09-16,15
