Time,accuweather
2022-01-01,58
2022-01-02,61
2022-01-03,59
2022-01-04,52
2022-01-05,63
2022-01-06,67
2022-01-07,60
2022-01-08,41
2022-01-09,48
2022-01-10,39
2022-01-11,37
2022-01-12,45
2022-01-13,62
2022-01-14,58
2022-01-15,66
2022-01-16,84
2022-01-17,56
2022-01-18,41
2022-01-19,53
2022-01-20,56
2022-01-21,44
2022-01-22,43
2022-01-23,42
2022-01-24,51
2022-01-25,41
2022-01-26,50
2022-01-27,60
2022-01-28,92
2022-01-29,65
2022-01-30,47
2022-01-31,58
2022-02-01,75
2022-02-02,100
2022-02-03,92
2022-02-04,66
2022-02-05,40
2022-02-06,34
2022-02-07,38
2022-02-08,29
2022-02-09,29
2022-02-10,30
2022-02-11,36
2022-02-12,41
2022-02-13,39
2022-02-14,33
2022-02-15,37
2022-02-16,47
2022-02-17,66
2022-02-18,43
2022-02-19,40
2022-02-20,36
2022-02-21,48
2022-02-22,68
2022-02-23,63
2022-02-24,60
2022-02-25,45
2022-02-26,28
2022-02-27,30
2022-02-28,30
2022-03-01,28
2022-03-02,29
2022-03-03,31
2022-03-04,34
2022-03-05,40
2022-03-06,46
2022-03-07,51
2022-03-08,45
2022-03-09,52
2022-03-10,45
2022-03-11,56
2022-03-12,62
2022-03-13,36
2022-03-14,33
2022-03-15,35
2022-03-16,34
2022-03-17,36
2022-03-18,43
2022-03-19,42
2022-03-20,36
2022-03-21,43
2022-03-22,48
2022-03-23,46
2022-03-24,39
2022-03-25,31
2022-03-26,35
2022-03-27,34
2022-03-28,34
2022-03-29,36
2022-03-30,57
2022-03-31,56
2022-04-01,33
2022-04-02,37
2022-04-03,35
2022-04-04,37
2022-04-05,48
2022-04-06,48
2022-04-07,49
2022-04-08,38
2022-04-09,39
2022-04-10,35
2022-04-11,48
2022-04-12,58
2022-04-13,74
2022-04-14,51
2022-04-15,39
2022-04-16,42
2022-04-17,40
2022-04-18,51
2022-04-19,37
2022-04-20,33
2022-04-21,35
2022-04-22,37
2022-04-23,37
2022-04-24,43
2022-04-25,40
2022-04-26,34
2022-04-27,31
2022-04-28,33
2022-04-29,34
2022-04-30,50
2022-05-01,47
2022-05-02,40
2022-05-03,47
2022-05-04,40
2022-05-05,46
2022-05-06,53
2022-05-07,38
2022-05-08,38
2022-05-09,32
2022-05-10,31
2022-05-11,35
2022-05-12,43
2022-05-13,47
2022-05-14,54
2022-05-15,52
2022-05-16,64
2022-05-17,36
2022-05-18,46
2022-05-19,46
2022-05-20,67
2022-05-21,72
2022-05-22,67
2022-05-23,44
2022-05-24,49
2022-05-25,57
2022-05-26,56
2022-05-27,64
2022-05-28,45
2022-05-29,39
2022-05-30,42
2022-05-31,44
2022-06-01,55
2022-06-02,54
2022-06-03,41
2022-06-04,43
2022-06-05,40
2022-06-06,46
2022-06-07,47
2022-06-08,58
2022-06-09,45
2022-06-10,45
2022-06-11,51
2022-06-12,58
2022-06-13,57
2022-06-14,50
2022-06-15,46
2022-06-16,57
2022-06-17,41
2022-06-18,41
2022-06-19,36
2022-06-20,37
2022-06-21,39
2022-06-22,49
2022-06-23,37
2022-06-24,37
2022-06-25,49
2022-06-26,52
2022-06-27,49
2022-06-28,37
2022-06-29,40
2022-06-30,39
2022-07-01,52
2022-07-02,62
2022-07-03,47
2022-07-04,49
2022-07-05,63
2022-07-06,52
2022-07-07,44
2022-07-08,50
2022-07-09,44
2022-07-10,40
2022-07-11,39
2022-07-12,50
2022-07-13,41
2022-07-14,41
2022-07-15,45
2022-07-16,50
2022-07-17,56
2022-07-18,55
2022-07-19,40
2022-07-20,42
2022-07-21,49
2022-07-22,40
2022-07-23,60
2022-07-24,63
2022-07-25,60
2022-07-26,44
2022-07-27,45
2022-07-28,50
2022-07-29,44
2022-07-30,38
2022-07-31,44
2022-08-01,45
2022-08-02,44
2022-08-03,50
2022-08-04,53
2022-08-05,56
2022-08-06,52
2022-08-07,59
2022-08-08,51
2022-08-09,47
2022-08-10,46
2022-08-11,39
2022-08-12,36
2022-08-13,36
2022-08-14,40
2022-08-15,39
2022-08-16,37
2022-08-17,42
2022-08-18,43
2022-08-19,44
2022-08-20,53
2022-08-21,58
2022-08-22,48
2022-08-23,37
2022-08-24,32
2022-08-25,35
2022-08-26,40
2022-08-27,37
2022-08-28,45
2022-08-29,51
2022-08-30,49
2022-08-31,32
2022-09-01,32
2022-09-02,35
2022-09-03,43
2022-09-04,55
2022-09-05,52
2022-09-06,41
2022-09-07,34
2022-09-08,31
2022-09-09,37
2022-09-10,46
2022-09-11,47
2022-09-12,39
2022-09-13,32
2022-09-14,27
2022-09-15,27
2022-09-16,31
2022-09-17,36
2022-09-18,38
2022-09-19,41
2022-09-20,35
2022-09-21,40
2022-09-22,40
2022-09-23,38
2022-09-24,38
2022-09-25,49
2022-09-26,48
2022-09-27,52
