Time,underworld
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,50.458874458874455
2022-05-02,52.94441319281059
2022-05-03,50.38762686076477
2022-05-04,46.57560283208168
2022-05-05,47.80056029952233
2022-05-06,41.4816232574702
2022-05-07,47.73287508131813
2022-05-08,53.97522095540234
2022-05-09,42.647801456470354
2022-05-10,46.3778907473273
2022-05-11,45.09237282149341
2022-05-12,42.55696076888051
2022-05-13,50.03138887021634
2022-05-14,44.99618856404534
2022-05-15,49.96014127210665
2022-05-16,42.435839852094034
2022-05-17,42.405559622897414
2022-05-18,38.63628415308014
2022-05-19,42.34499916450419
2022-05-20,42.31471893530757
2022-05-21,50.99005843972203
2022-05-22,70.83785391717991
2022-05-23,50.9170296516596
2022-05-24,40.95260984150577
2022-05-25,37.20292746116866
2022-05-26,39.6546235860027
2022-05-27,48.29433929136232
2022-05-28,40.83505130462479
2022-05-29,53.171013691739255
2022-05-30,50.6614288934411
2022-05-31,37.04262036542186
2022-06-01,38.24976593333509
2022-06-02,39.45513031129558
2022-06-03,38.194549044800084
2022-06-04,41.860515497358314
2022-06-05,43.060536305460566
2022-06-06,43.02936548128758
2022-06-07,39.3126351150762
2022-06-08,35.60124831872305
2022-06-09,36.80215972180167
2022-06-10,35.549593810093526
2022-06-11,42.87351136042264
2022-06-12,41.61827366378538
2022-06-13,33.02575949217343
2022-06-14,36.66857047534601
2022-06-15,37.86324771359004
2022-06-16,32.953621299087374
2022-06-17,35.368803029890195
2022-06-18,38.99914568339358
2022-06-19,51.148973720446484
2022-06-20,36.508263379599214
2022-06-21,35.265494012631144
2022-06-22,35.23966675831639
2022-06-23,31.571028520829042
2022-06-24,31.547873051443393
2022-06-25,40.012141546457904
2022-06-26,46.04074462621306
2022-06-27,32.68911459110516
2022-06-28,33.87488587958548
2022-06-29,31.432095704515156
2022-06-30,30.200904072239908
2022-07-01,33.80007590157031
2022-07-02,37.39390416104248
2022-07-03,38.571660094735456
2022-07-04,37.33868727250747
