Time,oscars
2023-04-26,12
2023-04-27,12
2023-04-28,13
2023-04-29,15
2023-04-30,16
2023-05-01,13
2023-05-02,13
2023-05-03,13
2023-05-04,13
2023-05-05,13
2023-05-06,14
2023-05-07,22
2023-05-08,19
2023-05-09,14
2023-05-10,13
2023-05-11,12
2023-05-12,12
2023-05-13,13
2023-05-14,15
2023-05-15,12
2023-05-16,12
2023-05-17,12
2023-05-18,13
2023-05-19,12
2023-05-20,16
2023-05-21,14
2023-05-22,11
2023-05-23,11
2023-05-24,11
2023-05-25,11
2023-05-26,11
2023-05-27,14
2023-05-28,13
2023-05-29,14
2023-05-30,11
2023-05-31,10
2023-06-01,10
2023-06-02,10
2023-06-03,13
2023-06-04,14
2023-06-05,10
2023-06-06,11
2023-06-07,10
2023-06-08,10
2023-06-09,12
2023-06-10,13
2023-06-11,13
2023-06-12,11
2023-06-13,10
2023-06-14,10
2023-06-15,12
2023-06-16,11
2023-06-17,15
2023-06-18,16
2023-06-19,13
2023-06-20,12
2023-06-21,10
2023-06-22,11
2023-06-23,11
2023-06-24,14
2023-06-25,15
2023-06-26,12
2023-06-27,11
2023-06-28,11
2023-06-29,12
2023-06-30,11
2023-07-01,12
2023-07-02,15
2023-07-03,14
2023-07-04,15
2023-07-05,13
2023-07-06,12
2023-07-07,14
2023-07-08,15
2023-07-09,15
2023-07-10,13
2023-07-11,12
2023-07-12,11
2023-07-13,13
2023-07-14,12
2023-07-15,13
2023-07-16,15
2023-07-17,11
2023-07-18,11
2023-07-19,11
2023-07-20,11
2023-07-21,11
2023-07-22,15
2023-07-23,16
2023-07-24,13
2023-07-25,14
2023-07-26,12
2023-07-27,14
2023-07-28,12
2023-07-29,14
2023-07-30,16
2023-07-31,12
2023-08-01,11
2023-08-02,11
2023-08-03,11
2023-08-04,12
2023-08-05,14
2023-08-06,15
2023-08-07,10
2023-08-08,11
2023-08-09,11
2023-08-10,12
2023-08-11,11
2023-08-12,14
2023-08-13,13
2023-08-14,11
2023-08-15,15
2023-08-16,13
2023-08-17,11
2023-08-18,11
2023-08-19,14
2023-08-20,13
2023-08-21,12
2023-08-22,9
2023-08-23,11
2023-08-24,10
2023-08-25,11
2023-08-26,14
2023-08-27,14
2023-08-28,10
2023-08-29,9
2023-08-30,11
2023-08-31,10
2023-09-01,11
2023-09-02,13
2023-09-03,13
2023-09-04,14
2023-09-05,10
2023-09-06,10
2023-09-07,9
2023-09-08,11
2023-09-09,13
2023-09-10,12
2023-09-11,11
2023-09-12,11
2023-09-13,10
2023-09-14,11
2023-09-15,10
2023-09-16,12
2023-09-17,11
2023-09-18,10
2023-09-19,10
2023-09-20,11
2023-09-21,10
2023-09-22,10
2023-09-23,13
2023-09-24,13
2023-09-25,8
2023-09-26,9
2023-09-27,10
2023-09-28,12
2023-09-29,12
2023-09-30,14
2023-10-01,15
2023-10-02,10
2023-10-03,11
2023-10-04,10
2023-10-05,10
2023-10-06,11
2023-10-07,13
2023-10-08,19
2023-10-09,13
2023-10-10,9
2023-10-11,12
2023-10-12,10
2023-10-13,11
2023-10-14,13
2023-10-15,12
2023-10-16,11
2023-10-17,11
2023-10-18,11
2023-10-19,10
2023-10-20,11
2023-10-21,13
2023-10-22,13
2023-10-23,10
2023-10-24,9
2023-10-25,10
2023-10-26,10
2023-10-27,10
2023-10-28,12
2023-10-29,11
2023-10-30,10
2023-10-31,9
2023-11-01,8
2023-11-02,9
2023-11-03,10
2023-11-04,16
2023-11-05,13
2023-11-06,11
2023-11-07,10
2023-11-08,11
2023-11-09,11
2023-11-10,12
2023-11-11,14
2023-11-12,14
2023-11-13,10
2023-11-14,10
2023-11-15,10
2023-11-16,12
2023-11-17,11
2023-11-18,12
2023-11-19,14
2023-11-20,12
2023-11-21,11
2023-11-22,11
2023-11-23,12
2023-11-24,13
2023-11-25,14
2023-11-26,13
2023-11-27,11
2023-11-28,9
2023-11-29,11
2023-11-30,11
2023-12-01,12
2023-12-02,13
2023-12-03,12
2023-12-04,12
2023-12-05,11
2023-12-06,13
2023-12-07,12
2023-12-08,14
2023-12-09,16
2023-12-10,17
2023-12-11,15
2023-12-12,14
2023-12-13,14
2023-12-14,12
2023-12-15,13
2023-12-16,16
2023-12-17,14
2023-12-18,12
2023-12-19,13
2023-12-20,13
2023-12-21,18
2023-12-22,23
2023-12-23,27
2023-12-24,16
2023-12-25,16
2023-12-26,18
2023-12-27,18
2023-12-28,18
2023-12-29,18
2023-12-30,19
2023-12-31,20
2024-01-01,21
2024-01-02,19
2024-01-03,18
2024-01-04,19
2024-01-05,19
2024-01-06,23
2024-01-07,33
2024-01-08,100
2024-01-09,42
2024-01-10,47
2024-01-11,43
2024-01-12,32
2024-01-13,34
2024-01-14,33
2024-01-15,38
2024-01-16,45
2024-01-17,28
2024-01-18,25
2024-01-19,23
2024-01-20,27
