Time,btc
2024-08-18,15
2024-08-19,18
2024-08-20,20
2024-08-21,18
2024-08-22,17
2024-08-23,19
2024-08-24,20
2024-08-25,17
2024-08-26,19
2024-08-27,20
2024-08-28,20
2024-08-29,17
2024-08-30,17
2024-08-31,12
2024-09-01,13
2024-09-02,15
2024-09-03,18
2024-09-04,19
2024-09-05,16
2024-09-06,20
2024-09-07,14
2024-09-08,14
2024-09-09,18
2024-09-10,16
2024-09-11,17
2024-09-12,16
2024-09-13,17
2024-09-14,14
2024-09-15,13
2024-09-16,15
2024-09-17,18
2024-09-18,19
2024-09-19,24
2024-09-20,20
2024-09-21,15
2024-09-22,13
2024-09-23,19
2024-09-24,17
2024-09-25,16
2024-09-26,19
2024-09-27,20
2024-09-28,16
2024-09-29,14
2024-09-30,17
2024-10-01,18
2024-10-02,17
2024-10-03,16
2024-10-04,16
2024-10-05,13
2024-10-06,13
2024-10-07,18
2024-10-08,15
2024-10-09,15
2024-10-10,15
2024-10-11,16
2024-10-12,11
2024-10-13,11
2024-10-14,17
2024-10-15,18
2024-10-16,18
2024-10-17,16
2024-10-18,18
2024-10-19,14
2024-10-20,14
2024-10-21,19
2024-10-22,16
2024-10-23,15
2024-10-24,15
2024-10-25,16
2024-10-26,13
2024-10-27,13
2024-10-28,20
2024-10-29,39
2024-10-30,27
2024-10-31,23
2024-11-01,20
2024-11-02,13
2024-11-03,15
2024-11-04,18
2024-11-05,19
2024-11-06,66
2024-11-07,40
2024-11-08,34
2024-11-09,27
2024-11-10,46
2024-11-11,88
2024-11-12,93
2024-11-13,86
2024-11-14,68
2024-11-15,46
2024-11-16,35
2024-11-17,32
2024-11-18,40
2024-11-19,47
2024-11-20,49
2024-11-21,90
2024-11-22,81
2024-11-23,50
2024-11-24,41
2024-11-25,47
2024-11-26,50
2024-11-27,43
2024-11-28,34
2024-11-29,38
2024-11-30,29
2024-12-01,30
2024-12-02,37
2024-12-03,32
2024-12-04,37
2024-12-05,100
2024-12-06,53
2024-12-07,36
2024-12-08,32
2024-12-09,40
2024-12-10,39
2024-12-11,36
2024-12-12,35
2024-12-13,30
2024-12-14,27
2024-12-15,30
2024-12-16,50
2024-12-17,41
2024-12-18,40
2024-12-19,47
2024-12-20,45
2024-12-21,29
2024-12-22,28
2024-12-23,37
2024-12-24,36
2024-12-25,29
2024-12-26,32
2024-12-27,31
2024-12-28,23
2024-12-29,24
2024-12-30,33
2024-12-31,29
2025-01-01,24
2025-01-02,31
2025-01-03,27
2025-01-04,23
2025-01-05,22
2025-01-06,32
2025-01-07,33
2025-01-08,29
2025-01-09,31
2025-01-10,30
2025-01-11,21
2025-01-12,19
2025-01-13,34
2025-01-14,31
2025-01-15,31
2025-01-16,31
2025-01-17,37
2025-01-18,29
2025-01-19,31
2025-01-20,52
2025-01-21,42
2025-01-22,34
2025-01-23,34
2025-01-24,35
2025-01-25,24
2025-01-26,23
2025-01-27,39
2025-01-28,28
2025-01-29,26
2025-01-30,26
2025-01-31,26
2025-02-01,21
2025-02-02,32
2025-02-03,56
2025-02-04,31
2025-02-05,28
2025-02-06,28
2025-02-07,26
2025-02-08,20
2025-02-09,22
2025-02-10,22
2025-02-11,22
2025-02-12,23
2025-02-13,21
2025-02-14,21
2025-02-15,16
2025-02-16,16
2025-02-17,20
2025-02-18,24
2025-02-19,21
2025-02-20,20
2025-02-21,24
2025-02-22,17
2025-02-23,17
2025-02-24,24
2025-02-25,45
2025-02-26,38
2025-02-27,35
2025-02-28,45
2025-03-01,27
2025-03-02,43
2025-03-03,51
2025-03-04,45
2025-03-05,34
2025-03-06,32
2025-03-07,41
2025-03-08,27
2025-03-09,29
2025-03-10,49
2025-03-11,40
2025-03-12,31
2025-03-13,29
2025-03-14,29
2025-03-15,21
2025-03-16,24
2025-03-17,27
2025-03-18,25
2025-03-19,27
2025-03-20,24
2025-03-21,20
2025-03-22,16
2025-03-23,17
2025-03-24,25
2025-03-25,24
2025-03-26,22
2025-03-27,20
2025-03-28,21
2025-03-29,17
2025-03-30,17
2025-03-31,23
2025-04-01,19
2025-04-02,23
2025-04-03,33
2025-04-04,33
2025-04-05,22
2025-04-06,33
2025-04-07,46
2025-04-08,33
2025-04-09,39
2025-04-10,28
2025-04-11,26
2025-04-12,22
2025-04-13,23
2025-04-14,23
2025-04-15,22
2025-04-16,23
2025-04-17,20
2025-04-18,18
2025-04-19,14
2025-04-20,16
2025-04-21,33
2025-04-22,31
2025-04-23,30
2025-04-24,24
2025-04-25,24
2025-04-26,18
2025-04-27,18
2025-04-28,23
2025-04-29,21
2025-04-30,20
2025-05-01,25
2025-05-02,23
2025-05-03,17
2025-05-04,17
2025-05-05,19
2025-05-06,20
2025-05-07,21
2025-05-08,35
2025-05-09,32
2025-05-10,27
2025-05-11,28
2025-05-12,36
2025-05-13,28
2025-05-14,24
